Event Bin Frequency Volume
1348 46 987.01196 47.469223
1433 27 585.67035 52.130554
1438 27 588.4752 45.49398
1439 27 588.56274 47.62078
1440 27 587.6083 45.808147
1441 27 585.6576 32.22253
1443 27 584.2221 48.359604
1444 27 580.9678 48.95695
1446 26 569.8367 37.872166
1451 25 532.19037 51.44105
1683 37 798.4057 23.36298
1684 36 778.51385 34.832256
1779 45 963.81445 67.19262
1780 45 972.28467 73.69073
1957 27 586.2019 41.01519
2345 36 780.6035 24.395594
2416 31 662.5818 18.43658
2422 36 781.006 21.917051
2555 31 658.4508 60.938557
2556 31 665.6716 57.32422
2562 34 735.5616 45.656723
2580 36 780.13715 53.36645
2581 37 783.7292 55.97358
2582 37 789.3568 67.197914
2583 36 782.6522 72.49944
2584 36 777.96747 57.415337
2585 36 779.7266 56.82439
2586 36 777.58875 58.343327
2587 36 775.57336 62.313778
2588 36 780.45416 64.45515
2589 36 780.6578 57.07284
2590 36 780.21985 63.024914
2591 35 769.7751 60.45341
2592 34 747.2357 61.244843
2593 33 718.9911 62.96578
2594 30 642.93756 47.83729
2595 28 587.12396 43.963505
2596 27 592.7124 38.536724
2597 27 591.42114 47.30533
2598 27 589.8189 54.37162
2600 27 588.5634 56.008713
2603 28 593.66986 45.0575
2606 31 658.831 87.752495
2607 31 667.05145 94.99938
2608 31 666.98083 81.26076
2609 31 661.8774 82.12175
2610 31 662.4491 75.624565
2611 31 659.63403 77.05144
2612 30 655.452 75.320595
2613 31 658.22064 63.55553
2614 30 659.2958 63.231472
2615 30 654.5088 76.18175
2616 31 656.5982 80.735275
2617 31 657.8665 82.11001
2618 31 658.23486 86.237495
2619 31 658.2537 87.52583
2620 31 658.23444 62.451916
2621 31 659.44305 55.36606
2622 31 658.53394 73.71883
2623 31 660.7023 79.7438
2624 31 661.57935 78.26854
2625 31 662.17303 79.783226
2626 31 660.61835 77.12156
2627 31 661.9777 84.581184
2628 31 663.7361 84.78517
2629 31 664.7231 66.88652
2630 30 657.96655 52.840595
2632 30 659.3791 38.85695
2633 30 652.0012 67.19088
2634 31 657.32227 74.943214
2635 31 661.1426 87.01339
2636 31 661.9119 90.568474
2637 31 662.5428 82.035805
2638 31 662.002 68.208336
2640 31 658.88116 72.08431
2641 31 659.0565 62.907555
2642 31 661.04083 64.055984
2643 31 662.0389 71.85281
2645 30 653.53845 81.49419
2647 30 655.32874 64.92594
2648 30 654.421 57.147316
2649 31 656.3217 67.68053
2650 31 658.631 65.42706
2651 31 659.30634 66.3626
2652 31 663.02277 63.761967
2655 31 665.28375 73.43141
2656 30 660.1986 66.658936
2657 30 654.3424 74.61886
2658 30 655.293 68.33307
2659 31 657.72394 68.75936
2660 31 658.21985 67.454926
2661 30 658.3511 63.267525
2662 30 654.8067 72.76196
2663 31 658.1538 88.88353
2664 31 660.0577 87.66474
2665 31 660.0476 70.20846
2666 31 656.6021 63.182644
2667 31 660.68475 86.38448
2668 31 664.0574 73.29578
2669 30 659.7818 54.917355
2670 31 654.863 45.861046
2671 31 659.93964 62.653763
2674 31 659.1215 61.852978
2675 31 659.4473 71.63932
2676 31 658.8955 76.537834
