Event Bin Frequency Volume
5 23 496.35184 63.770447
5 69 1484.5685 2.1027071
7 116 2499.0173 0.47198007
7 140 3013.7324 0.20809923
7 189 4064.121 0.049459115
8 189 4068.6697 0.065563194
8 189 4068.6697 0.065563194
8 257 5533.7324 0.02064035
8 280 6050.483 0.019595524
8 331 7127.056 0.017201848
9 116 2497.3916 0.54354554
9 116 2497.3916 0.54354554
9 140 3016.9897 0.33123517
9 140 3016.9897 0.33123517
10 23 494.2532 35.05965
10 140 3016.8281 0.23600209
10 189 4070.919 0.026414713
10 254 5466.9424 0.009763396
10 311 6703.978 0.008011541
10 334 7191.4873 0.00750306
11 164 3536.0273 0.060104594
11 164 3536.0273 0.060104594
11 189 4066.0144 0.027816644
11 189 4066.0144 0.027816644
12 116 2498.434 0.57443124
13 116 2499.7314 0.6595328
13 116 2499.7314 0.6595328
17 69 1487.192 1.982089
22 55 1177.4645 3.201047
22 189 4061.987 0.020193644
23 140 3014.4678 0.16376576
23 189 4068.7754 0.02636175
23 189 4068.7754 0.02636175
23 235 5061.3306 0.011708063
23 281 6050.8936 0.010347584
23 345 7428.546 0.00884173
24 116 2499.9258 0.27379042
24 140 3016.948 0.11129698
24 140 3016.948 0.11129698
27 23 494.70718 34.387302
27 116 2500.0046 0.23422742
27 116 2500.0046 0.23422742
30 23 493.85614 24.824835
34 54 1162.4031 2.1153715
34 116 2500.758 0.2565145
35 116 2501.4854 0.28093502
35 116 2501.4854 0.28093502
36 140 3015.958 0.0991197
36 189 4071.1338 0.01027491
37 140 3015.5115 0.11813063
37 140 3015.5115 0.11813063
38 189 4070.053 0.014353856
38 189 4070.053 0.014353856
38 239 5146.4043 0.0070922174
38 286 6137.3447 0.0060130074
38 333 7170.1294 0.0055730455
40 54 1165.0878 1.4369924
40 140 3015.5903 0.0653328
40 188 4026.7646 0.008389298
40 234 5022.745 0.006046369
40 288 6221.917 0.004908243
40 335 7224.454 0.0044832285
41 116 2495.2837 0.14988281
41 140 3013.4878 0.060886562
41 140 3013.4878 0.060886562
42 116 2501.1628 0.18608886
42 116 2501.1628 0.18608886
46 189 4070.5837 0.0074388394
46 189 4070.5837 0.0074388394
50 69 1487.3684 0.6729302
50 140 3015.871 0.06859699
51 140 3014.9714 0.06921525
51 140 3014.9714 0.06921525
52 190 4071.2603 0.003939617
52 241 5189.1406 0.0021723981
