Event Bin Frequency Volume
0 36 775.1953 16.17305
0 75 1614.9902 21.625319
0 140 3014.6484 8.781217
0 217 4672.705 4.3100414
0 252 5426.367 4.208678
0 286 6158.496 3.2339635
0 356 7665.8203 2.9075763
1 18 396.36047 34.116558
1 54 1167.5361 8.154762
1 101 2170.2742 4.8739767
1 178 3831.405 4.4142513
1 205 4414.6235 4.374875
1 242 5217.157 2.833888
1 307 6611.953 3.0967088
1 330 7089.5347 3.6725142
2 36 778.9369 10.578574
2 72 1554.3546 6.801809
2 114 2458.4092 4.4119573
2 163 3527.5015 4.07857
2 190 4089.64 3.689638
2 256 5499.8022 3.2873418
2 289 6226.6675 3.354051
2 357 7686.626 2.776425
3 41 879.936 11.193459
3 73 1567.7467 8.764583
3 123 2650.1787 6.1722736
3 171 3680.0571 4.234248
3 195 4210.264 3.5272655
3 236 5073.4956 4.4039693
3 318 6843.521 3.307272
3 360 7766.8813 3.9646344
4 41 889.932 11.714727
4 61 1312.6984 14.092542
4 100 2152.8687 5.8398476
4 156 3369.9395 4.0938416
4 197 4260.278 3.6734345
4 238 5126.6445 3.104701
4 298 6412.5996 2.6083093
4 333 7171.0737 2.679074
5 40 871.5236 6.2115192
5 63 1341.8906 9.1706505
5 113 2429.8687 3.089115
5 155 3345.7654 4.588041
5 198 4243.3696 7.940435
5 263 5666.051 6.6278434
5 304 6536.205 5.506068
5 330 7108.6113 3.8104823
6 28 595.5417 8.64408
6 49 1055.7751 5.0458107
6 104 2240.2307 4.2413044
6 172 3684.4778 7.1009936
6 192 4154.0576 10.605128
6 236 5086.7466 7.2301893
6 283 6094.653 5.1295567
6 329 7072.4966 6.3978934
7 27 601.5347 10.912059
7 61 1309.9141 7.835732
7 124 2670.8657 7.922981
7 167 3597.3843 9.776782
7 192 4130.541 9.786553
7 236 5079.879 9.599756
7 284 6105.0605 8.321521
7 329 7082.4 5.895656
8 41 883.3017 11.868
8 62 1337.1873 10.556785
8 132 2832.5742 7.337026
8 185 3962.8923 8.813274
8 213 4605.0776 5.0389533
8 236 5074.623 7.1219683
8 300 6473.2856 6.2648993
8 361 7769.324 3.2045481
9 54 1159.6987 7.3169594
9 98 2114.201 4.6949735
9 167 3594.591 13.834731
9 207 4470.368 8.661655
9 249 5355.636 6.8403807
9 283 6094.768 6.566689
9 341 7341.089 5.486613
10 42 903.50226 8.138844
10 62 1349.1534 11.934685
10 101 2175.0571 6.216636
10 166 3573.919 11.304871
10 188 4051.452 2.9440863
10 236 5075.023 5.3398023
10 309 6653.621 4.972524
10 329 7094.599 3.2227664
11 27 583.3845 9.770084
11 61 1310.5186 10.11023
11 99 2134.5454 9.31316
11 174 3739.409 4.845079
11 195 4193.3813 3.935344
11 244 5254.642 4.6376243
11 308 6639.349 3.4011223
11 340 7326.2993 3.3288374
12 41 888.0543 13.1697035
12 76 1634.2706 5.873787
12 99 2135.1033 33.15282
12 149 3212.7803 6.5970926
12 223 4809.4995 5.363187
12 254 5475.6235 3.9929361
12 290 6252.1484 4.334737
12 337 7273.692 2.66041
13 62 1354.8164 12.959749
13 99 2131.8848 34.843315
13 147 3177.3384 8.308606
13 196 4225.458 4.0839143
13 236 5091.739 4.003043
13 299 6426.6387 2.8105748
13 346 7443.2563 3.311755
14 34 727.86255 20.463314
14 97 2068.9548 16.564486
14 145 3109.5967 9.72557
14 205 4409.7544 4.106992
14 262 5641.633 4.303964
14 316 6811.654 3.570422
14 351 7554.8555 2.8791385
15 34 736.4629 15.142598
15 73 1566.0516 5.523843
15 97 2083.8499 19.773645
15 145 3123.1174 5.4997444
15 201 4320.0264 3.2999923
15 254 5470.065 2.8442736
15 295 6345.0337 3.5436552
15 350 7552.59 3.7972698
16 27 580.6139 7.896836
16 61 1329.3141 6.273481
16 97 2084.2854 9.573914
16 162 3490.4673 4.5586696
16 213 4579.0923 3.8171222
16 243 5237.9907 4.5864844
16 281 6043.3145 3.6647792
16 371 7985.9834 2.9606607
17 35 742.18823 11.254568
17 62 1330.0754 9.584167
17 113 2426.3328 6.221917
17 162 3487.2615 5.2272105
17 191 4108.38 3.3136957
17 253 5443.052 3.5296288
17 287 6182.5317 3.9074562
17 328 7078.464 2.0554762
18 27 579.8309 24.942991
18 51 1088.4999 5.6070395
18 95 2041.8588 11.749107
18 156 3362.156 4.492898
18 202 4348.409 3.9356294
18 253 5456.9287 2.855174
18 289 6227.8833 3.0811286
18 339 7306.0234 3.4919024
19 28 590.2412 19.093094
19 62 1329.0994 6.5908065
19 97 2085.988 15.080364
19 166 3553.0159 3.2906005
19 199 4283.075 4.054601
19 236 5085.1646 3.866956
19 286 6167.882 2.5927339
19 348 7493.212 3.0300596
20 28 594.2485 23.148623
20 55 1185.7754 9.52171
20 96 2081.2388 22.13054
20 153 3291.875 3.4245772
20 213 4587.7104 2.9045024
20 260 5603.7993 3.7412403
20 288 6204.884 3.1734114
20 351 7555.752 2.5716927
21 34 738.371 13.04868
21 55 1179.3721 5.484741
21 95 2058.702 23.501629
21 167 3597.8867 4.4893074
21 223 4795.995 3.4703875
21 245 5291.521 3.4468117
21 302 6501.22 4.6250553
21 343 7386.4487 2.5053022
22 41 877.3268 12.766607
22 95 2048.8428 22.353848
22 183 3936.165 4.024106
22 211 4550.384 5.064264
22 264 5676.5835 3.4504826
22 311 6692.443 2.958468
22 343 7374.459 3.488247
23 41 876.85516 14.001116
23 61 1308.5419 6.705965
23 95 2050.3733 17.146357
23 146 3143.2964 4.3597555
23 193 4167.7983 3.5619555
23 240 5168.5054 3.8823478
23 285 6137.5093 2.9487472
