Event Bin Frequency Volume
0 36 775.1953 16.657084
2 36 777.91003 9.802852
3 41 881.77185 11.579085
4 41 890.56616 11.515607
5 40 866.3719 8.042088
6 28 594.58685 7.9610977
7 41 887.1231 9.101082
8 41 883.968 9.268641
9 26 558.61346 7.2799096
10 27 582.4809 10.76922
11 27 584.0294 10.552325
12 41 889.89105 13.030366
14 34 726.65546 20.051989
15 34 735.75635 14.762533
16 34 741.1402 8.864023
17 35 743.2549 10.205681
18 27 579.8259 25.142113
19 28 591.0777 19.877602
20 28 593.5162 24.069553
21 34 739.6079 15.129809
22 41 877.7479 13.963029
23 41 876.5897 15.632261
24 41 882.44354 20.168806
26 41 880.86505 13.985219
27 27 586.9414 39.90467
28 27 585.6497 46.404964
29 27 585.7582 31.9093
31 41 878.9264 23.808878
32 27 586.0197 46.304493
33 27 585.63873 42.22823
37 27 587.42267 27.796173
38 27 588.806 25.67677
39 27 590.6619 30.567701
40 27 588.1162 29.825191
41 27 588.0305 24.19857
42 27 587.1441 24.590574
43 27 586.14435 27.337526
46 32 690.39923 15.182057
47 27 588.2934 29.105581
51 27 588.129 28.486986
52 27 585.1318 29.03738
58 27 586.06683 28.03003
59 27 587.5645 29.241333
60 27 588.217 26.340656
61 27 587.7041 28.573591
62 31 662.5612 14.262181
63 27 587.76874 21.41728
