Event Bin Frequency Volume
0 58 1248.9258 11.342366
1 15 330.75748 41.46359
2 107 2310.2493 6.357867
3 108 2316.8313 5.4644575
3 108 2316.8313 5.4644575
3 248 5337.2036 1.0245738
4 157 3383.1584 2.631453
4 196 4217.45 1.2054965
5 226 4868.3203 0.79777974
5 226 4868.3203 0.79777974
5 333 7176.431 0.044403017
6 158 3395.2607 2.9133546
6 158 3395.2607 2.9133546
7 290 6233.214 0.09483458
10 333 7181.926 0.043041464
16 58 1241.4282 8.636563
16 236 5076.2827 0.64270616
17 186 4000.382 0.4297921
18 111 2397.865 3.3484178
18 158 3398.7642 1.5375054
19 115 2476.5503 3.3266656
19 115 2476.5503 3.3266656
19 153 3291.6853 2.006037
19 153 3291.6853 2.006037
19 186 4004.3293 0.70635724
19 186 4004.3293 0.70635724
19 293 6311.226 0.08025577
20 77 1655.7877 5.893609
20 119 2561.1384 2.8933628
20 140 3015.3584 1.5616807
20 249 5357.2363 0.59330004
20 297 6403.963 0.09103279
21 108 2316.9216 3.5608053
21 108 2316.9216 3.5608053
22 334 7197.4976 0.04429965
23 198 4265.044 0.38012916
24 188 4048.1257 0.41719374
24 188 4048.1257 0.41719374
25 157 3382.5625 1.5187033
25 157 3382.5625 1.5187033
29 15 328.8566 41.198345
30 156 3361.3008 1.1020213
33 58 1240.7379 7.7847524
33 200 4312.313 0.21529661
33 292 6293.9917 0.054145098
33 336 7222.865 0.043371044
36 102 2193.7422 2.0525098
36 188 4044.9155 0.26807898
36 188 4044.9155 0.26807898
38 15 330.5901 82.94495
38 157 3397.2476 1.0440369
38 157 3397.2476 1.0440369
39 102 2201.836 2.0073016
39 102 2201.836 2.0073016
39 243 5217.2197 0.20250082
40 15 330.3953 76.91181
41 201 4329.3887 0.20693019
42 58 1240.4551 6.307999
42 158 3397.193 0.9920981
42 292 6308.7534 0.047004707
42 353 7602.2383 0.03143878
43 115 2476.3188 2.3518522
46 111 2389.1775 2.5706122
46 111 2389.1775 2.5706122
47 157 3376.7683 0.9717901
47 157 3376.7683 0.9717901
48 246 5296.578 0.18606101
49 203 4380.632 0.23852608
49 203 4380.632 0.23852608
50 23 496.05234 39.46663
52 119 2556.0522 1.5845331
53 156 3380.5137 0.7423153
54 57 1236.8716 4.442506
54 102 2189.4937 1.7568971
54 102 2189.4937 1.7568971
55 241 5188.3716 0.18831801
56 157 3379.5654 0.7693952
56 157 3379.5654 0.7693952
57 291 6284.794 0.02241902
57 341 7363.8374 0.016301412
58 187 4019.6528 0.18936229
59 199 4289.3286 0.17680387
59 199 4289.3286 0.17680387
60 187 4046.3638 0.1832322
60 244 5249.041 0.14965454
60 290 6248.699 0.03543604
60 339 7319.522 0.02923951
61 186 4009.6384 0.16633892
61 186 4009.6384 0.16633892
62 160 3445.4421 0.6135851
63 115 2479.6057 1.247392
63 152 3264.1995 0.54962355
63 152 3264.1995 0.54962355
67 23 496.30084 48.169765
68 117 2521.6533 1.1756297
68 117 2521.6533 1.1756297
69 57 1241.3257 3.832634
70 57 1237.2466 3.928829
70 197 4253.034 0.106708266
71 189 4079.1 0.12588327
71 189 4079.1 0.12588327
71 245 5266.247 0.07045436
71 291 6269.348 0.027745543
71 339 7301.8594 0.02404133
73 117 2509.3108 0.8141912
74 103 2222.8743 0.8039954
74 103 2222.8743 0.8039954
75 157 3377.311 0.37273163
76 157 3383.033 0.4176721
76 157 3383.033 0.4176721
79 15 330.8637 64.66016
80 111 2397.423 1.0097191
81 15 330.60342 69.12688
81 111 2392.337 0.93956256
81 111 2392.337 0.93956256
81 233 5036.05 0.09205163
81 281 6069.3584 0.03995527
81 336 7234.553 0.035545655
83 161 3450.4607 0.33305424
83 194 4173.906 0.117659196
