Event Bin Frequency Volume
801 27 586.94147 17.310192
802 27 586.804 18.070185
1036 32 698.4326 12.117978
1264 31 659.17224 14.766859
1346 27 587.358 12.15746
1518 32 698.9798 10.672449
1525 33 693.9898 12.171776
1572 31 660.91223 7.8930726
1574 31 660.01587 9.767455
1665 27 586.2433 18.488533
1675 27 587.86 22.357412
1676 27 587.0284 18.752207
1720 36 782.34015 11.366385
1723 36 780.9839 12.182493
1741 36 784.5961 13.03303
1742 36 783.56104 13.441647
1743 36 782.37476 14.6929455
1751 36 785.2857 13.165673
1752 36 785.4388 12.323329
1792 36 782.64197 19.9648
1828 24 523.17694 39.983223
1829 24 523.08356 41.50093
1830 24 523.37054 37.867466
1831 24 522.25104 33.531677
1913 27 587.88525 43.193127
1914 27 587.64606 41.33664
1915 28 590.5439 40.95114
1916 29 613.41077 46.13628
1917 30 636.683 44.306416
1918 31 655.0078 47.314857
1919 31 659.59607 62.10325
1920 31 658.63635 51.682858
1921 31 658.11633 50.103775
1922 31 659.806 55.529243
1923 30 658.3127 52.51167
1924 30 648.3855 50.84907
1925 30 644.93945 59.866253
1926 31 656.21497 57.08724
1927 31 665.05444 53.995693
1928 31 672.9634 53.334606
1929 31 665.37164 55.44926
1930 30 654.6885 59.99271
1931 30 646.55133 60.577587
1932 30 648.3104 63.741123
1933 31 658.76135 54.927513
1934 31 668.86115 51.151512
1935 31 670.7603 67.108635
1936 31 663.3908 59.07802
1937 30 651.8495 56.893154
1938 30 644.7948 59.081055
1939 31 657.4735 60.48693
1940 31 659.4449 37.647472
1941 30 651.025 28.233551
1953 30 651.2941 9.367701
1967 32 697.94244 9.341152
1969 33 700.79376 7.2615294
1983 33 699.17145 18.944302
2044 26 554.1203 11.680066
2055 31 657.73987 5.2125134
2059 24 522.97174 43.73666
2060 24 523.2873 46.942333
2060 24 523.2873 46.942333
2061 24 522.65405 45.08679
2063 24 524.5422 26.296888
2065 25 530.1321 17.733938
2069 31 654.63354 12.381245
2141 31 662.22906 19.564705
