Event Bin Frequency Volume
4 143 3077.7974 0.5174805
4 279 6003.589 0.52300185
4 328 7072.9785 0.6901917
5 119 2559.91 0.6661711
5 143 3071.0933 0.51806176
5 143 3071.0933 0.51806176
5 188 4048.9583 0.3077085
5 237 5117.1274 0.39477718
6 188 4051.405 0.2508581
6 188 4051.405 0.2508581
9 119 2563.784 0.6410156
9 119 2563.784 0.6410156
12 339 7301.551 0.21855865
13 285 6128.318 0.4578137
25 323 6954.0654 0.23720631
26 224 4824.6216 0.2032346
26 327 7041.227 0.23770893
68 18 390.42157 52.523785
75 344 7408.146 0.066231005
89 333 7171.0103 0.24042936
140 291 6264.1807 0.26785585
177 16 351.90176 45.39836
190 306 6594.674 0.5786928
190 350 7536.75 0.50396085
198 16 345.4159 18.831472
203 262 5643.3335 0.14379416
204 145 3118.2258 0.34370232
205 145 3117.6653 0.3562536
205 145 3117.6653 0.3562536
209 16 350.1426 23.301447
219 374 8054.2104 0.1432841
225 145 3126.2852 0.21630256
233 342 7363.8735 0.56685245
265 16 348.73846 28.532452
334 243 5227.958 0.53665143
385 15 328.1289 72.60726
434 358 7710.4556 1.1464279
435 145 3121.2285 0.73913616
436 306 6609.325 0.73570347
444 197 4244.5493 0.3216932
450 156 3355.4683 0.5800933
455 156 3350.5298 0.46097615
455 156 3350.5298 0.46097615
458 98 2102.2383 0.9980121
459 49 1049.578 2.4414017
459 98 2101.8403 0.8820995
459 98 2101.8403 0.8820995
472 170 3651.1072 1.633205
473 97 2093.4814 2.9825056
479 49 1050.988 6.1099534
482 97 2095.233 2.585618
485 143 3086.8196 1.6286311
486 143 3088.8074 1.5059863
486 143 3088.8074 1.5059863
487 97 2096.0227 2.5045156
487 97 2096.0227 2.5045156
489 49 1053.909 7.692103
493 98 2117.876 8.345842
493 149 3205.6262 4.1041837
493 201 4325.911 0.9488616
494 98 2113.3408 10.133898
494 98 2113.3408 10.133898
494 149 3198.8447 3.2727325
494 149 3198.8447 3.2727325
499 49 1048.9637 9.56925
500 49 1050.9252 11.629001
500 98 2110.5503 8.529484
501 98 2111.4688 7.063354
501 98 2111.4688 7.063354
502 149 3200.5952 1.3314818
511 98 2114.8074 3.9573708
511 149 3198.137 0.5042833
512 49 1052.0645 11.042047
512 98 2108.1267 3.3988216
512 98 2108.1267 3.3988216
512 149 3202.3174 0.6007825
512 149 3202.3174 0.6007825
522 18 395.6792 24.57699
524 49 1052.14 11.076751
529 154 3310.871 3.7318192
530 154 3306.0576 3.5856903
531 154 3306.0361 3.5720942
531 154 3306.0361 3.5720942
534 98 2104.1475 4.0054216
536 49 1050.7196 8.846237
537 98 2100.0857 3.2430115
537 98 2100.0857 3.2430115
542 109 2351.0874 1.7454789
543 107 2306.0686 1.7581383
543 107 2306.0686 1.7581383
548 49 1054.2834 4.2647843
549 153 3292.662 1.7116289
551 61 1321.6447 5.0960293
558 123 2646.8635 2.7974017
558 154 3308.744 4.4263563
559 123 2648.0115 3.5847423
559 123 2648.0115 3.5847423
559 154 3309.4397 5.4518256
559 154 3309.4397 5.4518256
560 49 1052.3912 3.0454001
560 154 3307.519 4.7669687
561 154 3306.5264 4.4167137
561 154 3306.5264 4.4167137
563 123 2645.0713 3.6875038
563 236 5082.1797 1.1248041
564 123 2645.5085 2.726705
564 123 2645.5085 2.726705
564 307 6597.5645 1.631318
564 378 8137.5273 1.4944355
567 198 4263.494 1.0214865
568 200 4308.603 0.98043877
568 200 4308.603 0.98043877
570 123 2645.6763 1.884164
570 154 3307.5845 1.9201534
570 200 4307.088 0.8508675
570 348 7494.341 0.46885103
571 49 1048.3113 2.3889341
571 123 2645.4314 1.8070284
571 123 2645.4314 1.8070284
571 154 3307.89 1.8181927
571 154 3307.89 1.8181927
571 305 6570.931 0.8513512
572 20 440.3958 20.18965
574 198 4263.5874 0.6902408
574 198 4263.5874 0.6902408
596 49 1050.6401 1.3148886
620 117 2522.8433 1.0407925
621 113 2427.2383 1.1567104
621 113 2427.2383 1.1567104
621 205 4416.0923 0.9902957
622 15 330.26834 17.497814
622 213 4587.6426 0.8119875
622 213 4587.6426 0.8119875
622 360 7763.8975 0.67256045
623 76 1642.6776 3.1908698
623 151 3238.2336 2.5446203
624 154 3317.5435 1.7952248
624 154 3317.5435 1.7952248
633 120 2580.206 0.7697846
635 16 343.9372 46.072655
652 52 1108.9897 2.4684024
656 26 554.6962 17.25553
658 97 2074.8645 0.50815004
659 96 2077.8838 1.6590474
659 96 2077.8838 1.6590474
660 96 2068.9429 1.7470028
661 96 2065.0398 1.3107864
661 96 2065.0398 1.3107864
664 185 3981.5593 1.3895832
664 332 7151.0674 1.0372088
665 16 346.41946 21.904448
665 174 3766.68 0.82061327
665 174 3766.68 0.82061327
666 205 4417.2773 0.8204599
667 205 4418.4565 0.86727464
667 205 4418.4565 0.86727464
670 285 6146.539 0.6385763
672 351 7562.404 0.54899174
675 205 4421.185 0.5024634
678 26 554.66907 18.886637
678 197 4248.8813 0.52636176
678 197 4248.8813 0.52636176
680 26 552.1521 15.263303
684 137 2952.9395 0.5764495
685 137 2951.5818 0.60668343
685 137 2951.5818 0.60668343
699 128 2756.6694 5.292276
700 128 2757.2273 4.818295
701 128 2756.398 4.397921
701 128 2756.398 4.397921
714 161 3468.1465 2.0451555
715 161 3467.1245 1.9909182
715 161 3467.1245 1.9909182
718 110 2363.3748 12.8000345
719 109 2357.888 12.66387
719 109 2357.888 12.66387
721 110 2353.286 12.287409
721 197 4234.9697 1.7999008
722 82 1770.5734 2.8960464
722 110 2362.3171 14.027037
722 110 2362.3171 14.027037
730 110 2357.9558 7.493031
731 109 2358.7866 6.2397313
731 109 2358.7866 6.2397313
731 161 3467.707 0.9842108
735 220 4732.3257 0.7586613
735 245 5275.3633 0.59685725
735 339 7295.8457 0.6235216
736 183 3960.073 1.0042772
736 183 3960.073 1.0042772
736 205 4412.5723 0.58867466
736 205 4412.5723 0.58867466
736 306 6588.279 0.8795741
737 18 391.4445 31.239307
737 69 1484.0292 1.5219785
747 109 2355.9036 3.9253383
748 55 1178.2156 2.3487887
748 110 2357.599 4.112118
748 110 2357.599 4.112118
748 184 3954.5432 0.7172486
760 110 2361.1565 2.2678163
