Event Bin Frequency Volume
7 23 490.131 3.31336
17 23 489.69006 3.0261402
24 291 6272.7407 3.6929398
27 291 6271.4814 5.5084705
27 329 7081.877 5.6829386
28 291 6268.1265 5.39387
29 329 7071.6367 3.6621568
40 25 538.1368 88.490395
41 23 501.70007 58.910435
86 22 466.04636 51.274433
109 107 2304.953 16.591833
116 340 7320.6865 4.3869886
129 26 572.2774 95.002365
149 24 521.72534 91.67569
150 22 490.0315 115.44619
151 22 472.61136 140.27045
152 21 463.09454 143.93115
154 20 432.83365 109.55949
175 47 1002.2856 66.38111
176 50 1073.3038 73.633224
177 52 1114.1857 58.95464
178 55 1175.7168 57.33137
179 56 1203.0242 53.175667
182 58 1238.841 45.57456
184 291 6272.0225 5.2888556
189 52 1127.7391 87.17166
190 51 1112.3567 79.50733
191 50 1084.9799 89.13988
191 291 6268.285 5.1518297
192 49 1067.46 90.765884
193 48 1049.6134 86.84717
193 291 6270.6934 5.4669375
194 47 1025.0151 88.938805
196 23 492.01575 17.474224
196 45 979.7877 75.51601
197 44 959.0869 65.21312
198 65 1405.313 36.347195
200 61 1326.8695 41.253933
201 60 1298.884 32.098167
227 120 2587.2068 15.601699
227 194 4176.188 11.029321
232 27 585.3411 47.06605
253 106 2282.0022 12.256244
254 105 2265.1204 12.849016
256 20 434.9233 31.196325
265 101 2171.5461 9.508674
266 52 1103.822 83.07529
269 54 1170.227 56.301746
269 301 6473.535 6.2316284
277 100 2161.0327 28.200863
284 74 1589.5227 20.10278
285 54 1172.85 55.078003
285 380 8189.378 5.9114666
286 54 1167.0887 54.565773
289 51 1098.6384 51.054848
290 51 1099.3661 61.656628
290 102 2193.9502 28.5285
291 50 1087.2695 47.93781
291 101 2179.584 53.372265
292 51 1090.1349 37.718693
292 102 2185.9512 42.066677
293 101 2184.1565 16.70425
295 101 2182.5815 12.75828
302 74 1601.646 56.19429
303 72 1557.4486 31.185236
305 95 2050.2512 23.007387
306 108 2324.6787 11.466495
316 96 2071.7688 46.21392
317 94 2040.1434 30.394398
319 59 1287.5055 29.480383
330 25 545.9427 57.956802
348 23 490.2281 3.24806
349 23 487.33307 3.9268196
355 60 1301.1875 17.285921
360 291 6271.954 4.2115407
362 57 1223.2329 48.305027
362 96 2084.235 21.24921
363 64 1380.0907 40.29767
363 105 2260.92 22.633251
364 44 944.3117 26.750122
364 67 1442.059 66.18673
364 112 2398.4478 16.579613
365 67 1443.0502 42.86603
365 110 2362.7107 29.634132
366 105 2265.473 38.900524
367 103 2220.855 20.198292
369 54 1165.1619 40.87354
370 52 1130.0166 48.47208
370 139 2988.022 11.228601
373 14 306.3612 24.582956
379 42 904.1024 66.71955
383 297 6401.402 6.935673
384 286 6158.2046 9.391258
385 251 5425.9443 8.648539
386 25 553.57526 76.116196
387 25 533.49335 83.43701
393 99 2123.7659 15.15499
395 37 803.9399 87.062836
396 295 6356.7104 6.8434772
397 37 789.11005 61.94064
399 37 798.08 67.46268
401 60 1286.1757 70.873985
402 102 2183.4236 42.688534
403 62 1324.7253 59.956112
403 103 2209.2246 49.569736
404 61 1321.4983 58.646
404 102 2201.948 62.188393
405 61 1315.0076 50.419167
405 102 2192.719 53.875454
406 100 2163.5237 44.428272
407 77 1673.0831 32.370487
407 97 2098.3718 30.146748
410 104 2239.8997 17.067503
411 95 2047.8524 17.536852
412 15 330.50116 9.037406
413 107 2306.3962 16.30322
414 120 2603.2522 17.866837
417 132 2836.3906 15.696144
418 118 2533.6838 7.7206683
433 104 2245.535 12.238721
446 24 514.60657 92.872444
447 24 524.8765 86.41743
457 18 391.09128 33.37871
463 106 2297.6655 8.726579
466 296 6373.9937 6.0194035
467 111 2392.0564 28.38598
468 110 2376.1035 35.336975
468 202 4354.6396 10.489218
469 110 2376.8855 37.434578
469 202 4354.1 8.578718
470 110 2376.8416 31.192799
471 110 2369.6907 11.343979
472 37 786.21173 40.157677
476 274 5899.4272 14.02159
484 40 865.8379 26.781996
485 261 5617.9785 6.605002
486 144 3098.416 12.747512
487 41 889.5549 57.123062
487 145 3114.9639 16.74554
487 269 5784.125 6.8747334
488 41 892.11456 74.42018
488 144 3111.9326 12.387935
488 265 5712.0522 7.3855433
489 41 883.2557 100.19079
490 144 3083.8628 7.900425
508 22 468.16165 86.73173
509 22 468.55344 70.63269
518 18 381.79767 2.5558753
520 59 1273.3829 30.837505
520 101 2166.2236 7.298362
521 59 1268.4039 46.844627
521 97 2095.3882 34.980637
522 58 1249.1172 53.028225
522 96 2076.2969 37.83359
523 57 1233.6124 55.82258
523 95 2062.318 16.710493
524 132 2855.5334 14.613747
534 22 466.30878 60.409225
535 22 470.88068 64.81217
536 279 6000.9526 10.357153
537 295 6355.185 6.5875416
540 16 359.413 13.325956
545 52 1120.8381 63.358418
545 101 2172.3203 25.560453
546 50 1083.2003 43.137726
546 100 2161.5095 48.46122
547 96 2072.159 38.124084
548 93 2009.6344 36.707516
551 44 960.131 24.433264
561 110 2359.1675 25.832695
562 111 2384.5522 34.0604
563 112 2405.8232 20.03483
570 48 1029.279 57.79912
570 95 2049.263 22.525015
571 95 2051.7253 45.074306
575 22 478.77966 18.834185
578 20 434.11795 12.841649
581 22 462.62006 8.725436
582 20 434.0139 12.924865
583 18 396.96396 12.791615
584 19 392.29633 16.398746
586 20 437.11813 48.662937
587 20 433.18756 42.167103
587 280 6032.3247 5.8295355
592 101 2169.2258 13.124164
595 20 431.68167 14.380329
595 40 862.88275 72.06719
595 60 1294.1719 17.607254
597 14 306.45422 8.473048
606 19 408.38788 12.620314
620 297 6387.6367 7.138161
621 178 3839.7017 13.370956
621 297 6397.6455 9.338252
622 274 5904.1025 9.093125
623 268 5770.994 9.607726
637 19 412.37112 3.6631625
640 69 1488.0469 25.284424
642 65 1403.4724 23.25095
643 63 1366.5496 25.445333
646 21 463.6789 15.138899
648 27 577.1538 58.972965
650 41 882.9545 26.502638
659 26 570.9117 105.81097
660 25 545.77167 120.443146
662 24 513.7921 70.02406
663 24 517.55994 91.92482
664 24 519.87665 88.04772
666 18 384.6558 89.29452
667 20 419.35608 41.713875
668 20 431.37625 39.000465
676 22 473.85107 56.839924
677 16 329.06808 60.68914
678 18 369.5137 60.797466
679 19 402.70682 113.270386
680 20 421.95172 71.03873
702 161 3465.7124 7.5640197
703 171 3683.4927 12.704683
703 326 7034.647 5.3901906
704 176 3793.9382 17.317324
704 208 4479.832 8.133847
704 250 5404.067 6.120806
704 294 6327.2134 7.318261
704 329 7082.8633 5.8482356
705 180 3895.3818 12.680898
705 200 4301.8145 6.94136
705 249 5375.8564 9.838035
705 281 6044.9126 8.299228
705 343 7376.702 5.456908
706 343 7385.4795 4.726867
707 339 7307.351 3.467738
713 15 326.4621 77.63558
744 204 4393.3857 8.079653
745 306 6591.084 7.153095
747 343 7386.5977 4.6599817
748 249 5361.2715 7.2527065
748 343 7385.639 4.7234654
764 18 382.69052 64.00661
765 143 3083.2024 15.029963
765 277 5970.196 6.6304846
