Event Bin Frequency Volume
169 46 987.6421 7.8610353
171 24 524.30176 8.2035475
172 36 779.83606 13.981166
174 41 892.2221 7.2890496
175 37 790.31775 10.041026
189 41 884.54614 10.764729
190 41 879.8966 15.208621
218 27 583.5509 15.394815
239 28 594.58215 44.40861
243 28 593.7267 11.509671
250 27 577.5742 8.2834
290 33 705.4478 10.035822
428 37 800.3661 32.695843
429 37 793.594 23.739964
496 37 782.44714 23.141142
497 37 798.7388 32.15654
500 46 990.148 49.967525
501 46 989.3162 26.402102
503 23 502.15457 35.45
514 26 564.96173 27.873678
525 29 633.75287 27.397747
534 31 665.226 35.078182
536 31 669.69006 24.700438
543 33 706.65765 37.27459
544 33 704.52185 35.71886
545 32 705.6906 38.099922
546 33 705.71234 32.395252
547 33 712.4432 28.852468
548 33 714.2814 37.800823
549 33 712.8809 46.675823
556 33 710.8157 25.973478
567 29 626.09216 56.64845
680 35 763.1269 2.3861268
723 26 551.5556 71.87134
724 27 573.1341 66.59786
736 36 779.5216 60.412483
755 35 763.3215 49.75133
760 35 751.5897 107.82391
761 35 757.0596 91.01278
762 36 764.9589 79.60769
777 24 519.73334 13.241216
788 37 804.62164 42.100544
789 36 780.2418 78.07545
790 34 739.0072 53.73907
791 32 693.5316 29.699625
793 32 706.5172 32.109
794 31 674.3736 51.4021
795 31 672.5694 50.027416
811 30 649.57385 14.505808
820 36 756.26184 40.13211
821 35 758.3789 68.8416
822 34 739.65045 52.324593
827 41 876.05426 34.21007
828 43 911.23785 30.49337
830 44 937.36957 45.658962
831 44 942.451 62.30287
832 43 936.2276 27.335606
837 44 950.27765 27.737806
838 26 559.8783 48.42076
864 34 748.40704 36.920708
877 29 635.8646 49.658398
879 37 799.9283 67.61968
895 33 709.5225 43.238613
899 30 645.89154 25.155247
900 29 624.6887 20.58652
901 31 663.83417 79.54682
902 31 670.0014 87.90614
903 32 685.31665 91.10851
904 33 707.99133 72.78081
923 31 687.17554 14.839451
924 31 665.5509 21.979431
931 37 798.39795 40.37608
936 38 813.70966 12.219293
955 36 770.20734 114.16903
956 37 787.90936 101.090004
957 37 798.9273 72.67969
958 37 802.8994 26.032207
984 36 776.51904 69.49635
985 35 760.3968 57.240818
1027 37 804.03143 72.5587
1028 36 785.3836 54.74327
1097 26 555.32794 75.77223
1102 42 915.0472 42.404385
1103 39 843.5857 44.959755
1104 38 822.68066 36.16524
1111 32 687.1197 75.45223
1157 29 618.6569 28.329666
1158 28 610.72217 37.70469
1159 36 780.31305 18.101194
1180 31 676.749 53.010498
1181 30 653.3978 43.70409
1185 35 754.69995 53.528484
1186 35 752.35474 62.175697
1190 27 582.0114 24.551786
1206 33 717.95605 56.460403
1211 32 700.62177 39.468018
1212 32 695.351 38.3792
1213 31 682.70294 26.882238
1213 31 682.70294 26.882238
1225 36 765.78033 62.828026
1226 37 791.3663 86.62652
1227 38 813.41614 62.66308
1243 29 633.00696 26.489662
1244 38 822.42755 58.56345
1245 38 824.1328 57.845795
1262 33 712.4834 13.150273
1267 27 587.3798 14.5293
1267 27 587.3798 14.5293
1268 36 773.3404 7.554136
1278 34 730.25366 41.81256
1302 31 667.9755 58.925697
1310 39 836.7208 28.695017
1312 36 771.5022 22.592022
1313 36 776.8239 57.08963
1314 35 767.7381 35.953094
1314 35 767.7381 35.953094
1315 43 929.1031 36.464493
1391 24 523.63165 74.43736
1392 24 522.0988 78.09229
1393 25 531.77637 57.672234
1401 25 530.43896 23.740984
1402 37 788.7751 49.8568
1403 37 790.7288 74.296104
1404 36 783.5853 38.186516
1409 25 543.0571 76.2468
1410 25 543.13666 73.34246
1411 26 548.6037 71.50037
1412 26 552.4068 80.683235
1413 25 546.2276 83.39988
1414 24 529.18976 50.27278
1435 27 579.4242 34.29183
1436 35 759.7221 16.546232
1437 36 761.1668 17.816305
1438 38 811.6167 58.984238
1439 39 833.79535 52.631992
1451 32 698.17365 7.0635977
1478 27 589.3231 35.540123
1499 34 738.7843 45.6441
1500 33 720.4158 53.111557
1518 30 643.93463 12.117118
1555 39 849.93805 35.051983
1557 29 623.9002 42.832195
1562 36 783.209 34.705235
1568 34 733.19147 36.441208
1568 34 733.19147 36.441208
1569 34 733.6477 52.1474
1569 34 733.6477 52.1474
1570 32 696.04346 30.460413
1570 32 696.04346 30.460413
1571 32 692.5864 37.030666
1571 32 692.5864 37.030666
1593 30 650.24884 25.961462
1594 29 635.46484 47.205853
1595 29 626.0908 47.071968
1610 27 589.8051 37.104153
1619 30 647.64264 60.127655
1622 36 772.6919 57.81464
1643 37 792.6771 40.95586
1644 41 877.11804 40.884
1669 33 715.11865 30.815378
1673 32 693.3558 9.447037
1676 35 734.44556 3.8827605
1678 35 752.0043 6.297566
1679 25 543.15686 8.862476
1700 27 593.3043 32.35406
1722 36 774.1151 50.216347
1728 30 643.29376 28.219679
1737 24 525.42413 72.19035
1760 32 698.16156 59.35292
1760 32 698.16156 59.35292
1809 36 778.3051 42.815006
1810 36 782.6555 32.277046
1820 35 751.25214 10.019483
1822 36 783.80493 27.027071
1835 43 927.41895 9.929562
1835 43 927.41895 9.929562
1836 44 946.0505 8.68221
1850 29 630.00714 13.213642
1852 29 638.35315 8.507065
1852 29 638.35315 8.507065
1853 38 821.9824 30.893284
1854 38 820.67175 24.210651
1854 38 820.67175 24.210651
1857 39 838.7403 23.50512
1858 40 848.58 31.378355
1859 40 855.6896 20.834536
1862 40 855.6084 42.18365
1862 40 855.6084 42.18365
1872 34 727.0925 63.313053
1873 45 970.5491 61.44926
1889 30 646.6687 22.614864
1890 30 646.314 28.82928
1897 31 667.4188 5.8179517
1900 32 695.3405 39.694748
1904 34 728.6857 37.13057
1921 32 686.0499 73.82372
1922 32 692.5457 105.3085
1923 32 689.5608 74.04276
1923 32 689.5608 74.04276
1924 31 673.52527 12.038209
1924 31 673.52527 12.038209
1938 35 774.8026 33.18616
1945 31 672.7454 40.056114
1947 31 666.12115 3.0349283
1947 31 666.12115 3.0349283
1954 31 676.364 29.131495
1955 41 884.1135 37.993134
1955 41 884.1135 37.993134
1956 41 878.87616 29.44568
1969 36 791.25574 38.280205
1970 35 757.2327 20.69814
2033 27 578.058 82.76518
2092 32 687.0777 20.337904
2093 33 702.9355 32.554276
2094 33 704.40283 25.818945
2103 31 673.33093 27.665241
2108 30 640.59924 24.11432
2109 30 645.55396 19.281866
2116 27 584.5693 69.391464
2117 27 585.39655 78.78198
2125 29 620.4316 18.049553
2126 28 611.2311 26.109352
2126 28 611.2311 26.109352
2161 28 610.3878 25.88656
2171 29 630.28613 34.107883
2181 33 712.16266 71.626366
2181 33 712.16266 71.626366
2182 34 730.92786 64.082504
2182 34 730.92786 64.082504
2183 35 751.17914 44.6334
2183 35 751.17914 44.6334
2184 24 515.1384 36.14372
2190 41 890.53284 9.284196
2218 29 605.5703 21.362513
2219 37 813.3409 6.076469
2219 37 813.3409 6.076469
2220 28 607.66 97.2884
2220 28 607.66 97.2884
2221 27 588.9255 51.698345
2228 28 605.8666 57.070274
2229 28 601.9105 67.197556
2230 37 792.2211 67.29147
