Event Bin Frequency Volume
95 336 7231.4375 0.49235713
3 91 1980.2493 5.0964365
4 107 2307.2488 7.4638305
5 107 2304.0945 7.3005285
5 107 2304.0945 7.3005285
4 148 3197.4167 5.214921
9 148 3191.6418 8.958596
9 148 3191.6418 8.958596
0 211 4543.506 3.3120468
1 217 4655.4473 2.4769728
1 217 4655.4473 2.4769728
1 255 5490.433 3.3812587
1 284 6122.486 2.8047452
91 72 1549.5483 33.127777
0 356 7665.8203 2.932524
91 115 2469.864 18.04359
98 96 2063.556 14.473518
98 96 2063.556 14.473518
91 22 471.68466 45.386517
95 247 5330.064 3.175135
91 290 6237.3877 1.0263174
97 147 3173.4644 16.387777
99 159 3424.0754 14.322161
99 159 3424.0754 14.322161
95 226 4856.5405 2.983042
98 212 4566.3843 1.9210321
98 212 4566.3843 1.9210321
187 153 3295.982 9.275771
188 153 3298.976 16.327694
188 153 3298.976 16.327694
182 203 4366.7676 0.9919325
187 186 4004.4333 1.5623693
187 186 4004.4333 1.5623693
180 244 5248.0645 1.4525852
188 285 6132.993 0.8354614
180 23 499.7756 20.381008
182 25 525.68976 43.00897
272 329 7076.755 0.15635428
182 64 1376.0363 30.642437
181 105 2267.7285 12.441673
182 105 2264.524 19.645702
182 105 2264.524 19.645702
273 261 5613.2886 0.6488179
272 286 6152.2744 0.6200488
273 149 3207.8438 6.41283
274 148 3190.4001 9.598954
274 148 3190.4001 9.598954
272 208 4484.925 0.5621975
279 197 4230.5273 0.54637504
279 197 4230.5273 0.54637504
270 74 1598.942 18.525217
187 356 7665.335 0.43784365
274 117 2528.4292 6.7851696
275 117 2531.1936 9.159648
275 117 2531.1936 9.159648
270 27 572.85706 40.594086
89 73 1567.9086 29.268175
14 329 7087.7036 2.729255
88 105 2266.9817 8.955663
89 107 2299.686 15.604056
89 107 2299.686 15.604056
88 20 432.05698 44.70607
89 26 562.7695 30.540644
88 264 5685.4365 1.0618501
84 281 6053.5986 0.8122737
88 151 3255.1013 8.567963
89 152 3266.6057 4.4541464
89 152 3266.6057 4.4541464
83 190 4101.6177 1.18166
89 212 4560.8667 1.0899111
89 212 4560.8667 1.0899111
84 351 7570.8506 0.1738946
19 75 1611.7086 12.262927
18 106 2279.1418 3.5535247
19 101 2177.2761 8.965374
19 101 2177.2761 8.965374
13 147 3166.8467 9.7316885
14 170 3664.9756 12.839456
14 170 3664.9756 12.839456
14 197 4238.862 7.7442036
16 192 4153.546 7.278801
16 192 4153.546 7.278801
14 249 5365.597 4.07058
14 298 6433.2544 2.6341088
267 246 5297.0815 0.7535959
269 287 6172.5366 0.6154681
263 151 3252.6372 4.064675
268 149 3216.4844 4.9973125
268 149 3216.4844 4.9973125
260 224 4809.7993 0.5428097
261 203 4375.476 0.59930706
261 203 4375.476 0.59930706
268 75 1611.3914 23.129442
198 341 7338.395 0.17750074
262 114 2435.0806 5.3977876
263 113 2438.7354 7.963242
263 113 2438.7354 7.963242
268 27 578.34357 45.880585
198 151 3253.9968 4.2216544
199 148 3186.8691 7.0977187
199 148 3186.8691 7.0977187
191 187 4035.4429 1.2801408
199 219 4720.3506 0.8706728
199 219 4720.3506 0.8706728
197 254 5464.535 1.0152617
199 288 6186.177 0.9726451
192 19 405.28677 38.952732
197 24 512.0916 61.460873
268 335 7215.7637 0.092032954
192 73 1573.4563 23.177586
197 118 2538.6738 5.4922924
199 114 2456.1118 6.7076416
199 114 2456.1118 6.7076416
162 182 3919.9348 9.310824
166 147 3181.6633 6.95854
166 147 3181.6633 6.95854
161 208 4477.9688 11.893659
162 203 4374.0576 11.233444
162 203 4374.0576 11.233444
162 246 5280.938 9.762937
161 292 6276.4883 4.7485847
166 20 418.4539 62.70244
169 43 943.3383 15.974624
256 364 7845.125 0.21388936
165 59 1275.8745 6.453366
164 126 2699.7869 14.93317
167 107 2308.6655 5.805297
167 107 2308.6655 5.805297
256 253 5464.2266 2.3120794
256 286 6157.61 0.84666
255 156 3358.3796 8.43839
256 155 3346.171 10.213212
256 155 3346.171 10.213212
255 220 4746.6836 0.88787496
259 229 4933.1533 1.1103383
259 229 4933.1533 1.1103383
251 68 1461.5403 23.750948
160 336 7232.3887 1.6953237
255 96 2067.69 11.020248
256 97 2082.6306 16.77053
256 97 2082.6306 16.77053
251 28 609.99634 30.986683
23 23 482.78198 23.511196
21 27 583.68915 22.202015
21 65 1398.8877 21.551163
110 369 7947.241 0.26276872
23 105 2260.8188 20.727957
24 101 2162.1262 21.65824
24 101 2162.1262 21.65824
25 150 3231.6497 4.639081
29 166 3579.8484 4.4714513
29 166 3579.8484 4.4714513
24 191 4098.866 1.412139
29 216 4657.9346 0.9238137
29 216 4657.9346 0.9238137
28 237 5106.0303 2.6128283
25 285 6136.8477 1.4159073
29 339 7318.626 0.31335232
119 62 1338.7012 21.783373
117 99 2123.3208 5.8645678
118 116 2497.8564 6.315541
118 116 2497.8564 6.315541
119 31 668.74005 52.188686
119 248 5332.1997 1.071011
119 279 6000.7603 2.0780435
118 145 3124.487 6.5424795
119 147 3151.035 12.253421
119 147 3151.035 12.253421
112 224 4821.1523 1.2093102
118 214 4611.017 0.9890672
118 214 4611.017 0.9890672
241 237 5104.011 1.772555
242 280 6034.3994 1.5402118
242 152 3270.3792 7.756201
247 151 3253.9272 4.3926063
247 151 3253.9272 4.3926063
241 200 4307.841 1.0074688
242 220 4739.8853 1.3378532
242 220 4739.8853 1.3378532
247 69 1494.2583 29.681986
176 343 7379.748 1.8523002
242 112 2408.709 12.919114
243 113 2428.4287 9.449755
243 113 2428.4287 9.449755
248 29 623.3571 36.773014
170 164 3546.679 12.1325655
173 153 3290.4092 9.858807
173 153 3290.4092 9.858807
176 229 4950.184 7.6962757
177 225 4840.571 12.1682005
177 225 4840.571 12.1682005
177 253 5449.0044 6.981135
177 295 6355.439 3.2894232
173 25 545.78595 43.708794
241 344 7406.3623 0.2212777
173 70 1505.2662 9.419171
172 115 2474.4045 5.1816287
173 108 2341.8518 5.0212874
173 108 2341.8518 5.0212874
103 86 1860.8373 20.583431
37 341 7339.121 0.8651591
101 122 2619.8516 9.4908695
102 105 2262.802 5.9441004
102 105 2262.802 5.9441004
102 23 500.05795 69.15433
101 266 5736.804 1.7226362
102 294 6327.0044 0.9078804
101 156 3350.542 14.701171
102 155 3351.619 8.857959
102 155 3351.619 8.857959
102 214 4608.221 1.5650594
109 187 4019.0889 1.9905102
109 187 4019.0889 1.9905102
35 26 557.86273 37.218533
109 341 7335.178 0.24034235
35 66 1420.1837 16.63489
36 96 2065.3547 5.392046
37 105 2265.5598 8.390002
37 105 2265.5598 8.390002
35 146 3146.4949 3.5716202
39 180 3867.2576 2.068925
39 180 3867.2576 2.068925
38 211 4537.474 1.4487685
39 228 4909.8325 4.4280634
39 228 4909.8325 4.4280634
37 256 5505.901 2.4189777
38 305 6567.621 1.2026412
327 343 7384.7734 0.07784819
320 27 584.1683 17.611757
320 50 1075.3275 5.3973484
320 136 2924.8772 5.0716534
321 105 2256.5005 0.48297402
321 105 2256.5005 0.48297402
321 145 3115.8945 1.687368
322 146 3135.1677 0.6983467
322 146 3135.1677 0.6983467
320 207 4460.85 0.08009949
327 224 4812.194 0.052711815
327 224 4812.194 0.052711815
320 272 5852.166 0.06963822
322 304 6542.6626 0.098801576
47 29 626.8889 38.32295
45 22 481.23917 24.050821
41 118 2559.466 8.939819
49 113 2434.7583 6.988603
49 113 2434.7583 6.988603
47 63 1359.4044 24.776896
130 329 7091.704 1.1458724
40 200 4311.3706 1.7817428
47 211 4532.0063 1.0403898
47 211 4532.0063 1.0403898
48 148 3187.3442 5.444527
49 147 3165.98 7.936229
49 147 3165.98 7.936229
40 304 6545.027 1.0368762
45 238 5126.5273 1.955158
135 119 2566.1365 6.4212427
136 120 2565.231 7.3557544
136 120 2565.231 7.3557544
40 354 7617.6265 0.4736724
136 47 1017.3206 9.971437
135 32 687.86774 20.510977
134 16 348.63843 35.747215
130 295 6354.64 1.0857878
130 238 5119.8105 2.259113
130 190 4098.77 3.2083757
132 187 4033.2222 0.97979033
132 187 4033.2222 0.97979033
135 150 3222.608 11.08449
136 150 3218.0608 16.491762
136 150 3218.0608 16.491762
223 186 4015.0952 0.61000955
229 221 4760.8774 0.5744537
229 221 4760.8774 0.5744537
220 155 3317.334 9.1663
226 152 3271.4187 7.338898
226 152 3271.4187 7.338898
220 285 6142.856 0.6194893
228 273 5880.1055 0.85793376
226 24 525.03235 22.260372
220 108 2315.3237 6.8631363
227 114 2455.1804 3.999699
227 114 2455.1804 3.999699
314 330 7105.513 3.6999464
220 67 1442.2008 12.797691
315 286 6150.792 6.44983
313 239 5153.938 4.4974675
313 189 4075.1902 6.2004156
316 212 4560.0264 5.7525744
316 212 4560.0264 5.7525744
313 152 3271.5942 8.503178
314 166 3575.6648 9.528966
314 166 3575.6648 9.528966
311 94 2027.2156 0.31973994
314 120 2587.7483 1.9819452
314 120 2587.7483 1.9819452
319 49 1055.0632 12.707752
228 337 7256.7324 0.24764486
319 24 506.9315 17.865683
125 120 2585.787 7.996766
126 125 2688.0332 9.01854
126 125 2688.0332 9.01854
55 368 7922.2427 0.2029249
126 62 1341.9889 28.230545
120 32 679.12946 36.636368
128 279 6002.4097 6.928762
128 249 5357.889 7.1731176
128 188 4043.2432 7.859768
129 190 4095.4858 8.182296
129 190 4095.4858 8.182296
126 146 3137.8853 8.266042
129 170 3662.98 12.305112
129 170 3662.98 12.305112
56 27 588.60693 40.06334
50 113 2427.725 8.248316
56 112 2414.8872 5.5799675
56 112 2414.8872 5.5799675
50 62 1336.4753 14.579552
129 343 7383.1504 2.5055578
50 209 4495.3525 0.773806
53 200 4297.899 0.77374417
53 200 4297.899 0.77374417
57 144 3097.0398 7.96502
58 146 3137.5464 8.904503
58 146 3137.5464 8.904503
55 279 6008.68 0.58517873
56 263 5654.583 1.0519755
302 293 6304.1436 0.74454767
302 243 5235.131 0.80556184
301 205 4409.4116 1.3324364
302 192 4123.7314 1.4108859
302 192 4123.7314 1.4108859
302 154 3317.263 4.3734884
303 146 3137.4438 5.3591347
303 146 3137.4438 5.3591347
302 104 2239.7368 8.655272
303 105 2256.391 7.8917794
303 105 2256.391 7.8917794
303 60 1297.6652 17.023909
234 345 7441.389 1.245351
303 30 656.3684 29.578093
233 199 4278.2896 6.9641137
234 200 4307.8027 8.015408
234 200 4307.8027 8.015408
236 145 3120.6274 10.2627735
237 151 3256.8574 9.756664
237 151 3256.8574 9.756664
233 297 6378.611 1.5489749
234 274 5897.761 4.5355835
236 28 602.5803 44.146786
236 124 2670.5417 9.810498
238 120 2586.9263 8.213741
238 120 2586.9263 8.213741
301 339 7297.205 0.2464346
237 61 1328.4758 30.629873
200 210 4522.6562 0.51679873
204 230 4970.766 0.3322943
204 230 4970.766 0.3322943
