Event Bin Frequency Volume
0 14 301.46484 48.768208
0 41 882.8613 25.078829
0 68 1464.2578 9.652324
0 101 2174.8535 5.607888
0 151 3251.5137 2.9870996
0 203 4371.24 1.9217242
0 263 5663.2324 1.9800582
0 286 6158.496 0.73871726
0 340 7321.289 0.7239865
1 27 585.2499 43.552612
1 54 1168.3529 26.261219
1 104 2241.467 4.5130253
1 162 3487.0706 3.5159492
1 192 4137.8145 1.5499738
1 233 5018.4463 1.0695846
1 283 6091.634 1.0064377
1 340 7321.0483 0.7271576
2 54 1172.4839 29.288794
2 101 2183.448 3.4513047
2 141 3042.1702 1.6459624
2 193 4140.5 1.6097463
2 245 5275.06 1.1137216
2 294 6325.6133 0.5328033
2 340 7322.6484 0.743358
3 55 1173.122 33.128082
3 104 2245.556 6.5442395
3 163 3502.353 2.1675334
3 206 4448.9556 1.67703
3 235 5059.2573 1.1055607
3 280 6018.4595 0.67959577
3 341 7339.0654 0.5775355
4 55 1177.4515 45.471092
4 137 2953.9658 6.8559885
4 174 3743.6792 2.6192985
4 196 4227.491 3.205468
4 256 5506.2427 2.5074058
4 315 6775.0127 1.5433328
4 338 7275.8516 0.8651009
5 27 587.9173 31.107723
5 55 1177.9032 51.752422
5 102 2209.0288 4.583121
5 173 3741.8352 2.7141771
5 220 4731.0264 1.8066297
5 256 5506.039 1.1980354
5 288 6206.2144 1.1289804
5 341 7357.6094 0.73547065
6 27 587.62744 23.923445
6 55 1176.539 46.822056
6 102 2194.7092 3.7640893
6 158 3401.5498 1.5863006
6 189 4067.1248 1.0973122
6 238 5128.234 1.294737
6 289 6222.4385 1.100884
6 341 7347.205 0.7255139
7 27 590.2437 28.542095
7 55 1175.6637 54.846207
7 102 2207.3257 4.6726704
7 140 3022.049 2.692773
7 186 4001.777 2.2125833
7 237 5120.8706 1.6729522
7 279 6006.321 1.246102
7 330 7125.4644 0.61018384
8 27 589.7367 30.97609
8 55 1179.1493 62.223988
8 113 2453.5513 2.7774136
8 164 3539.4343 1.8258364
8 189 4071.3457 2.365826
8 267 5763.0557 0.96018946
8 288 6211.077 0.78062296
8 334 7213.415 0.52079713
9 27 587.8878 27.49985
9 55 1178.2992 59.828598
9 113 2430.4773 3.3665729
9 154 3315.2273 3.3119283
9 190 4071.983 2.162525
9 256 5508.428 1.4034564
9 287 6180.343 0.7498144
9 327 7034.9385 0.7059943
10 27 587.47253 24.573963
10 54 1174.8145 50.458626
10 104 2238.4246 5.3419933
10 163 3522.7554 2.7397404
10 208 4483.0024 1.8062884
10 243 5230.0195 1.3378326
10 312 6732.877 0.60561377
10 340 7309.739 0.53229797
11 27 586.16345 27.404606
11 54 1170.839 46.949886
11 104 2240.6738 5.4569798
11 142 3053.8828 2.773247
11 208 4482.07 1.6546911
11 243 5234.1255 1.7045842
11 304 6545.405 0.8638433
11 338 7273.272 0.47787136
12 27 587.1135 25.315529
12 55 1172.4008 48.22212
12 104 2245.7466 4.4492264
12 172 3704.4966 2.2551796
12 209 4491.891 1.9620972
12 233 5014.934 1.3571554
12 293 6311.6953 0.792211
12 334 7186.9653 0.5476273
13 54 1172.439 44.409325
13 104 2242.0059 5.76678
13 177 3810.8887 3.7197478
13 197 4236.0444 5.0827794
13 252 5439.233 3.945326
13 309 6656.7017 1.8924184
13 341 7327.377 3.786408
14 54 1172.609 44.41323
14 115 2479.1733 10.563663
14 145 3115.3896 5.3292565
14 196 4227.2886 7.894837
14 298 6409.532 5.719113
14 343 7375.0415 4.5484667
15 55 1175.1024 58.310474
