Event Bin Frequency Volume
0 14 301.46484 49.35432
0 41 882.8613 25.220678
0 68 1464.2578 10.152217
0 109 2347.1191 7.0796103
0 136 2928.5156 4.241892
0 136 2928.5156 4.241892
0 164 3531.4453 3.202327
0 215 4629.6387 4.104471
0 263 5663.2324 4.3157954
0 293 6309.2285 3.1589565
0 369 7945.752 2.7111437
1 27 585.4276 42.25107
1 54 1168.3583 25.958204
1 104 2241.2786 5.002865
1 136 2924.2036 4.0261126
1 136 2924.2036 4.0261126
1 166 3588.8003 3.3082352
1 199 4266.087 3.6749468
1 228 4907.1553 2.8426883
1 228 4907.1553 2.8426883
1 254 5464.693 3.2733972
1 281 6053.9004 3.1898959
1 344 7409.803 4.0669622
2 54 1171.9733 29.088802
2 105 2274.4949 4.337642
2 141 3036.9224 5.314425
2 184 3959.49 3.4020636
2 184 3959.49 3.4020636
2 204 4383.0557 2.5715537
2 237 5105.618 3.5492857
2 306 6594.926 2.6296277
2 333 7176.018 2.9039807
3 55 1173.3654 32.704697
3 104 2245.365 8.410011
3 137 2933.7092 4.976783
3 137 2933.7092 4.976783
3 174 3763.328 3.7086644
3 214 4601.203 2.694628
3 243 5243.4883 3.2581258
3 281 6055.4844 5.2950263
3 332 7135.1646 2.5603392
4 55 1177.2195 44.484756
4 108 2322.3333 4.6903787
4 137 2953.8342 7.1329365
4 137 2953.8342 7.1329365
4 186 4003.167 5.0816503
4 227 4891.995 4.0058174
4 227 4891.995 4.0058174
4 258 5557.9253 3.8198955
4 281 6048.393 3.1523628
4 345 7431.469 2.063876
5 27 588.39984 30.904522
5 55 1177.7483 49.998425
5 136 2908.247 7.0981355
5 173 3745.827 3.2956028
5 225 4848.598 4.2667356
5 251 5403.029 3.142123
5 279 6004.368 3.0489333
5 329 7083.303 3.2750397
6 27 588.00116 23.71869
6 55 1176.7017 47.569416
6 118 2539.7502 5.8592806
6 141 3037.8777 3.092678
6 167 3604.5967 3.0648263
6 167 3604.5967 3.0648263
6 192 4136.6157 3.338446
6 246 5292.779 4.0621095
6 279 6010.116 4.7269483
6 329 7084.489 3.2202406
7 27 589.7573 30.609133
7 55 1175.9044 53.797573
7 112 2426.0295 4.919806
7 137 2957.3154 4.886325
7 137 2957.3154 4.886325
7 171 3678.2422 3.0879924
7 206 4424.856 3.055265
7 228 4901.172 4.350962
7 228 4901.172 4.350962
7 278 5997.3574 3.3637125
7 299 6440.505 3.5808825
7 352 7582.764 1.8644677
8 27 589.6694 32.21658
8 55 1179.1759 62.451935
8 106 2264.7454 3.5348432
8 137 2953.9795 4.9257674
8 137 2953.9795 4.9257674
8 161 3464.1538 3.197668
8 211 4545.7983 4.1464725
8 236 5095.5996 3.7461495
8 292 6278.405 2.7967377
8 329 7088.6045 2.987055
9 27 588.3421 26.699644
9 55 1178.0728 59.049965
9 103 2226.1958 4.6717772
9 161 3469.6436 3.9488025
9 184 3969.2544 3.3427722
9 184 3969.2544 3.3427722
9 206 4437.794 3.8681324
9 226 4855.947 2.999955
9 226 4855.947 2.999955
9 276 5943.3696 4.0641994
9 300 6460.063 3.6720412
9 346 7449.3433 3.1860743
10 27 587.0005 24.131477
10 54 1174.8397 51.329903
10 104 2237.756 4.947321
10 138 2978.6074 3.74575
10 138 2978.6074 3.74575
10 163 3520.3677 4.8930078
10 197 4234.2324 3.11908
10 245 5293.183 3.510156
10 289 6221.1333 3.0388603
10 340 7324.6333 2.4784234
11 27 585.7735 26.827839
11 54 1170.7156 45.195423
11 104 2239.2742 5.215243
11 142 3056.2375 4.676862
11 172 3706.5703 4.1727057
11 172 3706.5703 4.1727057
11 226 4872.966 4.032037
