Event Bin Frequency Volume
0 14 301.46484 48.49779
0 41 882.8613 25.885767
0 68 1464.2578 8.357125
0 121 2605.5176 8.431755
0 149 3208.4473 5.332114
0 194 4177.4414 4.260228
0 264 5684.7656 6.0245185
0 285 6136.963 4.229921
0 360 7751.953 4.575522
1 27 584.93823 44.104763
1 54 1168.4565 25.49417
1 104 2238.5027 7.438408
1 162 3485.2598 4.3943133
1 205 4406.0244 4.381388
1 235 5051.4707 4.058742
1 293 6303.365 4.7705507
1 334 7192.4214 4.284628
2 54 1171.2062 27.93242
2 104 2236.1963 9.031849
2 140 3004.7668 4.5758886
2 201 4332.0977 4.3605943
2 236 5061.9717 4.957391
2 298 6430.7656 5.163416
2 348 7491.2183 4.0542984
3 55 1174.2632 32.47181
3 104 2248.967 8.745741
3 144 3098.1018 5.5494123
3 247 5309.713 6.0618153
3 321 6912.343 7.540242
3 362 7801.5513 4.355091
4 55 1177.5 43.428013
4 104 2247.151 6.176716
4 164 3526.6367 6.4561963
4 223 4798.84 6.7235913
4 246 5304.557 6.217186
4 304 6537.1826 4.945627
4 339 7320.041 4.0443416
5 27 587.6857 29.337152
5 55 1178.0978 52.107338
5 120 2578.6392 7.886127
5 143 3073.5776 4.3410797
5 200 4301.9707 4.9722724
5 239 5137.5625 5.89803
5 341 7342.148 5.743334
6 27 587.6918 23.529627
6 55 1176.6613 45.76656
6 135 2909.95 6.27349
6 160 3443.671 6.6022744
6 213 4588.776 4.280143
6 248 5341.231 4.4350476
6 318 6849.49 5.450772
6 356 7662.5464 4.7972984
7 27 589.32336 27.311249
7 55 1175.0837 52.028522
7 120 2584.3528 6.5510807
7 173 3723.961 6.1669054
7 196 4221.102 5.135317
7 237 5112.5566 4.966365
7 295 6334.0327 4.2251325
7 331 7129.089 4.1839952
8 27 590.1015 32.744335
8 55 1179.3337 60.29631
8 114 2464.5806 4.805655
8 166 3579.8208 4.2058706
8 200 4299.351 4.995286
8 271 5845.903 4.557702
8 313 6742.274 5.4626374
8 376 8094.7456 3.6171067
9 27 588.2495 28.335684
9 55 1178.3586 62.086998
9 112 2416.3467 6.625111
9 150 3230.3713 6.484376
9 224 4810.969 4.2693696
9 259 5579.6094 5.769508
9 297 6399.045 5.4991007
9 343 7386.822 3.6849098
10 27 586.52844 26.053043
10 54 1174.2721 51.935432
10 121 2604.7073 6.046238
10 179 3843.5364 4.5701904
10 224 4822.6436 6.21208
10 248 5332.4663 6.7025037
10 288 6206.8057 5.016874
10 353 7596.624 4.2201686
11 54 1170.782 41.830276
11 101 2176.3582 6.559278
11 172 3709.309 7.49383
11 239 5149.6377 4.9177117
11 304 6543.741 4.706899
11 345 7426.8315 4.5037937
12 27 587.5997 22.233232
12 55 1172.5781 48.664993
12 102 2189.778 4.313899
12 172 3700.425 5.6727214
12 198 4262.853 4.796215
12 243 5240.996 4.0194182
12 293 6312.9907 4.1232986
12 336 7249.1206 4.1530843
13 54 1172.496 45.145844
13 105 2273.6697 7.335451
13 177 3814.9778 7.512418
13 197 4243.271 7.3922744
13 252 5426.403 7.79751
13 308 6634.3965 6.4411907
13 340 7316.719 4.911183
14 54 1172.3824 44.572777
14 115 2482.2737 11.503231
14 193 4163.3823 11.288834
14 266 5726.1943 6.6778746
14 288 6204.4795 6.5812635
14 343 7383.8677 7.0489893
15 55 1175.505 56.884556
15 114 2461.9404 6.4539275
15 156 3351.1633 7.4768996
15 194 4170.0327 8.6747
15 266 5740.3916 10.116223
15 291 6263.871 6.370492
15 329 7082.267 7.475851
16 55 1179.5905 60.595734
16 113 2422.46 7.825381
16 150 3241.6147 7.0078244
16 215 4649.658 7.703518
16 267 5730.276 6.801332
16 308 6628.412 5.5315065
16 347 7475.402 4.4339275
17 54 1174.746 51.28469
17 127 2752.7852 5.562975
17 153 3298.8684 4.699529
17 200 4288.782 5.689963
17 233 5019.281 7.1437316
17 290 6252.289 7.809355
17 348 7482.8213 4.0763307
18 55 1173.0127 51.726418
18 103 2207.7576 6.547008
18 162 3495.1035 7.6798673
18 200 4301.956 5.1900067
18 272 5860.362 5.864291
18 294 6323.621 3.6555817
18 334 7199.5215 4.6449776
19 27 588.92633 29.325796
19 55 1176.1835 55.81324
19 114 2463.917 4.183651
19 144 3103.591 5.790244
19 201 4320.6357 4.5747733
19 241 5196.9346 5.065704
19 285 6132.1646 4.6116056
