Event Bin Frequency Volume
0 27 581.3965 2.9872482
1 30 636.0169 2.7594748
2 28 613.0499 3.5834942
3 37 790.03394 10.541922
4 37 794.95496 26.04654
5 37 789.4634 5.065701
6 36 777.4497 5.2328033
7 35 763.9062 44.22895
8 34 744.9128 67.56354
9 33 718.7853 51.17415
10 33 706.91266 5.280939
12 28 583.8495 35.390884
13 29 620.0476 80.609245
14 31 660.078 64.35602
15 33 702.37994 23.912521
16 38 817.4985 5.920834
18 42 906.83276 3.6664112
19 33 723.10876 24.056839
20 32 696.679 39.498474
21 31 661.6001 12.112631
25 37 809.94135 3.6275773
27 44 951.33453 3.4687002
28 34 715.3183 2.3776588
29 35 737.481 6.838
30 36 769.1668 13.432685
31 35 760.5037 3.4042485
32 24 515.6695 2.8064332
33 25 523.9114 2.0828335
34 38 831.92535 3.1148026
35 29 615.19324 3.7281108
36 30 636.01306 11.917604
37 39 834.47473 16.404238
38 38 822.3056 11.842905
40 37 798.5761 12.226973
41 36 776.42944 31.334131
42 36 772.7014 19.053944
43 34 747.0031 4.9054413
45 35 740.68463 3.5759315
46 46 995.58044 2.8298063
47 24 508.8986 3.4701848
48 29 642.68555 25.613604
49 29 626.84546 62.97009
50 28 612.85547 50.186314
51 30 632.7575 3.8657918
52 30 642.94415 4.241391
53 30 647.8215 13.679352
54 39 843.8342 45.85229
55 38 826.79816 37.201378
56 39 825.9829 4.9313974
57 35 755.5251 2.6275194
59 25 536.88934 2.0902681
59 46 984.2886 1.9075046
59 46 984.2886 1.9075046
60 37 802.00385 2.7450745
61 33 722.59924 2.7521317
62 36 768.5719 6.8773265
63 36 777.7855 27.61477
64 35 760.4592 39.749687
65 33 718.4073 8.115989
66 35 763.06396 17.451698
67 44 942.6022 30.734192
69 46 981.9721 29.601967
71 42 893.52673 22.938486
72 32 686.36115 17.625996
73 32 703.03284 3.3758647
74 32 671.0072 22.669945
75 31 677.4819 41.25022
76 30 650.2483 22.17767
77 32 702.50775 4.8698425
79 35 745.56 4.1681767
80 30 651.7793 18.706785
81 37 802.31305 26.802765
82 36 777.4313 30.671974
83 35 760.7231 5.837195
84 28 597.4434 3.5145319
85 33 714.342 8.117273
86 40 861.52374 26.056486
87 30 661.189 10.970338
89 26 554.2293 4.0794644
91 32 683.14996 2.6414256
94 44 958.96875 8.137604
96 35 747.56384 4.0612016
97 33 708.4569 2.476583
98 38 808.7158 3.1743083
99 37 804.7825 3.5397685
