Event Bin Frequency Volume
0 102 2196.3867 0.22992642
0 345 7428.955 0.080832
1 102 2196.6362 0.20389351
1 102 2196.6362 0.20389351
2 92 1976.1432 0.1241231
5 145 3124.8804 0.12671818
6 145 3120.2383 0.13916233
6 145 3120.2383 0.13916233
6 194 4178.181 0.092288814
6 235 5063.946 0.122091375
6 280 6026.134 0.120369904
7 219 4715.221 0.098272964
7 219 4715.221 0.098272964
13 100 2155.3967 0.14927301
13 154 3326.396 0.17782384
13 239 5149.0513 0.11501765
13 295 6347.9785 0.111578844
13 351 7571.7876 0.05796086
14 83 1785.9346 0.7487693
14 154 3317.8806 0.1267977
14 154 3317.8806 0.1267977
17 191 4125.459 0.06795444
19 134 2882.4749 0.10730237
19 134 2882.4749 0.10730237
19 192 4126.1978 0.08964358
19 192 4126.1978 0.08964358
20 77 1679.3356 0.61265206
20 107 2305.3994 0.77390414
20 157 3377.4868 0.41339025
20 193 4146.573 0.30657837
20 240 5164.53 0.34506497
20 293 6297.942 0.26216263
20 352 7575.242 0.217626
21 202 4356.49 0.15074053
21 202 4356.49 0.15074053
27 101 2167.06 0.38356873
27 101 2167.06 0.38356873
27 156 3350.2273 0.36014712
27 156 3350.2273 0.36014712
30 16 353.04532 21.876333
31 134 2874.3687 0.1428109
32 133 2877.5793 0.11770783
32 133 2877.5793 0.11770783
35 49 1047.4971 0.22747016
35 149 3207.1611 0.078218594
35 214 4617.3984 0.07778263
35 249 5365.0513 0.063505135
35 286 6166.06 0.062360547
35 328 7060.199 0.11363513
36 145 3117.4006 0.08284826
36 145 3117.4006 0.08284826
36 214 4611.839 0.055655736
36 214 4611.839 0.055655736
41 145 3119.0605 0.07400034
43 203 4370.1016 0.093687
46 117 2514.8057 0.06664533
49 75 1624.2599 0.13624528
49 134 2904.833 0.17549975
49 134 2904.833 0.17549975
49 158 3391.6257 0.18382181
49 158 3391.6257 0.18382181
49 197 4244.2363 0.22987987
49 197 4244.2363 0.22987987
49 269 5781.5986 0.24701498
49 294 6334.165 0.26548257
49 346 7440.259 0.36015302
50 89 1908.8206 0.09655807
50 118 2541.6428 0.35597476
50 190 4102.128 0.15128966
50 260 5591.529 0.15107934
50 292 6276.5376 0.19091618
50 328 7062.921 0.15391381
51 168 3619.5308 0.1435908
52 194 4174.9155 0.091555655
52 194 4174.9155 0.091555655
53 133 2877.272 0.30133712
53 133 2877.272 0.30133712
58 155 3335.6838 0.15567711
58 155 3335.6838 0.15567711
61 144 3099.6196 0.19406681
64 119 2567.4995 0.17208347
64 202 4339.3174 0.07532343
64 272 5868.58 0.08969124
64 316 6807.438 0.08678264
64 345 7427.0493 0.0843802
65 144 3104.7026 0.19281822
65 144 3104.7026 0.19281822
65 202 4345.888 0.06444985
65 202 4345.888 0.06444985
68 134 2877.053 0.15762313
68 134 2877.053 0.15762313
69 90 1919.7775 0.08861962
71 51 1104.2759 0.98613495
72 206 4429.008 0.11680243
77 103 2216.6692 0.31117776
77 154 3294.7493 0.26912054
78 101 2176.39 0.680116
78 101 2176.39 0.680116
78 157 3377.6995 0.30008087
78 157 3377.6995 0.30008087
78 220 4733.751 0.22106834
78 220 4733.751 0.22106834
78 259 5580.3154 0.27432674
78 281 6057.5317 0.22687677
78 329 7091.3066 0.2731264
80 16 347.63828 32.439278
80 367 7898.08 0.09109975
81 145 3122.777 0.14312163
81 306 6586.4224 0.12096008
83 201 4333.402 0.0843331
85 118 2539.6943 0.23946409
85 201 4339.8677 0.07506124
85 201 4339.8677 0.07506124
85 235 5058.1074 0.12764002
86 90 1940.6417 0.111045144
86 118 2529.936 0.2384957
86 118 2529.936 0.2384957
89 154 3321.4075 0.11164518
89 154 3321.4075 0.11164518
90 118 2535.452 0.2045124
91 118 2539.2935 0.21291985
91 118 2539.2935 0.21291985
92 78 1673.1387 0.64650255
92 155 3329.1226 0.105598725
92 191 4106.9253 0.054684456
92 282 6068.0093 0.10772702
92 337 7258.8696 0.09009009
99 167 3599.5957 0.19147949
99 167 3599.5957 0.19147949
99 187 4028.9717 0.11044655
99 187 4028.9717 0.11044655
99 247 5319.623 0.12910919
100 51 1104.9583 1.065409
106 119 2563.7158 0.2342356
106 188 4043.4753 0.086436614
106 280 6026.1035 0.17771745
106 353 7597.6016 0.15847512
107 119 2560.6064 0.19038403
107 119 2560.6064 0.19038403
107 193 4158.8784 0.089837
107 193 4158.8784 0.089837
107 236 5083.8184 0.13554233
108 145 3128.8154 0.12833919
109 144 3121.0598 0.21138279
109 144 3121.0598 0.21138279
110 117 2515.6208 0.1348057
110 144 3104.9976 0.19599156
110 220 4734.1245 0.07105829
110 344 7390.4966 0.069805086
111 118 2529.6812 0.14935517
111 118 2529.6812 0.14935517
111 144 3100.5378 0.19176687
111 144 3100.5378 0.19176687
113 16 346.60782 30.032982
113 201 4317.573 0.05646976
113 201 4317.573 0.05646976
113 234 5040.3765 0.09539177
113 295 6347.949 0.09027348
119 69 1490.018 0.068870574
120 117 2531.1638 0.12880297
120 282 6084.6665 0.124510646
121 52 1115.4637 1.1484867
121 118 2531.9707 0.13214153
121 118 2531.9707 0.13214153
121 198 4267.6484 0.064086325
124 143 3072.0938 0.13733049
127 156 3358.7979 0.14946431
127 156 3358.7979 0.14946431
127 198 4249.402 0.056364346
127 198 4249.402 0.056364346
127 241 5191.595 0.12890658
127 347 7469.5103 0.06534186
134 264 5696.901 0.16898632
135 61 1312.6102 0.61748147
135 144 3097.992 0.15416813
135 220 4738.838 0.22512281
135 285 6128.966 0.22489983
135 354 7621.989 0.14692016
136 134 2875.8425 0.19507484
137 134 2873.8584 0.23620415
137 134 2873.8584 0.23620415
139 144 3098.908 0.13115351
139 144 3098.908 0.13115351
139 193 4150.878 0.12330583
139 193 4150.878 0.12330583
140 144 3103.2002 0.14535856
140 284 6123.264 0.13031925
142 61 1317.455 0.58501303
142 226 4874.5483 0.081372514
142 359 7722.975 0.0759969
143 133 2872.364 0.15289427
143 236 5084.5693 0.11574013
144 16 346.2116 49.268726
144 118 2535.3723 0.13337079
144 118 2535.3723 0.13337079
145 197 4257.406 0.07724917
145 197 4257.406 0.07724917
147 144 3106.4026 0.098400354
147 144 3106.4026 0.098400354
152 61 1317.9327 0.38279864
156 134 2881.6013 0.16563715
156 183 3950.6677 0.07962442
156 224 4833.749 0.11506404
156 363 7807.0293 0.10643455
