Event Bin Frequency Volume
1 31 659.1876 29.785608
1 76 1644.6719 6.257862
3 15 327.4124 26.675821
6 156 3375.07 1.4099625
6 196 4224.5596 1.6176007
6 265 5705.8564 1.2363616
6 293 6308.902 0.73460346
6 345 7420.0005 0.8644472
7 137 2946.2637 2.316755
7 164 3528.025 3.3612409
7 164 3528.025 3.3612409
7 191 4121.0938 1.5246749
7 191 4121.0938 1.5246749
8 136 2937.017 2.4742477
8 136 2937.017 2.4742477
10 136 2936.2874 0.8693309
11 137 2936.7053 0.7648511
11 137 2936.7053 0.7648511
13 61 1318.3044 1.8361235
13 233 5016.9526 4.847498
15 168 3622.562 3.4908466
15 191 4114.2065 7.2767596
15 348 7496.255 3.081586
16 161 3483.68 3.530455
16 161 3483.68 3.530455
16 188 4067.299 9.090262
16 188 4067.299 9.090262
16 284 6110.077 2.749437
20 187 4032.1472 0.8532668
21 187 4027.4478 0.6378702
21 187 4027.4478 0.6378702
23 133 2879.2554 0.37362418
23 237 5115.4585 0.3167239
23 286 6164.5376 0.5777919
23 356 7667.802 0.5081424
24 97 2092.6096 0.6004639
24 97 2092.6096 0.6004639
25 49 1048.6338 9.54893
25 158 3406.0493 0.5224574
27 24 523.6276 29.286098
28 158 3402.4758 0.5875523
28 158 3402.4758 0.5875523
33 16 337.85684 15.222807
34 194 4182.85 1.0822902
34 241 5195.4824 0.3040049
35 198 4261.682 1.6210756
35 198 4261.682 1.6210756
35 282 6071.5684 0.9013616
35 337 7249.744 1.1051899
37 115 2473.8918 0.6848494
37 161 3464.5735 1.5558105
38 92 1977.006 2.5950658
38 115 2474.5393 0.7461178
38 115 2474.5393 0.7461178
38 161 3461.31 1.5314415
38 161 3461.31 1.5314415
40 115 2468.2102 0.58457977
41 115 2472.1265 0.49544647
41 115 2472.1265 0.49544647
42 92 1976.5155 2.6583047
48 161 3465.3086 3.2098045
48 195 4192.71 1.4354818
48 274 5891.721 0.6125309
48 332 7152.1523 1.1231039
49 161 3464.942 3.7107081
49 161 3464.942 3.7107081
49 190 4082.8167 2.2742505
49 190 4082.8167 2.2742505
49 287 6179.022 0.752116
50 160 3456.4255 2.9460893
50 273 5885.6216 0.8500873
51 164 3534.5432 2.957799
51 164 3534.5432 2.957799
51 191 4122.908 1.3437462
51 346 7452.8584 0.5472557
52 191 4116.604 0.96114284
52 191 4116.604 0.96114284
52 282 6079.6665 0.4174384
53 100 2156.1318 4.1199913
54 100 2155.7942 3.701336
54 100 2155.7942 3.701336
55 18 391.8403 40.499363
55 91 1960.8649 3.8125038
60 18 391.69455 30.125141
60 73 1569.1085 1.5418036
60 118 2550.8616 0.86731625
60 164 3530.374 0.8610722
60 191 4116.539 0.3886907
60 273 5879.3955 0.20657586
60 319 6866.341 0.1568573
61 118 2544.9993 0.74582016
61 118 2544.9993 0.74582016
61 164 3528.046 0.68925375
61 164 3528.046 0.68925375
61 191 4116.2812 0.2245537
61 191 4116.2812 0.2245537
61 337 7255.119 0.17464672
71 55 1177.6973 0.77339774
74 146 3132.695 0.16273533
75 118 2543.5244 0.18780884
75 191 4114.4116 0.1277285
79 118 2529.9932 0.35049072
79 118 2529.9932 0.35049072
79 160 3454.3823 1.9216076
79 160 3454.3823 1.9216076
79 187 4031.3948 2.2670934
79 187 4031.3948 2.2670934
79 262 5650.185 0.31242424
79 293 6305.853 0.28191218
79 351 7552.033 0.5636495
80 161 3458.2297 3.95096
82 115 2459.2043 0.5651306
83 84 1813.0906 2.6974874
83 115 2473.9749 1.4831153
83 115 2473.9749 1.4831153
85 186 4014.4724 7.3482924
85 290 6248.0474 1.2846663
86 194 4170.81 5.484452
86 194 4170.81 5.484452
87 162 3484.15 2.4673731
87 162 3484.15 2.4673731
88 238 5115.2715 2.7462626
88 332 7152.3335 2.997214
90 161 3475.2493 2.3214743
