Event Bin Frequency Volume
1 114 2461.107 5.4924016
1 161 3469.4858 1.8170793
1 213 4579.066 0.51645505
1 251 5404.1655 0.5739476
2 164 3532.583 1.4125235
2 164 3532.583 1.4125235
2 219 4713.7393 0.30747506
2 219 4713.7393 0.30747506
8 298 6421.965 0.42406496
8 331 7129.1094 0.38747472
9 41 881.31177 62.500175
9 65 1393.8058 14.714527
9 123 2644.2288 1.2676654
9 123 2644.2288 1.2676654
10 41 880.3178 38.44488
10 65 1395.9058 15.97798
10 297 6410.012 0.17928664
15 96 2072.4834 1.4300667
15 155 3328.3755 1.3836253
15 220 4741.293 0.25223815
15 246 5303.3325 0.36268705
15 363 7814.6055 0.12149685
16 113 2433.8176 1.3042299
16 113 2433.8176 1.3042299
16 156 3354.0237 2.374976
16 156 3354.0237 2.374976
16 214 4604.3584 0.1757734
16 214 4604.3584 0.1757734
22 97 2096.9187 1.9350432
22 159 3425.104 1.1632448
22 191 4118.424 1.2549044
22 274 5902.0483 0.5619189
22 304 6543.0015 0.421225
22 329 7085.788 0.46103716
23 32 687.8306 15.177622
23 65 1402.8448 18.668455
23 200 4303.7266 0.4085333
23 200 4303.7266 0.4085333
25 97 2098.5383 1.8712053
25 97 2098.5383 1.8712053
29 153 3309.0098 0.78747094
29 153 3309.0098 0.78747094
30 102 2195.7332 1.2946218
30 159 3424.0176 0.69683117
30 191 4110.805 0.6569209
30 239 5146.0977 0.47434378
30 292 6286.605 0.43436676
30 357 7691.721 0.23422347
33 65 1398.5414 13.148361
37 20 430.29614 16.640976
37 41 880.71515 51.68236
37 96 2064.24 1.2911907
37 96 2064.24 1.2911907
37 153 3296.7378 0.58216333
37 153 3296.7378 0.58216333
37 199 4282.42 0.3700169
37 199 4282.42 0.3700169
44 113 2431.8735 1.4704514
44 142 3064.578 0.9545483
44 190 4107.075 0.13750969
44 285 6137.252 0.0824512
44 352 7580.264 0.065543406
45 41 880.08276 26.729057
45 82 1759.1948 8.333014
45 123 2641.7258 0.9677716
45 123 2641.7258 0.9677716
45 163 3514.7686 0.43598115
45 163 3514.7686 0.43598115
45 245 5273.7373 0.13526346
49 197 4232.748 0.0681385
49 197 4232.748 0.0681385
51 97 2089.6433 7.913159
51 145 3127.75 3.7827165
51 224 4822.907 3.9313211
51 264 5686.2954 3.874912
51 371 7985.7065 2.2809947
52 32 698.0618 27.526714
52 65 1400.1056 20.082096
52 94 2021.9209 13.054192
52 94 2021.9209 13.054192
52 181 3887.7515 3.5359318
52 181 3887.7515 3.5359318
52 218 4702.386 4.171854
52 218 4702.386 4.171854
52 287 6170.421 4.399182
59 16 345.21948 71.59138
60 15 329.01907 42.46852
60 65 1395.5685 13.361873
60 102 2206.5703 5.931239
60 165 3549.5647 3.396787
61 102 2204.0212 3.2509253
61 102 2204.0212 3.2509253
61 164 3539.739 1.912667
61 164 3539.739 1.912667
61 206 4439.848 0.2623391
66 41 881.7982 44.202312
66 198 4258.577 0.4190951
66 198 4258.577 0.4190951
66 263 5664.9326 0.3379993
66 286 6153.8877 0.51316124
66 344 7403.9893 0.3220597
72 153 3305.972 1.7164584
72 196 4215.3765 0.82507026
73 82 1765.3276 8.353528
73 127 2730.9453 3.5240402
73 153 3293.7256 5.093334
73 153 3293.7256 5.093334
73 196 4220.2715 2.5102072
73 196 4220.2715 2.5102072
73 249 5360.465 1.0010056
73 302 6502.2637 0.52947474
73 358 7707.344 0.7609556
79 15 329.5089 29.923
79 113 2440.3843 1.3709532
79 113 2440.3843 1.3709532
80 15 326.98074 51.88819
80 65 1397.3267 20.069834
80 147 3160.9255 0.77200234
80 227 4886.0527 0.26199707
80 259 5580.563 0.31792596
80 296 6379.433 0.2321767
80 374 8053.307 0.21285106
81 97 2096.042 2.0669787
87 167 3576.124 0.670991
87 167 3576.124 0.670991
87 196 4228.4004 0.17697793
87 196 4228.4004 0.17697793
88 128 2758.9272 3.726045
88 128 2758.9272 3.726045
90 65 1402.6945 9.228088
93 168 3613.4468 0.21997708
94 123 2636.84 1.5431104
94 153 3303.7046 0.31636658
94 153 3303.7046 0.31636658
94 200 4300.5283 0.30391786
94 255 5488.1914 0.27221754
94 297 6392.4604 0.28626567
94 336 7244.1567 0.2240538
95 15 337.7868 34.622807
95 41 880.03955 50.180405
95 102 2193.385 0.9618964
95 102 2193.385 0.9618964
95 199 4286.5444 0.23441419
95 199 4286.5444 0.23441419
108 105 2250.8137 4.9903464
108 151 3257.2793 4.841743
108 188 4033.969 3.3522186
108 261 5635.0547 3.6779928
108 330 7115.154 2.9703212
109 33 706.3762 36.076027
109 65 1396.9475 25.444458
109 96 2070.9924 9.672862
109 96 2070.9924 9.672862
109 149 3223.356 5.113369
109 149 3223.356 5.113369
109 217 4678.2036 5.518417
109 217 4678.2036 5.518417
109 287 6177.985 4.026364
110 33 700.6911 25.46021
110 175 3788.559 3.5974965
110 230 4952.2173 3.493527
110 281 6050.38 2.5844216
110 361 7781.6533 1.631192
111 156 3360.1992 2.984831
111 156 3360.1992 2.984831
111 210 4537.1665 2.5747392
111 210 4537.1665 2.5747392
111 247 5316.9463 2.8668125
116 65 1395.7827 22.17598
116 111 2397.965 7.6084523
117 102 2201.3916 3.8190942
117 102 2201.3916 3.8190942
121 122 2605.7095 1.1364915
121 163 3504.959 0.2949257
122 196 4217.5015 0.18076831
123 61 1315.3773 9.134747
123 122 2635.1724 0.9538723
123 122 2635.1724 0.9538723
123 164 3533.4111 0.38605955
123 164 3533.4111 0.38605955
123 193 4160.8433 0.28433606
123 193 4160.8433 0.28433606
123 251 5406.001 0.36810696
123 307 6613.858 0.32227165
123 360 7750.3403 0.36689305
124 41 880.80554 68.625694
131 41 882.49756 36.837482
131 82 1764.431 10.196266
136 151 3244.2917 1.0206974
137 102 2191.0095 5.820046
137 151 3253.1064 5.992228
137 151 3253.1064 5.992228
137 190 4090.2683 4.308004
137 265 5701.44 1.8965302
137 288 6202.6865 1.7245817
137 330 7104.9346 1.1230952
138 103 2214.183 1.6963327
138 103 2214.183 1.6963327
138 191 4100.3906 0.616248
138 191 4100.3906 0.616248
140 298 6409.1143 0.08477334
144 166 3560.0908 0.19589137
145 32 694.57886 22.682487
145 65 1397.545 20.967175
145 97 2090.9087 3.099711
145 153 3300.388 0.25264
145 153 3300.388 0.25264
145 195 4196.5825 0.29780638
145 260 5599.785 0.19120383
145 332 7133.085 0.06452084
146 97 2095.3564 1.5616784
146 97 2095.3564 1.5616784
146 195 4195.014 0.14593993
146 195 4195.014 0.14593993
151 311 6712.768 0.19911842
151 342 7345.447 0.16355231
152 36 780.92474 48.52151
152 203 4372.3853 0.19418512
153 15 328.92545 17.734373
153 110 2358.1404 0.72590744
153 146 3143.7485 0.55496156
159 73 1565.5536 9.109195
159 97 2091.0798 3.9717717
159 97 2091.0798 3.9717717
159 145 3128.3523 0.9002907
159 145 3128.3523 0.9002907
159 197 4237.2314 0.2588314
159 197 4237.2314 0.2588314
159 269 5798.8667 0.2345762
166 32 690.7667 29.334198
166 65 1399.8075 17.68141
166 115 2479.4937 6.1979403
166 179 3856.4172 5.305015
166 218 4692.086 4.8720193
166 240 5166.4424 3.6481445
166 285 6137.4536 4.081627
166 335 7218.252 2.1901743
167 92 2000.7504 4.405554
167 92 2000.7504 4.405554
167 147 3164.7468 5.056067
167 147 3164.7468 5.056067
167 198 4270.8916 3.6504853
167 198 4270.8916 3.6504853
169 16 349.34497 31.567102
170 16 348.4661 33.1966
170 237 5096.043 1.4521011
170 291 6262.7227 0.8543951
170 361 7772.2925 0.81639963
171 220 4736.395 0.66825515
173 97 2090.984 9.7164955
173 187 4035.8447 0.5633119
173 187 4035.8447 0.5633119
174 65 1396.1913 12.447139
174 128 2756.0032 13.465153
174 128 2756.0032 13.465153
174 165 3550.5186 1.8950598
175 165 3545.1062 1.6892874
175 165 3545.1062 1.6892874
180 16 348.80835 25.439894
181 36 779.6538 40.266388
181 109 2351.8372 3.7246344
181 222 4778.271 0.3601608
181 368 7933.196 0.49223655
187 134 2888.196 3.5802546
187 134 2888.196 3.5802546
187 160 3444.5686 1.386591
187 217 4685.022 0.69613045
187 217 4685.022 0.69613045
187 245 5284.48 0.4640736
187 300 6461.8857 0.5262328
188 73 1569.0385 14.155168
188 146 3127.4705 0.8129188
188 146 3127.4705 0.8129188
190 146 3142.6965 0.30791074
192 146 3136.0286 0.2669479
192 146 3136.0286 0.2669479
