Event Bin Frequency Volume
0 307 6610.6934 0.12054792
1 116 2499.8157 0.47233266
1 157 3376.4502 0.3182772
2 74 1573.1241 0.8420909
2 156 3361.957 0.37127513
2 156 3361.957 0.37127513
3 349 7500.8228 0.07641654
5 116 2496.6396 0.4685331
5 116 2496.6396 0.4685331
5 198 4262.419 0.11781995
6 198 4263.3286 0.14749703
6 198 4263.3286 0.14749703
6 259 5580.1714 0.12592186
11 113 2418.4795 1.4992911
11 170 3649.0134 1.4013857
11 193 4136.4463 0.47891656
12 335 7211.356 0.8325075
12 76 1639.2522 3.982873
12 113 2433.026 3.9125905
12 113 2433.026 3.9125905
12 170 3661.6704 6.930565
12 170 3661.6704 6.930565
12 191 4113.2686 1.7187512
12 191 4113.2686 1.7187512
12 251 5404.689 1.2221437
12 288 6199.743 1.2919378
28 37 792.8925 20.376993
28 79 1700.5046 13.627124
28 115 2475.2312 8.925048
28 156 3358.5735 5.409977
28 214 4614.0537 2.0652435
28 244 5254.5815 2.4660447
28 286 6154.209 1.5927795
28 352 7581.7495 1.9101809
29 110 2370.9314 1.8631189
29 110 2370.9314 1.8631189
29 156 3354.9404 1.0380949
29 156 3354.9404 1.0380949
29 212 4551.794 1.3998041
29 212 4551.794 1.3998041
30 99 2140.338 1.1189021
30 150 3219.293 2.188715
30 244 5262.6616 1.5565927
31 77 1649.9476 6.2390585
31 154 3320.2156 3.7159011
31 154 3320.2156 3.7159011
31 215 4632.44 0.83243406
32 348 7495.5444 0.9809921
33 229 4924.894 0.7728972
33 229 4924.894 0.7728972
33 317 6828.669 1.0020369
39 120 2581.938 1.0582459
39 120 2581.938 1.0582459
45 111 2389.5183 8.275482
45 219 4707.6763 1.7248387
45 148 3195.4548 2.9555554
45 305 6551.629 1.3787519
46 108 2327.835 9.746646
46 108 2327.835 9.746646
46 72 1550.3312 11.640692
46 206 4436.15 2.5973644
46 206 4436.15 2.5973644
46 158 3403.1724 4.490257
46 158 3403.1724 4.490257
46 241 5189.8745 3.7663062
46 335 7210.785 2.1523185
50 117 2508.8806 0.5499331
50 209 4500.1245 0.28200027
50 168 3605.9858 0.38172108
50 241 5194.7266 0.48697385
51 130 2803.089 0.5870252
51 130 2803.089 0.5870252
52 165 3559.475 0.2621697
52 165 3559.475 0.2621697
54 194 4181.3613 0.20651889
54 194 4181.3613 0.20651889
56 52 1106.06 2.0329807
57 343 7389.754 0.19448642
58 292 6285.2627 0.2460715
64 99 2111.2605 9.819456
64 78 1672.3839 28.766212
64 189 4064.332 4.030919
64 164 3551.1821 4.2508416
64 292 6281.646 2.895993
64 327 7027.513 1.5487071
65 100 2155.4194 5.464795
65 100 2155.4194 5.464795
65 190 4089.3933 3.9003851
65 190 4089.3933 3.9003851
65 162 3488.7446 3.563952
65 162 3488.7446 3.563952
65 236 5085.4883 4.0680995
71 343 7373.7153 1.980038
71 125 2695.4197 0.6199597
71 233 5022.3237 1.419238
72 111 2396.49 0.6701195
72 111 2396.49 0.6701195
72 79 1707.1818 0.9915278
72 162 3499.0366 1.1603258
73 162 3481.229 0.93431604
73 162 3481.229 0.93431604
74 205 4415.9463 0.9702831
75 205 4418.963 0.89306664
75 205 4418.963 0.89306664
75 291 6264.9106 1.8083875
80 120 2580.9321 0.5872449
80 263 5670.8438 0.3845066
80 286 6145.6675 0.5794712
80 156 3352.08 0.5777761
80 344 7403.283 0.6345456
81 120 2584.5647 0.575342
81 120 2584.5647 0.575342
81 156 3352.3613 0.4507337
81 156 3352.3613 0.4507337
82 205 4420.494 0.30346492
83 205 4419.298 0.31399912
