Event Bin Frequency Volume
0 87 1873.3887 7.9810567
0 109 2347.1191 7.5395865
0 157 3380.713 9.441298
0 188 4048.2422 8.625576
0 246 5297.168 6.09638
0 280 6029.297 6.852368
0 331 7127.49 6.112856
1 16 348.78983 23.926676
1 54 1173.9703 10.259606
1 106 2282.3086 6.338864
1 173 3726.2942 6.790814
1 210 4508.6216 8.134013
1 248 5340.539 10.454438
1 310 6679.691 9.020884
1 372 8010.974 6.236834
2 16 350.1898 23.31618
2 58 1255.7349 8.201178
2 117 2529.549 9.940323
2 160 3448.061 7.583611
2 215 4629.6045 10.260107
2 240 5162.5415 6.0887055
2 289 6224.2637 7.6718445
2 341 7336.484 8.682644
3 16 350.46988 28.11576
3 47 1000.03625 8.405751
3 95 2048.2383 9.188124
3 147 3159.815 9.700714
3 209 4487.912 6.415976
3 238 5114.3857 8.717466
3 297 6374.754 8.392155
3 347 7469.112 7.818965
4 16 348.6819 27.982788
4 72 1535.3044 7.2323365
4 97 2091.653 8.976436
4 168 3617.5566 7.2224174
4 196 4233.0493 6.5083895
4 247 5321.726 7.440002
4 315 6781.5645 7.726997
4 365 7846.1855 7.2463994
5 16 348.17123 28.816761
5 96 2075.9346 8.899848
5 159 3410.2688 9.04531
5 203 4361.8774 8.504299
5 237 5108.0156 7.431631
5 297 6403.965 6.3625536
5 329 7078.2637 8.921074
6 16 346.8004 24.002542
6 48 1043.5848 8.549309
6 108 2322.8315 9.012214
6 144 3098.8545 6.6496167
6 215 4623.1865 7.6601176
6 256 5527.7764 8.231156
6 297 6402.922 7.3794208
6 337 7265.7524 7.6971874
7 16 349.81018 21.638594
7 60 1301.2029 6.7964563
7 111 2410.2693 6.4723644
7 144 3105.0623 8.339611
7 205 4412.136 8.609788
7 261 5623.8643 8.653239
7 298 6410.616 8.96387
7 336 7241.701 8.0001335
8 16 348.15134 23.325695
8 79 1685.9935 8.6028385
8 108 2315.0022 7.064919
8 172 3706.587 6.5887218
8 214 4599.703 8.816855
8 263 5665.2354 8.460574
8 314 6767.8843 8.854103
8 345 7431.6016 6.493612
9 78 1688.9525 7.9270897
9 102 2200.586 6.9928083
9 152 3274.3198 7.1751933
9 197 4244.7695 8.201564
9 241 5193.45 6.273805
9 294 6329.7563 8.175152
9 339 7301.819 7.245069
10 16 347.73282 19.771456
10 72 1544.8411 7.998887
10 96 2065.0398 6.705949
10 182 3920.0562 6.114585
10 203 4380.945 7.6137295
10 262 5643.4297 7.44756
10 292 6284.1646 6.6470613
10 337 7243.684 6.3756986
11 16 352.35037 28.731071
11 50 1083.6045 6.231872
11 128 2764.6643 6.593419
11 156 3354.5906 6.5059752
11 215 4632.5146 9.984126
11 261 5624.808 9.256099
11 281 6048.5605 6.7498856
11 330 7105.0957 8.922578
12 16 349.63052 39.51835
12 70 1495.8446 6.8748245
12 98 2114.7617 8.630251
12 158 3412.8765 9.94927
12 219 4703.2583 9.588052
12 257 5516.0454 6.439537
12 305 6576.301 5.333309
12 340 7324.0615 8.11866
13 16 350.46912 36.632584
13 60 1283.0022 6.525116
13 160 3449.1006 8.477129
13 217 4681.6777 10.156514
13 249 5345.187 6.7542295
13 286 6158.408 8.678258
13 343 7376.8276 7.048051
14 16 349.89746 25.197056
14 63 1360.6505 10.179552
14 127 2729.8813 8.053204
14 170 3663.141 7.821771
14 190 4095.37 7.7548
14 254 5470.228 6.9654713
14 292 6277.9453 10.265583
14 333 7170.6396 7.5791025
15 60 1296.273 10.642053
15 117 2516.5957 6.7623477
15 171 3668.8706 9.337578
15 204 4391.973 7.2370157
15 265 5716.613 9.1404505
15 305 6546.9834 6.955051
15 330 7096.5273 7.724134
16 60 1298.0576 10.131099
16 118 2561.519 5.984735
16 142 3043.7952 5.284724
16 194 4186.5884 9.043501
16 249 5357.304 8.456257
16 298 6417.415 10.887631
16 335 7231.0815 7.3153315
17 63 1358.4001 6.313743
17 95 2033.8069 7.80874
17 151 3249.496 11.166258
17 200 4321.5527 9.176136
17 270 5833.9443 8.352277
17 308 6644.5796 10.490898
17 333 7163.915 10.70216
18 16 348.43732 23.239252
18 54 1152.5244 8.935846
18 111 2405.3457 7.1555266
18 149 3190.4695 6.769444
18 208 4471.1997 7.67242
18 243 5236.953 7.076963
18 281 6049.781 7.5213265
18 333 7170.7837 8.57649
19 16 348.73688 27.313194
19 57 1235.3866 8.629674
19 112 2404.7542 7.4722505
19 188 4055.4578 8.668328
19 266 5731.053 8.592377
19 293 6298.9746 5.7092137
19 328 7063.8247 7.0987234
20 16 352.59158 23.894459
20 66 1403.8589 10.801054
20 129 2776.3018 6.1338615
20 149 3206.1047 9.296008
20 191 4106.274 7.392612
20 262 5644.675 6.501646
20 285 6122.315 7.5707297
20 353 7606.311 6.787585
21 66 1423.0875 6.9623837
21 95 2047.0753 8.433835
21 151 3256.3337 9.202748
21 212 4564.6846 9.242923
21 266 5744.078 8.6781225
21 354 7615.804 7.210994
22 90 1956.8804 8.644239
22 135 2911.8997 6.969594
22 164 3527.0693 8.626314
22 221 4771.5195 9.936228
22 241 5187.4033 6.677216
22 290 6250.31 6.878344
22 341 7338.124 8.30808
23 50 1071.3308 9.064202
23 104 2253.8818 5.780848
23 149 3209.3406 9.136708
23 195 4190.7627 8.403441
23 293 6310.8594 10.371638
23 327 7034.1074 9.526037
24 18 391.9188 23.127798
24 49 1056.1201 7.275374
24 95 2053.871 7.41778
24 162 3476.3193 7.07477
24 196 4207.4873 6.3704247
24 266 5738.1636 7.327239
24 301 6482.067 8.516363
24 329 7100.526 7.68075
25 49 1062.1177 8.547253
25 120 2584.5593 7.4678774
25 145 3122.077 8.449375
25 208 4480.3843 7.526926
25 250 5377.432 7.1032324
25 291 6267.548 8.179017
25 339 7304.388 5.6032662
26 73 1587.6106 10.170651
26 96 2076.4968 8.036696
26 166 3589.6753 8.104212
26 210 4528.833 7.8580513
26 258 5547.945 8.1708975
26 281 6048.677 7.277021
26 363 7817.178 7.600726
27 54 1167.2831 7.937534
27 95 2056.6677 6.541854
27 169 3646.1958 7.3223343
27 192 4121.5083 8.040212
27 238 5129.6123 5.802532
27 280 6030.6055 8.039015
27 328 7062.361 5.1322
28 71 1537.2821 7.502393
28 109 2342.0889 8.846935
28 148 3172.5256 9.179281
28 205 4415.436 5.5760975
28 235 5054.9087 9.593702
28 320 6882.5947 7.5365267
28 351 7564.288 6.8682904
29 54 1156.1755 9.190471
29 96 2069.3252 6.0280957
29 159 3421.6458 7.556066
29 194 4182.2754 6.237182
29 255 5487.7256 9.0724325
29 330 7116.659 8.295741
30 18 393.5269 23.992292
30 106 2273.8337 7.278552
30 156 3365.2334 10.090934
30 213 4593.026 8.039877
30 246 5294.0117 6.8379354
30 294 6341.4653 5.292687
30 342 7371.0557 7.5262575
31 49 1055.4044 6.1875606
31 127 2721.3909 8.119651
31 154 3333.011 11.032354
31 191 4113.9146 9.347221
31 247 5315.986 4.0477986
31 311 6701.749 7.6385875
31 342 7363.8467 6.037795
32 62 1340.3662 6.48219
32 125 2672.694 9.840238
32 161 3472.208 10.456206
32 220 4725.8706 7.722069
32 255 5482.941 6.0884438
32 285 6140.1406 10.461566
32 338 7282.537 9.466103
33 63 1346.5083 8.992475
33 94 2006.5974 10.522224
33 142 3056.3354 8.814946
33 217 4676.126 7.3725953
33 264 5690.5474 8.4507475
33 284 6127.222 7.1774087
33 326 7026.581 6.4712424
34 56 1203.5594 8.846027
34 95 2038.7083 7.2667184
34 188 4051.6787 10.798156
34 250 5367.6187 7.494424
34 319 6865.1675 8.041931
34 353 7607.489 5.9404535
35 61 1333.0957 9.569146
35 115 2484.6572 9.625964
35 159 3432.2693 10.552733
35 212 4553.6797 7.2859473
35 240 5176.566 6.2721987
35 318 6849.6157 7.075292
35 346 7449.3354 7.239894
36 18 391.69025 20.435429
36 52 1106.1271 7.8582416
36 98 2106.839 6.416761
36 172 3703.3135 8.451891
36 199 4264.725 7.5373316
36 250 5381.5537 8.196396
36 283 6099.165 9.299033
36 348 7490.7896 7.476402
37 70 1500.6469 8.781692
37 122 2629.4426 8.537063
37 142 3049.98 8.129484
37 215 4611.756 7.3522115
37 238 5124.7134 8.015059
37 282 6077.2427 7.6273875
37 342 7364.8857 7.060857
38 77 1661.4633 6.803526
38 108 2324.6228 10.523125
38 159 3422.3547 5.9882793
38 199 4285.5605 8.273735
38 237 5111.7983 7.905895
38 288 6207.172 10.0316515
38 327 7041.174 6.680271
39 67 1457.1306 9.259006
39 131 2806.35 6.118689
39 166 3573.1318 7.4643726
39 222 4762.3887 8.411746
39 242 5215.8696 9.101748
39 314 6743.147 7.2577934
39 352 7585.715 6.6845713
40 48 1031.4548 5.7808485
40 95 2036.0468 8.322617
40 144 3095.6143 9.129951
40 198 4274.56 7.4593015
40 242 5210.9307 11.37663
40 286 6149.5513 8.142066
40 349 7520.489 7.259287
41 16 349.09915 20.572779
41 68 1459.9867 10.146722
41 94 2030.085 7.3955507
41 187 4021.6082 9.590346
41 253 5437.247 8.990632
41 285 6141.742 8.533188
41 341 7350.771 8.289115
42 51 1101.8724 7.4827404
42 95 2046.5537 9.173434
