Event Bin Frequency Volume
2 74 1573.1284 0.9201054
99 339 7289.1885 0.3297802
1 116 2499.812 0.5165318
5 116 2496.6306 0.5124372
5 116 2496.6306 0.5124372
1 157 3376.4487 0.3481316
2 156 3361.9639 0.4056121
2 156 3361.9639 0.4056121
5 198 4262.4946 0.12844379
6 198 4263.3325 0.1618347
6 198 4263.3325 0.1618347
6 259 5580.138 0.13795885
0 307 6610.6934 0.1320323
3 349 7500.662 0.083151825
90 47 1020.6043 1.1466697
97 116 2497.803 0.62768865
99 118 2539.87 0.79442066
99 118 2539.87 0.79442066
93 257 5532.0254 0.37012124
99 303 6518.116 0.6724909
91 156 3350.9702 0.36825508
99 150 3230.9783 0.35694283
99 150 3230.9783 0.35694283
95 196 4228.121 0.13478573
99 215 4622.761 0.36481416
99 215 4622.761 0.36481416
188 161 3465.4802 0.44145146
189 161 3465.9722 0.48887298
189 161 3465.9722 0.48887298
186 228 4909.333 0.86423516
187 221 4751.567 0.41058165
187 221 4751.567 0.41058165
186 254 5471.8135 0.94982857
186 286 6150.133 1.3277472
187 82 1763.6556 7.974456
181 109 2353.7524 8.575442
182 109 2356.0298 7.9049907
182 109 2356.0298 7.9049907
186 346 7446.2417 0.5042601
45 111 2389.4988 8.995983
46 108 2327.8477 10.608716
46 108 2327.8477 10.608716
131 360 7753.2246 1.6109042
46 77 1654.3168 12.696344
45 219 4707.7573 1.8343911
46 206 4436.071 2.799759
46 206 4436.071 2.799759
45 148 3195.4297 3.173662
46 158 3403.2537 4.8934293
46 158 3403.2537 4.8934293
45 305 6551.883 1.5087901
46 241 5189.867 4.0718656
130 109 2358.2078 34.94551
131 109 2357.5933 33.52674
131 109 2357.5933 33.52674
131 56 1203.6686 6.718685
46 335 7210.9756 2.3753376
131 316 6803.2095 2.3858702
131 276 5943.413 1.7110028
131 189 4069.5525 4.114287
132 213 4568.605 0.96392095
132 213 4568.605 0.96392095
131 169 3639.5518 6.2330837
132 182 3919.7375 1.2716216
132 182 3919.7375 1.2716216
12 335 7211.346 0.9101089
86 67 1438.41 1.0293725
80 120 2580.9385 0.6420282
81 120 2584.564 0.6292139
81 120 2584.564 0.6292139
80 263 5670.832 0.4201474
80 286 6145.6875 0.6340085
80 156 3352.0771 0.6315473
81 156 3352.3645 0.49252644
81 156 3352.3645 0.49252644
82 205 4420.4756 0.33178988
83 205 4419.304 0.34302548
83 205 4419.304 0.34302548
12 76 1639.2517 4.3538423
80 344 7403.2896 0.69352376
11 113 2418.4363 1.6393113
12 113 2433.0264 4.277191
12 113 2433.0264 4.277191
11 170 3648.9587 1.5316375
12 170 3661.6724 7.5763297
12 170 3661.6724 7.5763297
11 193 4136.591 0.52356017
12 191 4113.273 1.8792437
12 191 4113.273 1.8792437
12 251 5404.6855 1.3357087
12 288 6199.7466 1.4120257
199 350 7537.788 0.99598557
197 151 3271.0352 0.6751588
198 163 3503.1208 0.98627305
198 163 3503.1208 0.98627305
198 201 4332.999 0.34293282
199 204 4409.465 0.32407683
199 204 4409.465 0.32407683
199 248 5326.54 0.61275095
199 283 6102.3447 0.4516767
197 55 1176.1083 4.8209343
193 110 2360.491 4.0701942
196 109 2354.764 4.075698
196 109 2354.764 4.075698
126 110 2360.1921 44.0212
127 109 2357.6812 42.716446
127 109 2357.6812 42.716446
57 343 7389.7563 0.21264623
129 82 1770.1785 7.2222347
121 301 6480.6846 3.1809058
122 257 5539.3926 2.9777493
121 190 4090.371 4.38024
128 197 4230.412 1.632897
128 197 4230.412 1.632897
122 161 3469.04 3.8925745
128 139 3011.4128 6.557237
128 139 3011.4128 6.557237
50 117 2508.881 0.6013968
51 130 2803.085 0.64160323
51 130 2803.085 0.64160323
56 52 1106.0609 2.2224607
121 344 7406.255 3.97069
50 209 4500.1133 0.30842337
54 194 4181.3647 0.22643863
54 194 4181.3647 0.22643863
50 168 3606.0383 0.41686243
52 165 3559.475 0.28663155
52 165 3559.475 0.28663155
58 292 6285.2646 0.2695899
50 241 5194.73 0.5323237
166 172 3704.4424 2.7900956
167 170 3668.1406 4.1909056
167 170 3668.1406 4.1909056
166 199 4279.6406 0.63525295
167 198 4244.1035 0.8893066
167 198 4244.1035 0.8893066
164 263 5680.329 0.2753236
160 307 6608.3857 0.16133814
165 23 493.28888 18.677265
167 34 731.2275 15.468406
167 56 1206.2925 7.663414
162 109 2358.3337 4.288527
167 110 2359.9917 4.1656446
167 110 2359.9917 4.1656446
160 341 7348.9136 0.13307741
28 37 792.888 22.237972
28 79 1700.5037 14.877894
112 330 7105.611 2.5465784
28 115 2475.2231 9.725835
29 110 2370.9556 2.0365524
29 110 2370.9556 2.0365524
28 156 3358.57 5.8736334
29 156 3354.9626 1.1347916
29 156 3354.9626 1.1347916
28 214 4614.1494 2.2204692
29 212 4551.5933 1.5302978
29 212 4551.5933 1.5302978
28 244 5254.6157 2.7004044
28 315 6786.385 2.2671297
28 352 7581.675 2.1118426
114 69 1485.3191 5.1703777
112 128 2756.462 8.185206
115 110 2360.7788 8.039046
115 110 2360.7788 8.039046
112 237 5104.8496 0.98612666
111 324 6988.4204 1.0704166
111 157 3370.5635 1.6068571
112 149 3206.8892 3.4154227
112 149 3206.8892 3.4154227
111 191 4126.0576 1.2813609
112 206 4439.2705 1.4138501
112 206 4439.2705 1.4138501
200 229 4930.4316 1.345755
206 205 4419.012 1.1481093
206 205 4419.012 1.1481093
205 148 3183.366 1.7498027
207 164 3529.844 0.99194854
207 164 3529.844 0.99194854
201 294 6331.131 1.9079937
200 249 5360.899 2.1195319
206 25 538.8926 33.510105
202 110 2364.6262 11.331732
203 110 2367.1218 3.960255
203 110 2367.1218 3.960255
208 55 1175.7761 5.467928
200 351 7554.2314 1.6314865
65 32 694.76697 15.29954
64 99 2111.2134 10.667647
65 100 2155.388 5.9575744
65 100 2155.388 5.9575744
151 351 7549.775 0.48674023
64 78 1672.3575 30.927486
64 189 4064.5776 4.2525644
65 190 4089.2441 4.114554
65 190 4089.2441 4.114554
64 164 3551.1155 4.543476
66 141 3044.3179 3.8943315
66 141 3044.3179 3.8943315
64 292 6281.6787 3.166882
65 236 5085.7964 4.339935
154 109 2355.9026 12.37012
155 109 2356.4976 13.476498
155 109 2356.4976 13.476498
158 61 1293.1725 5.599609
64 327 7027.786 1.6300241
157 24 521.3031 31.139875
158 298 6421.7734 0.55847996
151 243 5220.948 0.37881652
157 187 4031.8777 1.1672164
158 196 4215.9683 1.9231137
158 196 4215.9683 1.9231137
157 140 3009.7312 2.8915427
158 166 3566.449 4.139651
158 166 3566.449 4.139651
170 341 7335.8394 0.08893625
170 169 3659.0981 0.31751966
179 144 3098.3264 0.20602624
179 144 3098.3264 0.20602624
170 190 4100.7603 0.1292911
171 196 4207.291 0.16417122
171 196 4207.291 0.16417122
177 248 5340.2886 0.27837783
176 291 6259.109 0.12288419
170 82 1768.5685 4.872189
176 102 2198.689 3.39208
177 102 2204.4622 3.226209
177 102 2204.4622 3.226209
32 348 7495.5615 1.0730041
104 69 1485.0095 7.2896333
101 109 2355.8274 6.0417194
102 110 2359.5574 6.779399
102 110 2359.5574 6.779399
106 258 5560.826 2.026428
100 305 6563.621 2.1351194
106 165 3567.6719 0.836725
107 154 3316.6428 0.6897609
107 154 3316.6428 0.6897609
100 220 4735.867 1.466116
107 210 4527.9995 0.17082311
107 210 4527.9995 0.17082311
31 77 1649.949 6.8199983
100 345 7431.453 0.89954233
30 99 2140.3345 1.2232726
39 120 2581.9402 1.1565255
39 120 2581.9402 1.1565255
30 150 3219.267 2.3930523
31 154 3320.2178 4.0620146
31 154 3320.2178 4.0620146
31 215 4632.419 0.91025925
33 229 4924.903 0.84532815
33 229 4924.903 0.84532815
30 244 5262.6616 1.7015378
33 317 6828.6694 1.095902
214 350 7551.594 0.4482036
213 205 4423.686 0.5296076
214 201 4325.173 0.67383236
214 201 4325.173 0.67383236
213 143 3083.4194 1.2516901
214 174 3743.279 1.1776327
214 174 3743.279 1.1776327
214 292 6279.547 0.5146108
211 263 5668.2925 0.62838197
211 110 2367.06 2.905847
213 110 2366.6035 2.7507746
213 110 2366.6035 2.7507746
214 55 1181.1743 4.04005
140 109 2357.0007 20.948072
141 110 2360.471 15.775991
141 110 2360.471 15.775991
145 69 1483.9166 4.193172
71 343 7373.761 2.1644585
142 292 6276.1685 1.7875458
146 243 5228.413 1.4000431
141 230 4956.4277 0.41808602
143 205 4409.921 0.6600883
143 205 4409.921 0.6600883
141 161 3462.8945 0.680287
149 150 3233.43 1.3393375
149 150 3233.43 1.3393375
71 125 2695.456 0.6779558
72 111 2396.4912 0.7323271
72 111 2396.4912 0.7323271
142 331 7148.568 1.1221823
72 79 1707.2174 1.0839449
74 205 4415.9473 1.0609444
75 205 4418.9585 0.97639424
75 205 4418.9585 0.97639424
72 162 3499.051 1.2684965
73 162 3481.2263 1.0211431
73 162 3481.2263 1.0211431
75 291 6264.912 1.9766281
71 233 5022.3145 1.552349
