Event Bin Frequency Volume
0 163 3509.912 2.0248291
0 190 4091.3086 1.8722986
0 272 5857.0312 0.64895445
0 310 6675.293 0.51252836
1 27 584.1901 36.067715
1 190 4096.1025 0.81217945
1 190 4096.1025 0.81217945
1 358 7713.209 0.36549842
6 109 2345.603 5.871399
9 54 1171.0269 38.554565
9 109 2344.0881 5.6354446
9 109 2344.0881 5.6354446
9 163 3522.2224 1.2868234
9 163 3522.2224 1.2868234
12 109 2348.208 6.551543
14 198 4261.6914 4.711536
15 54 1171.8672 30.591257
15 158 3400.3315 5.657441
15 186 4014.377 4.0197096
15 186 4014.377 4.0197096
15 346 7465.03 2.293543
16 109 2349.1453 6.840661
16 109 2349.1453 6.840661
16 177 3791.9268 3.8743184
16 177 3791.9268 3.8743184
16 242 5209.963 3.9338646
16 288 6211.2754 4.4817924
21 54 1171.4252 32.795494
22 156 3363.9827 4.6577234
22 284 6129.6606 0.6332124
23 18 390.8628 54.625652
23 109 2351.624 4.361011
23 155 3345.8962 5.775947
23 155 3345.8962 5.775947
23 218 4709.091 0.50492126
26 27 586.1669 18.482706
29 97 2083.3337 7.808189
29 97 2083.3337 7.808189
29 194 4175.788 0.9920243
29 194 4175.788 0.9920243
29 243 5228.511 1.0865605
29 369 7944.121 0.41939223
30 97 2084.8564 10.401596
31 97 2089.683 9.74545
31 97 2089.683 9.74545
32 48 1043.1414 28.313488
35 146 3154.0574 1.3880612
36 167 3594.3518 1.8286917
36 167 3594.3518 1.8286917
36 200 4307.468 1.1892319
36 259 5579.1562 0.7992156
36 281 6044.8345 0.3970911
36 349 7514.776 0.56006867
37 199 4299.488 0.46183783
37 199 4299.488 0.46183783
39 15 329.6721 42.33218
40 15 329.57758 41.52848
42 48 1042.0703 21.59872
42 97 2089.1519 4.986271
43 97 2091.3252 3.6530652
43 97 2091.3252 3.6530652
43 146 3137.6377 1.3006054
43 219 4703.9683 0.49758908
43 263 5672.7793 0.26818827
43 298 6408.543 0.3202845
43 330 7109.4277 0.31852815
46 146 3134.9722 1.0879787
46 146 3134.9722 1.0879787
49 194 4183.9414 0.3627348
49 194 4183.9414 0.3627348
50 48 1042.8513 26.826288
51 194 4182.9014 0.39261258
55 24 522.3423 20.774696
55 97 2089.0803 4.2574754
56 97 2088.3333 4.4253345
56 97 2088.3333 4.4253345
57 146 3137.377 0.6358804
58 160 3443.484 0.9985268
58 160 3443.484 0.9985268
58 221 4770.154 0.5547213
58 221 4770.154 0.5547213
58 260 5603.6616 0.31558028
58 288 6198.9956 0.40727052
58 339 7305.817 0.1769224
59 15 329.65506 60.663387
60 15 329.63412 46.804153
62 31 657.97345 46.607883
64 61 1316.7599 13.856167
65 113 2433.1763 2.9320078
65 156 3357.6665 5.2402067
65 196 4235.1455 0.18142542
65 240 5158.225 0.11009488
65 283 6088.7373 0.14829753
65 340 7317.257 0.13367309
66 113 2437.9097 4.33419
66 113 2437.9097 4.33419
66 155 3343.2788 5.5360994
66 155 3343.2788 5.5360994
66 216 4661.9185 0.17572416
66 216 4661.9185 0.17572416
70 61 1316.0074 12.437162
71 113 2424.8267 4.195321
71 163 3489.7263 4.369918
71 280 6011.2153 6.354578
72 106 2282.7534 10.170986
72 106 2282.7534 10.170986
72 179 3853.4595 7.0754485
72 179 3853.4595 7.0754485
72 202 4352.0005 3.0972352
72 336 7231.0693 2.1022573
73 219 4717.3115 4.5416894
73 219 4717.3115 4.5416894
74 237 5106.5425 4.248895
75 30 655.3203 41.57145
80 213 4589.054 0.42711428
80 242 5215.869 0.48862162
81 193 4157.0913 0.26854774
81 193 4157.0913 0.26854774
82 61 1316.6678 7.768509
83 153 3295.5312 0.47003782
84 122 2634.8325 0.8536194
85 30 656.58215 35.119743
86 122 2635.6633 1.6401607
86 122 2635.6633 1.6401607
86 153 3290.1956 0.62975824
86 153 3290.1956 0.62975824
86 302 6493.3564 0.4173194
87 369 7943.4136 0.4599381
91 123 2636.451 0.5375819
94 153 3292.3257 0.56743145
94 236 5082.2905 0.2674693
94 314 6764.8467 0.20236865
94 348 7492.84 0.12174243
95 61 1316.5706 10.208414
97 31 657.2583 27.092123
97 153 3294.2773 0.5300084
97 153 3294.2773 0.5300084
97 214 4611.874 0.11409853
98 196 4218.7954 0.2011624
98 196 4218.7954 0.2011624
99 124 2678.7915 0.76734483
99 124 2678.7915 0.76734483
100 24 518.17 17.712542
100 49 1052.6458 12.912892
100 123 2654.1213 4.8467565
100 148 3175.3057 5.164307
