Event Bin Frequency Volume
5 50 1077.5432 0.21892582
5 143 3077.038 0.55884415
5 279 6004.0977 0.48796612
5 328 7073.4297 0.62676567
6 119 2559.1472 0.6950749
6 188 4047.6135 0.31185803
7 119 2564.075 0.6308876
7 119 2564.075 0.6308876
7 188 4051.5066 0.26078343
7 188 4051.5066 0.26078343
7 237 5102.2803 0.41061363
8 149 3212.516 0.5126684
8 149 3212.516 0.5126684
10 119 2563.6987 0.66858053
11 75 1622.2096 0.21107094
11 119 2562.626 0.48908445
11 119 2562.626 0.48908445
11 144 3100.0984 0.37676463
11 217 4678.571 0.19166704
12 144 3097.398 0.30931744
12 144 3097.398 0.30931744
12 202 4341.2686 0.16773798
12 202 4341.2686 0.16773798
12 237 5105.8164 0.2469406
13 339 7302.186 0.20775694
14 285 6127.0557 0.46803755
21 75 1616.9795 0.24818864
21 119 2564.967 0.44229522
25 134 2883.2222 0.43821055
25 134 2883.2222 0.43821055
26 219 4698.3 0.30765593
26 275 5909.927 0.19834948
26 323 6954.319 0.23010649
27 18 394.50494 17.77136
27 148 3193.9478 0.26505312
27 224 4819.1157 0.18964683
27 224 4819.1157 0.18964683
27 327 7041.49 0.23659687
28 148 3189.769 0.26677722
28 148 3189.769 0.26677722
30 47 1015.16974 0.17792924
30 175 3769.1187 0.19431193
31 184 3968.5464 0.17763466
31 184 3968.5464 0.17763466
32 236 5077.3296 0.12621701
33 224 4823.6274 0.24153176
33 369 7936.8086 0.12821607
34 136 2926.9824 0.19253409
34 224 4822.037 0.15756175
34 224 4822.037 0.15756175
37 137 2953.5989 0.17273493
37 137 2953.5989 0.17273493
38 313 6744.6157 0.15014336
40 308 6636.962 0.17969239
41 18 392.15552 20.755505
41 220 4741.0312 0.20071445
42 236 5088.3423 0.18611316
44 116 2498.6655 0.227082
44 175 3759.7795 0.13866812
45 175 3770.127 0.1804913
45 175 3770.127 0.1804913
48 224 4817.2686 0.12780079
48 224 4817.2686 0.12780079
48 364 7830.5527 0.11466068
49 61 1314.2064 0.34762543
49 134 2878.4912 0.2006533
49 134 2878.4912 0.2006533
52 142 3063.367 0.11687068
54 116 2488.7058 0.17893074
54 198 4259.965 0.07601259
55 18 393.792 20.744291
56 141 3052.891 0.1524956
56 141 3052.891 0.1524956
56 289 6226.067 0.11505985
57 61 1315.9708 0.56359214
58 224 4819.772 0.100383885
58 224 4819.772 0.100383885
58 351 7556.6157 0.096809015
59 116 2498.37 0.17776679
59 116 2498.37 0.17776679
59 236 5081.73 0.14272782
60 61 1317.1799 0.37740725
60 144 3096.9966 0.13717872
61 110 2363.124 0.14656529
61 199 4286.7246 0.05788022
62 324 6975.2046 0.070928104
65 116 2494.216 0.16315055
65 116 2494.216 0.16315055
65 191 4102.1797 0.06442898
65 191 4102.1797 0.06442898
68 149 3214.1023 0.100858815
68 149 3214.1023 0.100858815
68 236 5081.9854 0.09243515
69 18 390.39407 52.000668
69 340 7314.568 0.06298504
70 18 391.71136 45.482006
70 116 2494.2341 0.15011035
72 144 3090.4568 0.13629788
75 116 2497.836 0.13554929
75 116 2497.836 0.13554929
76 61 1318.7625 0.29463208
76 141 3043.284 0.104713954
76 141 3043.284 0.104713954
76 224 4812.358 0.07906803
76 277 5971.175 0.109427795
76 323 6960.8677 0.078974634
76 344 7408.8286 0.07841979
77 198 4242.414 0.05908671
77 198 4242.414 0.05908671
83 61 1318.392 0.2797546
83 117 2508.2412 0.1296264
83 197 4245.105 0.09006112
83 287 6175.667 0.09984662
83 347 7472.5527 0.103119895
85 116 2496.498 0.113823675
85 116 2496.498 0.113823675
85 199 4281.9263 0.064782634
85 199 4281.9263 0.064782634
85 236 5084.7974 0.115052454
86 176 3778.168 0.124339834
87 145 3135.3962 0.10048645
87 145 3135.3962 0.10048645
90 269 5793.8906 0.271203
91 61 1316.2698 0.19246753
91 117 2517.543 0.1578961
91 158 3401.584 0.34426284
91 330 7108.566 0.24112071
94 144 3091.043 0.32598218
94 144 3091.043 0.32598218
95 205 4419.425 0.43316448
95 319 6852.4844 0.29937032
96 137 2946.7334 0.17989752
96 137 2946.7334 0.17989752
96 205 4421.107 0.49100953
96 205 4421.107 0.49100953
100 235 5061.387 0.1296673
101 18 392.1343 16.64879
101 351 7562.5317 0.101537056
102 198 4258.623 0.21552409
103 137 2955.2559 0.19469719
103 198 4265.8354 0.20828754
103 198 4265.8354 0.20828754
103 320 6884.723 0.13520579
105 144 3093.9841 0.22659704
106 61 1321.3826 0.13010578
106 104 2242.5222 0.13283728
106 104 2242.5222 0.13283728
106 144 3093.1094 0.21172076
106 144 3093.1094 0.21172076
110 198 4267.5376 0.14760223
