Event Bin Frequency Volume
5 50 1077.501 0.21883047
5 143 3077.0679 0.5594425
5 279 6004.108 0.4880491
5 328 7073.426 0.6270743
6 119 2559.1475 0.69526523
6 188 4047.6218 0.31207037
7 119 2564.0723 0.6309178
7 119 2564.0723 0.6309178
7 188 4051.4956 0.26078755
7 188 4051.4956 0.26078755
7 237 5102.2812 0.41084355
8 149 3212.5144 0.5126413
8 149 3212.5144 0.5126413
10 119 2563.6965 0.6682827
11 75 1622.2208 0.21121292
11 119 2562.6282 0.4892857
11 119 2562.6282 0.4892857
11 144 3100.1047 0.37699988
11 217 4678.5728 0.19177482
12 144 3097.4019 0.30938607
12 144 3097.4019 0.30938607
12 202 4341.2656 0.16706665
12 202 4341.2656 0.16706665
12 237 5105.827 0.2470587
13 339 7302.178 0.20749107
14 285 6127.0596 0.4678303
21 75 1616.9766 0.24833082
21 119 2564.9578 0.44224554
25 134 2883.2126 0.43800348
25 134 2883.2126 0.43800348
26 219 4698.272 0.30751115
26 275 5909.9233 0.19829507
26 323 6954.3184 0.23017976
27 18 394.5049 17.771473
27 148 3193.9573 0.26495084
27 224 4819.267 0.18944627
27 224 4819.267 0.18944627
27 327 7041.4727 0.23625377
28 148 3189.7805 0.26654103
28 148 3189.7805 0.26654103
30 47 1015.11707 0.17806126
30 175 3769.121 0.19431026
31 184 3968.5361 0.17743874
31 184 3968.5361 0.17743874
32 236 5077.303 0.1265593
33 224 4823.6313 0.24152532
33 369 7936.7856 0.12861621
34 136 2927.0166 0.19233833
34 224 4822.046 0.15782878
34 224 4822.046 0.15782878
37 137 2953.578 0.17286582
37 137 2953.578 0.17286582
38 313 6744.6533 0.15020856
40 308 6636.975 0.17997044
41 18 392.1556 20.755636
41 220 4741.025 0.20078571
42 236 5088.34 0.18641815
44 116 2498.67 0.22710769
44 175 3759.758 0.13825385
45 175 3770.117 0.18076226
45 175 3770.117 0.18076226
48 224 4817.279 0.12808912
48 224 4817.279 0.12808912
48 364 7830.576 0.11470286
49 61 1314.1946 0.34762752
49 134 2878.4995 0.20064156
49 134 2878.4995 0.20064156
52 142 3063.3066 0.117019214
54 116 2488.7546 0.17910527
54 198 4260.0103 0.07654215
55 18 393.7921 20.744175
56 141 3052.8066 0.15247306
56 141 3052.8066 0.15247306
56 289 6226.0396 0.11513166
57 61 1315.96 0.56379294
58 224 4819.764 0.10046117
58 224 4819.764 0.10046117
58 351 7556.6143 0.09676692
59 116 2498.3584 0.17759666
59 116 2498.3584 0.17759666
59 236 5081.7305 0.1428273
60 61 1317.1866 0.3770873
60 144 3096.942 0.13689426
61 110 2363.143 0.14661327
61 199 4286.7446 0.058043823
62 324 6975.1855 0.0710126
65 116 2494.1973 0.16334957
65 116 2494.1973 0.16334957
65 191 4102.4727 0.06435952
65 191 4102.4727 0.06435952
68 149 3214.0881 0.10096732
68 149 3214.0881 0.10096732
68 236 5081.954 0.09231973
69 18 390.3942 52.000156
69 340 7314.5093 0.063363515
70 18 391.7113 45.48162
70 116 2494.2356 0.15024173
72 144 3090.488 0.13649192
75 116 2497.8184 0.13541552
75 116 2497.8184 0.13541552
76 61 1318.7513 0.29471767
76 141 3043.2546 0.10464047
76 141 3043.2546 0.10464047
76 224 4812.4014 0.07911373
76 277 5971.054 0.10924165
76 323 6960.7754 0.07901693
76 344 7408.9453 0.078595996
77 198 4242.385 0.059001517
77 198 4242.385 0.059001517
83 61 1318.3777 0.27989578
83 117 2508.2417 0.12981778
83 197 4245.1826 0.09035121
83 287 6175.6484 0.10002052
83 347 7472.616 0.10269293
85 116 2496.4873 0.11395307
85 116 2496.4873 0.11395307
85 199 4282.0254 0.064577274
85 199 4282.0254 0.064577274
85 236 5084.7764 0.115165845
86 176 3778.1401 0.12440778
87 145 3135.398 0.1006196
87 145 3135.398 0.1006196
90 269 5793.856 0.27091503
91 61 1316.274 0.19210403
91 117 2517.5596 0.15742706
91 158 3401.5842 0.3440059
91 330 7108.5596 0.24088855
94 144 3091.048 0.32611123
94 144 3091.048 0.32611123
95 205 4419.4243 0.4331278
95 319 6852.4976 0.2991307
96 137 2946.7395 0.1797757
96 137 2946.7395 0.1797757
96 205 4421.111 0.49111125
96 205 4421.111 0.49111125
100 235 5061.3994 0.12970081
101 18 392.1346 16.649187
101 351 7562.4517 0.10173571
102 198 4258.608 0.21553658
103 137 2955.2368 0.19456454
103 198 4265.829 0.2082037
103 198 4265.829 0.2082037
103 320 6884.7393 0.13529414
105 144 3093.9773 0.2264382
106 61 1321.4072 0.1297935
106 104 2242.5369 0.13271315
106 104 2242.5369 0.13271315
106 144 3093.1145 0.21117355
106 144 3093.1145 0.21117355
110 198 4267.5264 0.14763899
110 305 6554.009 0.05968985
111 61 1316.2079 0.11656773
111 117 2511.2876 0.108699486
111 198 4262.5356 0.20529746
111 198 4262.5356 0.20529746
112 144 3089.447 0.122233965
112 277 5961.401 0.06696339
115 114 2455.9182 0.13124847
115 114 2455.9182 0.13124847
118 144 3097.288 0.16649568
118 144 3097.288 0.16649568
119 365 7859.6562 0.05946547
122 61 1319.0022 0.07313526
122 114 2456.9182 0.11782124
123 114 2452.931 0.15323785
123 114 2452.931 0.15323785
124 187 4033.4583 0.076702006
125 145 3120.757 0.11524203
126 156 3367.4272 0.14225861
126 156 3367.4272 0.14225861
126 236 5077.1514 0.08561225
126 307 6608.7295 0.10188535
126 344 7405.6704 0.09338981
127 198 4256.155 0.09283803
127 198 4256.155 0.09283803
133 143 3071.7095 0.2545421
134 87 1879.773 0.13607176
134 163 3517.8098 0.26306447
134 163 3517.8098 0.26306447
134 205 4412.5483 0.5253127
134 269 5786.0 0.42817706
134 306 6585.5425 0.7553758
134 358 7714.507 0.37767005
135 113 2435.5867 0.1808944
135 205 4417.296 0.35178393
135 205 4417.296 0.35178393
136 137 2946.2202 0.23272061
136 137 2946.2202 0.23272061
140 291 6268.7524 0.35395324
140 351 7549.4106 0.21417217
141 86 1848.6304 0.0751401
141 200 4308.194 0.2486489
142 200 4310.3115 0.28983557
142 200 4310.3115 0.28983557
143 141 3033.949 0.23356768
145 116 2491.7666 0.13512218
145 163 3517.7227 0.23016606
145 163 3517.7227 0.23016606
145 262 5649.0576 0.19384837
148 113 2436.8523 0.18060616
148 113 2436.8523 0.18060616
150 205 4420.6445 0.18191357
150 298 6420.23 0.08028392
151 137 2946.1028 0.2586917
151 200 4311.0376 0.13003367
151 200 4311.0376 0.13003367
151 249 5365.518 0.15689604
155 351 7555.571 0.07517297
156 146 3143.5842 0.18277769
158 78 1679.255 0.06728753
158 114 2457.109 0.18513475
158 114 2457.109 0.18513475
158 146 3157.8298 0.16873568
158 146 3157.8298 0.16873568
162 57 1225.4285 0.15756604
162 146 3140.8123 0.1578917
162 198 4255.7017 0.10957383
162 290 6244.718 0.07148815
162 351 7554.589 0.055175263
163 114 2453.8286 0.16499813
163 147 3150.177 0.11586531
163 147 3150.177 0.11586531
163 236 5084.1807 0.0872568
164 186 4003.0615 0.09306057
164 186 4003.0615 0.09306057
166 114 2456.244 0.2013508
166 114 2456.244 0.2013508
169 16 346.13873 15.165656
170 114 2458.6724 0.17812368
175 146 3153.2476 0.1064282
177 114 2454.503 0.1458225
177 114 2454.503 0.1458225
177 164 3526.851 0.12423236
177 164 3526.851 0.12423236
177 199 4273.328 0.080659404
177 320 6886.2676 0.091633715
177 357 7690.449 0.095553026
178 16 351.38226 45.757
179 78 1696.3525 0.0799177
179 188 4041.4995 0.07961551
179 188 4041.4995 0.07961551
179 237 5090.162 0.10259525
180 16 353.66022 16.49681
180 116 2492.7761 0.13179937
180 188 4046.25 0.09916416
182 188 4048.9646 0.09687498
182 188 4048.9646 0.09687498
184 183 3948.0027 0.11897126
184 330 7108.657 0.1171663
185 116 2494.3503 0.12119308
185 116 2494.3503 0.12119308
185 307 6606.9624 0.07029832
186 236 5083.3286 0.12553516
188 144 3119.5515 0.11592002
