Event Bin Frequency Volume
5 50 1077.5337 0.36946368
5 143 3077.049 0.942685
5 279 6004.094 0.82270765
5 328 7073.427 1.0569634
6 119 2559.147 1.1716416
6 188 4047.6243 0.5263479
7 119 2564.0752 1.0639498
7 119 2564.0752 1.0639498
7 188 4051.5076 0.44011113
7 188 4051.5076 0.44011113
7 237 5102.2847 0.6927388
8 149 3212.5134 0.8641054
8 149 3212.5134 0.8641054
10 119 2563.6968 1.1267607
11 75 1622.2197 0.3558341
11 119 2562.6243 0.8244883
11 119 2562.6243 0.8244883
11 144 3100.1084 0.6350081
11 217 4678.5737 0.32291183
12 144 3097.3962 0.52146614
12 144 3097.3962 0.52146614
12 202 4341.2607 0.28269234
12 202 4341.2607 0.28269234
12 237 5105.817 0.41628462
13 339 7302.197 0.35008538
14 285 6127.057 0.7890722
21 75 1616.967 0.41838437
21 119 2564.9658 0.74556625
25 134 2883.2158 0.7385606
25 134 2883.2158 0.7385606
26 219 4698.207 0.5185755
26 275 5909.9414 0.334482
26 323 6954.326 0.3878939
27 18 394.5049 29.964123
27 148 3193.9617 0.44686657
27 224 4819.1978 0.31966263
27 224 4819.1978 0.31966263
27 327 7041.485 0.3983716
28 148 3189.7615 0.44974256
28 148 3189.7615 0.44974256
30 47 1015.1165 0.29987946
30 175 3769.1128 0.32798398
31 184 3968.5303 0.29920503
31 184 3968.5303 0.29920503
32 236 5077.326 0.21304578
33 224 4823.636 0.40691918
33 369 7936.8076 0.21664745
34 136 2926.9937 0.32409853
34 224 4822.0503 0.26571253
34 224 4822.0503 0.26571253
37 137 2953.6113 0.2910239
37 137 2953.6113 0.2910239
38 313 6744.642 0.25357237
40 308 6637.0024 0.30325451
41 18 392.15552 34.99552
41 220 4741.0254 0.33863208
42 236 5088.336 0.3140671
44 116 2498.6648 0.38305655
44 175 3759.7576 0.23321006
45 175 3770.132 0.30460557
45 175 3770.132 0.30460557
48 224 4817.2544 0.21579607
48 224 4817.2544 0.21579607
48 364 7830.6 0.19335696
49 61 1314.2404 0.58641535
49 134 2878.482 0.3380774
49 134 2878.482 0.3380774
52 142 3063.3232 0.19703422
54 116 2488.7446 0.30142573
54 198 4260.076 0.12813658
55 18 393.7921 34.976368
56 141 3052.825 0.25786358
56 141 3052.825 0.25786358
56 289 6226.0117 0.19382071
57 61 1315.9688 0.95081186
58 224 4819.7666 0.16939688
58 224 4819.7666 0.16939688
58 351 7556.612 0.1634821
59 116 2498.3804 0.2992854
59 116 2498.3804 0.2992854
59 236 5081.7207 0.2410247
60 61 1317.1736 0.6362251
60 144 3096.981 0.23137228
61 110 2363.131 0.24711038
61 199 4286.6343 0.09730089
62 324 6975.167 0.11978108
65 116 2494.1946 0.27529684
65 116 2494.1946 0.27529684
65 191 4102.3315 0.108906865
65 191 4102.3315 0.108906865
68 149 3214.109 0.16982251
68 149 3214.109 0.16982251
68 236 5081.956 0.1561022
69 18 390.39413 87.676605
69 340 7314.957 0.106147505
70 18 391.7113 76.68625
70 116 2494.2275 0.25401917
72 144 3090.416 0.2301979
75 116 2497.8237 0.22826302
75 116 2497.8237 0.22826302
76 61 1318.7579 0.4971164
76 141 3043.2742 0.17661387
76 141 3043.2742 0.17661387
76 224 4812.3657 0.13332042
