Event Bin Frequency Volume
0 134 2885.4492 0.307337
2 49 1047.4299 0.44490933
2 117 2523.6296 0.24515036
2 117 2523.6296 0.24515036
2 221 4767.811 0.1186996
3 200 4308.731 0.099330574
3 200 4308.731 0.099330574
4 16 349.1954 28.760101
4 154 3310.784 0.13309148
6 154 3322.2302 0.1882839
6 154 3322.2302 0.1882839
8 308 6634.8213 0.08599055
8 347 7468.1 0.1285959
9 236 5089.1035 0.1918747
12 16 350.8799 39.80042
15 271 5826.0215 0.39828637
15 305 6559.88 0.44557747
16 86 1856.4698 0.42552668
16 359 7725.0166 0.46627778
17 116 2493.8218 0.32194397
17 183 3956.224 0.36246806
17 205 4418.406 0.23316042
18 116 2496.7275 0.32293904
18 116 2496.7275 0.32293904
18 220 4732.5273 0.22589083
18 220 4732.5273 0.22589083
19 156 3350.6833 0.28095505
19 156 3350.6833 0.28095505
20 16 350.81796 22.086721
20 243 5226.1475 0.18969753
21 55 1176.7009 0.8416657
21 344 7401.0786 0.17749323
22 185 3988.7563 0.24363355
22 227 4907.849 0.1396847
22 306 6570.3364 0.25297403
23 115 2455.962 0.26040342
24 117 2511.645 0.24721998
24 117 2511.645 0.24721998
24 143 3087.5315 0.25265828
24 143 3087.5315 0.25265828
24 232 4998.9175 0.13809687
24 232 4998.9175 0.13809687
30 17 354.3828 21.499456
30 55 1175.2367 0.61519146
30 143 3081.6606 0.3173596
30 307 6606.6313 0.10357684
30 331 7133.556 0.10449096
32 236 5085.0 0.09344596
33 117 2513.647 0.15509985
34 144 3088.9731 0.22973253
34 144 3088.9731 0.22973253
35 195 4183.7485 0.11810797
36 116 2496.5352 0.21514323
36 116 2496.5352 0.21514323
39 186 4012.5254 0.094886675
39 186 4012.5254 0.094886675
43 182 3906.9207 0.14293677
44 18 392.28662 22.300451
44 55 1176.6537 0.52814347
44 203 4360.301 0.15419534
44 241 5187.2856 0.08166094
44 306 6583.3955 0.17138644
44 373 8029.395 0.100826226
45 126 2708.302 0.17471214
45 178 3828.7373 0.13773294
45 178 3828.7373 0.13773294
45 203 4368.42 0.10268791
45 203 4368.42 0.10268791
46 125 2698.1487 0.22594523
46 125 2698.1487 0.22594523
50 125 2686.746 0.16372581
51 54 1173.7484 0.29825902
52 146 3156.128 0.13291398
53 117 2507.591 0.14412141
53 117 2507.591 0.14412141
55 192 4123.6094 0.06930496
59 16 347.24545 32.966812
59 158 3417.1553 0.12740724
59 158 3417.1553 0.12740724
59 227 4888.274 0.10455012
59 227 4888.274 0.10455012
59 277 5963.246 0.08858659
59 305 6557.3174 0.087734185
59 332 7146.405 0.10119041
60 16 347.7818 36.277996
60 158 3403.122 0.15918851
62 158 3402.5706 0.14577882
62 158 3402.5706 0.14577882
65 237 5117.987 0.084450446
65 318 6861.475 0.102883905
66 200 4290.4536 0.107348084
66 344 7403.7124 0.16318806
68 111 2394.3638 0.18093859
68 200 4312.245 0.15269367
68 200 4312.245 0.15269367
69 87 1871.0305 0.09094794
69 116 2504.863 0.1834311
69 116 2504.863 0.1834311
73 55 1175.4644 0.15236914
73 134 2876.5295 0.3447421
73 200 4311.1113 0.3774878
73 242 5214.993 0.5924511
73 307 6612.454 0.5012101
73 374 8049.2563 0.65922916
74 116 2502.1125 0.32904983
74 116 2502.1125 0.32904983
76 145 3123.5056 0.44443095
76 205 4419.4385 0.3480181
76 205 4419.4385 0.3480181
78 175 3761.9353 0.43865663
78 175 3761.9353 0.43865663
80 57 1219.7411 0.07685109
80 116 2493.961 0.3361124
80 199 4294.613 0.18239339
80 291 6263.191 0.21962237
80 349 7521.928 0.24331494
81 116 2496.802 0.27639002
81 116 2496.802 0.27639002
81 236 5093.336 0.27107084
82 145 3120.7683 0.34102276
84 205 4417.1597 0.16649662
84 205 4417.1597 0.16649662
88 145 3121.1377 0.2885515
88 145 3121.1377 0.2885515
89 16 363.89313 15.550262
90 198 4261.4155 0.11144216
90 236 5089.7944 0.15388277
91 198 4264.629 0.16973764
91 198 4264.629 0.16973764
91 289 6230.1973 0.09489904
92 116 2496.3 0.19401667
92 145 3124.6143 0.21890621
92 341 7362.1274 0.13665245
93 16 345.77023 45.029133
94 116 2493.4204 0.18009976
94 116 2493.4204 0.18009976
94 145 3119.865 0.20589526
94 145 3119.865 0.20589526
95 92 1961.1652 0.10125861
102 55 1181.5009 0.11747325
102 125 2687.967 0.1665379
102 191 4121.6904 0.10785444
102 236 5089.0464 0.12625158
102 320 6893.324 0.09859694
102 344 7410.4404 0.09304104
103 188 4046.7417 0.11055418
103 188 4046.7417 0.11055418
104 116 2498.852 0.165036
104 116 2498.852 0.165036
104 145 3125.09 0.20890479
109 145 3121.0337 0.2781137
109 145 3121.0337 0.2781137
110 145 3121.224 0.1666992
110 188 4042.1863 0.09337242
111 188 4045.4626 0.097148396
111 188 4045.4626 0.097148396
111 235 5057.38 0.072550155
112 120 2579.995 0.14747906
113 120 2581.8286 0.14465433
113 120 2581.8286 0.14465433
115 145 3126.6343 0.1425485
115 145 3126.6343 0.1425485
116 55 1183.0846 0.10136777
116 280 6029.5684 0.2823673
116 331 7127.5034 0.14289103
121 114 2457.875 0.12151911
121 145 3121.05 0.16567774
123 117 2513.2502 0.15309787
123 117 2513.2502 0.15309787
123 207 4460.003 0.07384341
123 247 5317.926 0.118589975
123 291 6264.573 0.096339166
123 352 7572.7896 0.1319207
124 145 3124.15 0.1367851
124 145 3124.15 0.1367851
124 198 4270.2354 0.06462782
124 198 4270.2354 0.06462782
125 15 329.33572 76.56271
125 61 1313.1096 0.1547937
130 89 1902.6985 0.22089373
130 234 5023.182 0.3994247
130 352 7575.326 0.47359467
131 220 4732.7046 0.42022303
131 307 6613.8867 0.60770655
132 116 2496.7795 0.37359518
133 220 4730.599 0.40059343
133 220 4730.599 0.40059343
134 176 3786.9072 0.31703606
135 176 3786.587 0.44217858
135 176 3786.587 0.44217858
137 120 2583.3438 0.45274645
137 120 2583.3438 0.45274645
140 87 1864.0538 0.16079152
140 331 7133.7183 0.18127051
142 120 2582.5867 0.41142017
142 198 4266.43 0.17260084
142 316 6794.9224 0.15279911
143 120 2582.6677 0.42176038
143 120 2582.6677 0.42176038
143 176 3787.783 0.22943124
143 227 4886.328 0.2006153
143 227 4886.328 0.2006153
144 144 3094.7778 0.25559595
144 144 3094.7778 0.25559595
145 242 5213.228 0.12240707
151 116 2497.2761 0.23894337
151 185 3975.522 0.18456009
152 145 3129.8682 0.17609943
152 145 3129.8682 0.17609943
152 236 5090.5454 0.13615365
155 198 4258.203 0.124534264
156 15 329.0264 52.473297
156 116 2499.2722 0.2077551
156 116 2499.2722 0.2077551
159 88 1894.2406 0.19879384
159 191 4107.141 0.13852012
159 191 4107.141 0.13852012
159 314 6763.307 0.13918808
159 344 7403.4844 0.14495566
160 15 326.59808 28.88152
160 61 1314.7753 0.13240963
160 220 4730.0347 0.14861019
161 120 2581.646 0.18946753
161 220 4733.589 0.13986431
161 220 4733.589 0.13986431
161 289 6227.771 0.12243904
162 143 3079.3635 0.19435532
162 235 5064.1685 0.10978277
166 120 2585.3516 0.1936779
166 120 2585.3516 0.1936779
166 156 3358.0996 0.17367467
166 156 3358.0996 0.17367467
166 335 7212.174 0.101593964
173 336 7237.228 1.0027595
174 87 1868.7458 0.408716
174 143 3085.6882 0.8451744
174 203 4369.7925 0.44756258
174 266 5731.581 0.8602133
174 305 6566.6953 0.8702243
175 125 2703.2703 0.6055989
175 145 3124.0598 1.0245113
175 145 3124.0598 1.0245113
175 197 4243.8037 0.4467207
175 197 4243.8037 0.4467207
179 120 2579.6519 0.53377664
179 120 2579.6519 0.53377664
180 116 2492.7993 0.73928666
180 145 3121.002 0.59317774
180 197 4244.9854 0.38349348
180 266 5737.491 0.534987
180 305 6585.1816 0.47408333
180 326 7010.1665 0.34364787
183 120 2579.2402 0.7181776
183 120 2579.2402 0.7181776
184 156 3354.5293 0.4656329
184 156 3354.5293 0.4656329
186 187 4040.2075 0.30850807
186 187 4040.2075 0.30850807
189 49 1048.9044 0.7342855
190 156 3356.2551 0.56857425
190 307 6609.1074 0.18624322
191 186 4001.9387 0.28368777
193 197 4242.5376 0.27188742
193 197 4242.5376 0.27188742
195 156 3354.29 0.5270573
195 156 3354.29 0.5270573
195 329 7080.005 0.20075372
196 15 329.75876 36.77148
197 98 2099.395 0.90684515
197 232 5000.043 0.18738438
198 98 2102.875 0.9978556
198 98 2102.875 0.9978556
199 49 1049.5756 2.576527
202 205 4415.0757 0.46722308
202 369 7933.799 0.51306885
203 194 4173.9395 0.48577073
203 194 4173.9395 0.48577073
203 317 6822.592 0.8311084
207 143 3076.9175 0.57240003
208 49 1050.7397 4.31576
208 98 2101.793 1.9901091
209 109 2351.3018 2.509006
209 109 2351.3018 2.509006
209 140 3014.4111 1.4488437
209 140 3014.4111 1.4488437
209 260 5585.0923 1.022384
210 170 3654.6409 2.190415
210 197 4244.081 0.35689372
210 248 5344.256 0.7838475
210 280 6030.547 0.2913679
210 333 7163.3857 0.22041276
211 15 329.02197 39.633247
211 170 3651.4583 1.6910542
211 170 3651.4583 1.6910542
212 97 2094.3916 2.985816
212 200 4297.1807 0.23883843
212 200 4297.1807 0.23883843
213 97 2092.6892 2.7676687
213 97 2092.6892 2.7676687
219 49 1050.6743 6.060194
221 97 2097.0574 2.6662037
224 164 3529.3535 1.6695368
224 290 6246.737 0.184211
224 340 7321.2007 0.16458568
225 143 3088.608 1.5663552
225 143 3088.608 1.5663552
225 226 4860.25 0.39851844
226 257 5533.1953 0.25888225
227 226 4860.3174 0.3498985
227 226 4860.3174 0.3498985
229 49 1054.8099 7.8651257
229 98 2107.1958 2.412622
229 98 2107.1958 2.412622
230 257 5530.897 0.26344663
232 149 3195.8655 3.5325227
232 201 4329.8887 0.930587
233 98 2116.241 9.180793
233 149 3202.2031 3.2430074
233 149 3202.2031 3.2430074
233 201 4322.88 0.673165
233 201 4322.88 0.673165
234 98 2110.8313 9.107907
234 98 2110.8313 9.107907
238 355 7647.317 0.4039014
239 49 1050.3796 10.847961
239 320 6889.953 0.36995554
240 49 1051.6189 11.7775345
240 98 2110.0542 7.934499
240 149 3198.1213 1.4017161
240 244 5259.249 0.29418397
240 306 6589.4204 0.31403068
241 98 2112.4736 6.6204867
241 98 2112.4736 6.6204867
241 149 3200.8518 1.3485117
241 149 3200.8518 1.3485117
245 187 4028.1501 0.2322583
246 334 7191.2173 0.23917928
248 206 4420.8203 0.20650011
248 206 4420.8203 0.20650011
250 98 2120.0454 2.491632
250 289 6221.047 0.15296337
251 98 2107.7917 4.263289
251 98 2107.7917 4.263289
252 49 1053.0886 10.673543
252 149 3200.8362 0.5457936
252 234 5032.7354 0.19954418
255 187 4047.754 0.17517991
256 186 4004.0903 0.1889869
256 186 4004.0903 0.1889869
259 153 3312.3086 0.7491569
259 153 3312.3086 0.7491569
259 339 7283.1006 0.14871766
260 97 2069.6536 1.6788561
260 154 3311.8662 4.375684
260 215 4637.8657 0.39763638
260 277 5963.7227 0.21588202
260 320 6892.1885 0.2768462
260 368 7921.2266 0.1629244
261 18 395.5962 24.05752
261 154 3308.6792 3.9726565
261 154 3308.6792 3.9726565
265 49 1052.8046 10.292358
267 98 2107.935 1.6135726
267 98 2107.935 1.6135726
268 215 4643.8545 0.2701091
268 215 4643.8545 0.2701091
270 154 3305.863 3.616562
270 215 4632.233 0.17071517
271 154 3305.829 3.5145996
271 154 3305.829 3.5145996
273 97 2089.298 3.8661387
273 246 5296.6924 0.1446041
274 98 2102.671 3.6186292
274 98 2102.671 3.6186292
274 186 4002.4739 0.16948761
274 186 4002.4739 0.16948761
274 285 6142.027 0.1465942
274 340 7317.117 0.10618
275 15 329.76376 23.936253
276 49 1050.615 9.263272
280 15 328.12247 21.018179
282 108 2342.644 2.1613395
283 153 3305.7795 0.7792638
288 198 4251.61 0.23732454
288 258 5541.1177 0.1598601
288 345 7420.383 0.36123082
289 61 1320.7183 4.4477596
289 122 2623.1587 2.591336
289 122 2623.1587 2.591336
289 153 3291.7834 3.4417057
289 153 3291.7834 3.4417057
289 215 4625.399 0.36754295
289 215 4625.399 0.36754295
289 306 6579.797 0.34233022
290 61 1321.1321 5.119662
290 318 6867.7686 0.13361229
291 123 2645.6587 2.740381
293 15 329.1975 16.83941
295 344 7415.1797 0.124841206
296 236 5083.79 0.17028353
298 123 2649.591 3.4605215
298 123 2649.591 3.4605215
298 154 3310.7744 5.4903665
298 215 4631.331 0.39604804
299 154 3308.2842 5.092636
299 154 3308.2842 5.092636
299 215 4634.401 0.36359078
299 215 4634.401 0.36359078
300 49 1052.3331 2.9486878
300 154 3306.801 4.537159
301 154 3306.8352 4.2284856
301 154 3306.8352 4.2284856
302 123 2644.9443 3.8178492
