Event Bin Frequency Volume
0 184 3962.1094 16.835205
2 16 348.49756 36.665695
2 47 1013.9069 16.287638
3 98 2089.983 18.492918
3 187 4024.585 17.463957
4 126 2703.966 16.26639
4 126 2703.966 16.26639
4 166 3576.386 16.806667
4 166 3576.386 16.806667
4 219 4712.02 14.622166
4 219 4712.02 14.622166
4 294 6325.3486 15.299698
7 250 5372.0815 15.541604
9 338 7267.081 17.56858
10 170 3652.2642 15.357635
11 115 2477.0042 18.086216
12 16 351.67264 38.73147
13 235 5055.9844 15.941641
15 94 2027.6504 17.435673
15 94 2027.6504 17.435673
16 208 4474.63 13.877162
17 53 1145.6978 14.678262
17 328 7044.971 15.573997
18 142 3059.7795 18.26329
18 142 3059.7795 18.26329
18 211 4545.962 15.20879
18 211 4545.962 15.20879
19 305 6568.6304 15.788631
20 16 354.0207 24.64608
21 45 960.52484 16.513788
22 231 4973.152 15.552008
23 96 2067.8975 14.948055
23 151 3265.8042 14.613627
23 198 4263.662 16.892275
23 198 4263.662 16.892275
24 96 2062.921 13.96273
24 96 2062.921 13.96273
28 247 5324.8965 15.694752
28 310 6663.8145 14.372927
29 64 1370.663 18.657644
29 155 3344.0767 14.271079
29 155 3344.0767 14.271079
29 342 7361.4863 15.140023
30 16 323.6989 31.230133
30 354 7639.491 17.559645
32 236 5080.4087 16.190096
32 307 6615.5874 21.655989
33 111 2391.3296 17.540485
33 143 3077.4116 14.708653
35 73 1580.9183 14.463938
35 165 3564.8035 15.6716
35 165 3564.8035 15.6716
35 191 4113.3496 16.352552
37 110 2371.85 17.077246
37 110 2371.85 17.077246
39 192 4118.7505 15.170893
39 192 4118.7505 15.170893
41 239 5134.934 15.41681
43 340 7314.187 17.137707
45 135 2901.9531 18.498436
45 160 3444.1816 15.868381
46 66 1420.4657 18.812666
46 293 6302.8506 14.7660675
47 212 4552.8555 13.386966
48 120 2594.6702 16.89447
48 120 2594.6702 16.89447
48 209 4505.596 14.443043
48 209 4505.596 14.443043
49 169 3654.7783 17.26502
49 169 3654.7783 17.26502
54 153 3310.4272 15.90056
54 232 4996.187 15.941115
56 176 3786.8054 16.317291
56 176 3786.8054 16.317291
56 219 4716.422 14.489559
56 219 4716.422 14.489559
58 136 2922.4902 15.705997
58 251 5390.0986 18.206444
58 292 6285.869 15.518314
59 16 346.74796 31.592646
59 59 1263.2706 16.431013
59 136 2924.0022 17.544727
59 136 2924.0022 17.544727
59 329 7080.6235 13.625307
60 16 346.92853 40.1716
60 336 7228.9453 14.94843
62 50 1058.8784 15.429553
63 244 5260.994 15.6844425
64 110 2370.3423 14.5661955
64 310 6676.4136 18.0059
65 192 4128.0376 15.221772
65 222 4782.308 15.549052
65 222 4782.308 15.549052
68 171 3685.0789 13.82871
69 113 2429.4932 16.183035
69 113 2429.4932 16.183035
69 145 3125.8882 15.4185505
69 145 3125.8882 15.4185505
71 61 1324.5635 16.066113
72 153 3299.3093 16.878325
72 284 6121.956 15.934561
73 18 390.02435 18.993662
73 232 4995.7397 19.867926
75 165 3552.251 18.466331
75 165 3552.251 18.466331
76 104 2244.855 14.9702835
76 332 7146.452 15.135643
77 101 2178.3923 13.981668
77 101 2178.3923 13.981668
77 238 5137.1772 18.277931
78 215 4641.938 15.341171
78 215 4641.938 15.341171
80 47 1016.35455 15.187131
80 254 5471.629 16.960075
82 96 2072.738 14.937767
82 216 4643.231 17.277245
83 179 3845.0134 15.666365
83 211 4543.39 17.233866
83 211 4543.39 17.233866
88 15 325.3865 17.715286
88 337 7253.8633 16.867075
89 128 2751.0754 15.439088
89 128 2751.0754 15.439088
89 166 3563.9167 21.39514
89 166 3563.9167 21.39514
89 289 6215.662 16.485907
90 56 1202.6372 15.381431
93 16 346.41153 43.386765
93 160 3425.269 15.034907
93 183 3939.558 15.111956
93 183 3939.558 15.111956
94 203 4379.6265 14.510529
96 131 2823.8655 16.170681
97 132 2836.1729 17.280497
97 132 2836.1729 17.280497
97 344 7414.9478 16.518105
99 193 4152.1597 17.640486
99 193 4152.1597 17.640486
99 251 5411.7017 16.73017
99 299 6442.369 16.622784
100 89 1920.8202 18.675087
100 110 2373.5312 17.875994
101 19 400.02652 16.586432
101 249 5357.499 16.486105
101 330 7097.121 17.382282
103 287 6181.593 15.460992
104 167 3589.7388 13.840726
106 134 2877.8145 15.943571
106 134 2877.8145 15.943571
107 162 3496.7405 14.274805
107 162 3496.7405 14.274805
108 198 4264.3726 16.650728
108 231 4976.4243 16.175743
108 231 4976.4243 16.175743
110 192 4131.013 16.762617
111 170 3671.1997 18.65423
112 171 3672.3901 14.64403
112 171 3672.3901 14.64403
114 211 4546.8604 15.982054
114 211 4546.8604 15.982054
115 73 1575.2885 25.656126
117 40 862.0712 18.68715
117 126 2704.2456 15.85994
118 237 5085.3853 17.009644
118 297 6394.9873 19.270212
118 336 7234.6963 14.583988
119 126 2714.9524 16.513853
119 126 2714.9524 16.513853
122 337 7245.4365 17.562197
123 50 1077.8135 13.917997
125 15 328.72824 75.36706
126 129 2781.2566 15.421339
126 242 5215.8604 15.196782
127 141 3036.3794 12.919403
127 218 4701.611 14.300842
128 189 4061.1655 13.402866
128 189 4061.1655 13.402866
128 317 6820.563 15.170913
129 111 2383.4617 15.118016
129 111 2383.4617 15.118016
129 157 3381.9011 15.8443
129 157 3381.9011 15.8443
130 193 4155.4946 17.605673
131 355 7644.3516 14.560445
132 173 3732.054 17.839586
133 15 337.73703 17.443867
133 123 2658.175 15.892048
135 191 4110.291 17.60105
135 191 4110.291 17.60105
136 248 5337.357 15.7217455
137 78 1669.8135 14.738894
137 287 6179.4634 18.959549
138 106 2286.3 13.187954
138 106 2286.3 13.187954
138 169 3626.821 16.41073
138 169 3626.821 16.41073
140 339 7283.465 14.7810955
141 18 391.80582 15.575379
143 47 1017.222 17.150272
143 188 4037.208 18.114162
144 193 4157.9556 13.150634
144 193 4157.9556 13.150634
144 239 5141.422 14.301583
145 182 3918.0164 14.857733
146 117 2516.314 13.386721
147 115 2470.6633 13.704542
147 115 2470.6633 13.704542
147 159 3423.783 14.007003
147 159 3423.783 14.007003
147 293 6301.92 19.379927
150 145 3117.1729 14.651853
150 283 6098.4214 14.462877
151 112 2410.1924 14.117091
151 222 4776.872 16.677269
151 252 5425.0977 18.489151
152 99 2136.0098 15.045513
152 99 2136.0098 15.045513
152 202 4361.2095 14.628632
152 202 4361.2095 14.628632
156 326 7017.3096 13.114217
157 15 328.64447 48.98632
157 59 1267.9181 14.144527
159 147 3159.8137 14.344192
159 147 3159.8137 14.344192
160 332 7145.587 16.996084
161 237 5109.9443 17.448416
161 299 6434.6265 16.135437
163 97 2067.713 18.566305
164 61 1321.9836 15.9786825
165 186 4006.4016 16.154842
165 218 4685.356 15.492771
165 218 4685.356 15.492771
166 39 846.8023 15.903788
166 177 3807.6116 15.420851
167 15 331.53366 25.283546
167 137 2948.0605 14.116442
167 137 2948.0605 14.116442
168 160 3423.8096 20.836143
168 160 3423.8096 20.836143
170 168 3621.7922 17.352743
170 195 4198.9443 16.142395
170 236 5085.6885 16.363247
171 38 823.49615 16.373661
171 281 6042.044 15.1434965
172 230 4958.371 14.494234
172 230 4958.371 14.494234
174 15 321.56458 17.333307
174 100 2135.1958 17.68509
175 163 3515.178 16.224749
175 163 3515.178 16.224749
176 124 2669.3123 16.747547
176 124 2669.3123 16.747547
177 77 1667.8213 14.394354
179 350 7540.948 16.096466
180 314 6758.0864 18.227236
181 343 7381.417 15.320193
182 103 2209.0906 16.537634
182 177 3820.5164 14.626425
183 146 3152.9734 14.779985
183 146 3152.9734 14.779985
184 190 4112.7754 14.040354
185 83 1790.4761 18.903492
187 117 2516.9224 17.84428
187 117 2516.9224 17.84428
189 193 4162.7266 17.256517
189 193 4162.7266 17.256517
189 269 5791.4814 17.84975
190 43 924.8854 15.792874
190 147 3168.8005 17.396757
190 169 3653.0308 15.809405
190 169 3653.0308 15.809405
190 244 5262.7437 15.10958
191 105 2257.3767 16.934614
192 204 4384.7095 17.885498
193 120 2583.9307 14.386495
193 120 2583.9307 14.386495
193 198 4243.994 14.911499
193 198 4243.994 14.911499
194 84 1804.5464 16.332495
195 346 7452.1836 12.917758
196 15 329.49 42.266983
197 281 6048.5576 14.861447
203 155 3333.7913 15.476408
203 183 3949.9836 16.84554
203 183 3949.9836 16.84554
203 239 5146.2974 18.659378
204 329 7077.343 14.474379
205 42 902.0722 15.158083
206 199 4280.125 14.990651
206 222 4782.365 15.63816
206 222 4782.365 15.63816
206 297 6398.8784 14.569931
207 128 2760.2031 13.36479
208 106 2292.3052 16.423386
208 106 2292.3052 16.423386
209 15 326.59604 22.667429
209 62 1332.762 14.317988
210 15 326.14667 42.77813
211 185 3979.5837 16.131592
212 166 3577.168 16.525278
212 166 3577.168 16.525278
212 243 5227.063 16.837029
214 210 4507.507 16.361433
216 41 886.748 16.603708
216 73 1559.6804 16.791584
217 113 2435.0867 14.633813
217 346 7443.0054 12.501625
218 312 6716.0464 14.460031
219 107 2313.402 14.298551
219 107 2313.402 14.298551
219 198 4255.728 15.045388
219 198 4255.728 15.045388
220 125 2687.013 19.106546
220 148 3199.3545 17.632658
221 230 4950.5713 15.302977
221 300 6461.462 15.776638
222 40 871.9583 16.441925
223 82 1765.8429 16.130754
223 148 3193.944 15.4671755
223 148 3193.944 15.4671755
225 211 4546.4614 14.13516
225 211 4546.4614 14.13516
227 125 2690.9126 16.367819
227 125 2690.9126 16.367819
228 276 5951.8374 14.657925
229 327 7038.6177 15.296612
232 215 4629.119 13.599886
233 15 328.84848 37.207462
233 173 3722.3801 15.94423
234 109 2361.6885 14.501006
234 215 4626.8906 17.425152
234 215 4626.8906 17.425152
235 49 1036.9163 18.349142
235 134 2885.4993 15.244832
235 134 2885.4993 15.244832
237 337 7253.439 14.720227
238 163 3488.5562 14.781158
238 163 3488.5562 14.781158
238 240 5170.5093 18.059786
238 292 6280.3174 16.394196
240 18 393.23172 28.865526
240 221 4756.2563 14.211798
240 296 6389.9106 16.68131
242 142 3060.589 16.16108
244 47 1009.5882 16.17482
246 98 2112.039 13.09521
246 226 4847.121 13.98104
246 226 4847.121 13.98104
246 249 5366.49 18.376457
248 41 882.1608 17.35808
248 329 7086.716 14.443273
249 112 2425.445 18.80682
249 112 2425.445 18.80682
249 163 3503.9827 16.75022
249 163 3503.9827 16.75022
250 195 4186.329 15.725138
251 195 4198.8745 13.623082
251 195 4198.8745 13.623082
253 46 985.77216 19.006073
253 73 1580.111 24.841578
253 152 3270.2527 12.047292
254 121 2612.0916 16.286312
254 270 5816.393 15.911456
255 119 2582.7815 16.172686
255 119 2582.7815 16.172686
255 344 7399.654 13.005681
257 314 6781.299 16.346716
258 148 3180.3435 13.04081
258 148 3180.3435 13.04081
260 109 2334.148 15.1532345
260 134 2880.6575 16.319286
260 134 2880.6575 16.319286
260 299 6457.168 17.516062
261 20 436.20523 26.584091
261 269 5790.084 19.618256
263 220 4734.2534 15.697386
264 40 857.88806 17.084984
264 181 3893.6125 15.246351
266 225 4841.723 15.05403
266 225 4841.723 15.05403
266 343 7374.2896 15.340535
267 51 1096.882 17.380148
269 165 3553.6233 14.645439
269 165 3553.6233 14.645439
270 319 6868.181 15.471148
272 15 327.8233 27.95596
272 92 2001.8591 13.384397
272 341 7337.8223 15.579005
274 35 757.4435 15.467383
274 142 3063.8057 15.057391
275 109 2338.0967 11.532554
275 109 2338.0967 11.532554
275 177 3820.9158 16.272676
275 177 3820.9158 16.272676
276 48 1031.4318 18.458366
278 187 4019.6753 15.506679
278 209 4512.2188 16.634031
278 209 4512.2188 16.634031
279 252 5430.4673 15.480808
280 15 328.84418 27.815403
282 249 5359.9463 18.629122
284 69 1479.8815 17.637089
285 135 2897.0393 15.0802765
285 189 4061.891 16.729183
286 189 4071.0815 15.133767
286 189 4071.0815 15.133767
287 152 3278.7249 14.007132
288 156 3377.559 13.26365
288 156 3377.559 13.26365
289 132 2829.93 13.976822
289 132 2829.93 13.976822
289 317 6826.386 14.636094
289 350 7535.632 17.94146
291 39 842.2838 19.279442
291 265 5697.2905 15.291351
292 137 2943.7576 15.990045
293 15 325.5728 18.240284
293 69 1479.1495 16.307104
294 149 3205.477 18.159264
295 107 2310.224 14.35868
295 107 2310.224 14.35868
295 198 4267.181 16.773024
296 164 3534.7239 16.121813
296 164 3534.7239 16.121813
296 321 6909.2065 13.866221
297 187 4025.6768 19.160057
297 187 4025.6768 19.160057
297 328 7047.707 16.396366
301 47 1015.0027 13.2745905
302 152 3273.2793 14.9826765
304 222 4797.281 14.676174
305 130 2798.3958 15.840094
307 175 3769.044 18.048477
307 175 3769.044 18.048477
307 266 5731.6353 15.43403
307 341 7351.877 14.087439
308 126 2699.019 15.88166
308 126 2699.019 15.88166
308 202 4355.857 14.041642
308 202 4355.857 14.041642
308 291 6270.9194 15.690327
310 15 319.64178 22.910585
310 262 5634.5474 17.636219
311 98 2109.7908 14.128964
313 176 3795.3052 16.541384
315 116 2486.256 14.001566
315 116 2486.256 14.001566
315 302 6508.518 16.0157
316 169 3634.685 18.834784
316 169 3634.685 18.834784
316 198 4266.098 14.364917
317 75 1609.3809 14.929749
317 193 4152.017 14.224906
317 193 4152.017 14.224906
319 367 7906.719 13.865397
321 189 4057.847 17.770597
323 73 1589.6473 18.83801
323 251 5398.1724 14.782578
323 334 7190.0503 15.293888
324 37 806.9373 16.541098
326 169 3648.5295 19.448803
326 313 6741.7295 17.34125
327 99 2116.306 13.791233
328 108 2333.1458 15.123464
328 108 2333.1458 15.123464
328 140 3008.7302 16.386997
328 140 3008.7302 16.386997
329 194 4186.8154 17.12016
329 194 4186.8154 17.12016
331 74 1579.3208 16.013348
331 277 5979.647 16.039236
334 352 7580.714 13.858674
