Event Bin Frequency Volume
62 23 478.57632 1.037629
109 14 303.0918 17.472773
126 23 492.75293 0.2294833
132 22 485.47974 12.075946
167 344 7399.411 3.1395779
202 18 388.32083 0.9711718
210 344 7389.2896 2.9036667
221 334 7191.7236 2.115249
246 18 390.4741 0.9521253
254 14 303.70044 12.202378
267 18 388.02914 0.90059155
285 19 420.92755 0.6325346
287 18 391.13742 1.5188092
288 18 388.68982 1.0017011
289 18 389.5757 0.903149
297 14 303.28625 12.455735
306 21 470.2672 1.2349676
307 33 710.0663 25.090347
308 16 349.02466 23.974176
308 65 1400.1655 21.768576
309 16 349.873 18.718689
310 16 349.5146 18.495108
311 16 349.119 18.436285
311 67 1442.9619 14.896523
312 16 349.28033 17.998129
313 16 349.1151 16.53977
314 16 349.83362 16.68554
315 16 349.99112 15.698726
316 16 349.51743 15.92514
339 320 6882.6763 3.0451288
355 18 392.427 3.196295
383 14 302.0717 15.7626295
393 332 7146.173 2.5247726
426 358 7710.381 3.0527763
446 15 329.76562 14.094001
468 18 393.54663 5.5133023
471 16 348.6908 16.092052
472 16 348.78854 14.520457
474 16 349.40546 12.94927
475 16 349.84412 12.287501
476 16 350.24368 12.392291
498 23 490.75446 2.3086371
501 18 390.3048 11.177931
511 17 377.33957 8.131096
515 16 349.0613 20.47142
518 16 349.48004 19.061996
519 16 349.1708 12.762668
530 16 353.2378 1.0230637
544 16 345.691 15.525082
545 16 348.6026 16.88664
546 16 349.18018 14.955864
547 16 349.86197 14.959356
551 16 349.48776 11.909291
552 16 348.90683 6.4838195
555 320 6890.1978 3.8212318
597 17 363.92358 4.8922186
598 15 328.1766 30.942688
599 15 325.3967 32.537613
602 15 329.39108 19.754288
603 15 331.57086 19.31494
604 15 331.0464 18.82162
605 15 327.4596 18.68507
618 14 311.30478 16.396914
624 23 487.6752 4.2632337
631 15 325.7061 21.13877
633 15 328.88492 19.598486
640 15 328.01514 11.869648
641 23 489.94675 18.922369
642 15 322.57956 21.715
653 33 700.41223 11.985794
684 344 7406.681 3.2307365
716 22 461.5961 11.596614
753 23 490.15915 2.2995398
756 23 490.39084 2.1973996
757 23 490.68018 2.1817114
793 23 488.83215 3.2269273
801 23 491.41757 0.8345335
900 23 495.6511 7.272009
906 23 491.0642 1.5947306
909 22 490.53925 2.6580844
913 22 467.5223 7.8262343
915 22 467.48648 7.2848516
931 22 494.68777 0.89793545
938 23 493.80167 0.3137119
953 333 7170.608 2.711398
963 22 476.69592 5.0087547
996 218 4697.4307 4.4515624
1018 303 6522.995 3.8530657
1020 43 923.7958 36.002323
1021 44 933.4662 37.71441
1029 359 7725.595 3.008942
1030 23 497.15775 39.196404
1034 358 7709.5156 4.3072195
1035 341 7327.115 6.090343
1036 307 6591.584 5.461839
1036 340 7306.861 5.0496397
1037 294 6326.845 5.3916764
1037 334 7211.105 4.6583695
1038 344 7406.645 6.060379
1039 342 7366.3896 5.6780014
1061 313 6740.087 3.6647232
1064 22 469.40417 22.470425
1072 259 5580.4893 5.0849843
1072 358 7709.518 2.84252
1083 22 465.1071 5.4117994
1084 22 468.0003 4.521339
1085 22 466.89197 4.3443484
1091 19 396.4928 24.630852
1092 19 406.02237 17.965189
1095 33 709.9973 40.63004
1096 32 697.4911 35.3768
1126 332 7149.3267 2.1631746
1145 23 491.69632 2.635016
1169 36 784.07275 21.68635
1189 23 491.08426 2.222398
1197 23 486.4505 0.55561984
1201 302 6502.8496 4.131751
1201 358 7707.855 3.368009
1202 22 458.6786 33.509075
1205 365 7849.595 3.3311818
1206 343 7390.748 3.05401
1212 33 706.15314 37.411137
1212 342 7360.33 1.9692314
1232 22 460.2902 7.6061206
1233 22 470.80444 34.74217
1234 22 471.30154 36.732574
1235 22 468.03674 33.238956
1236 22 467.00885 19.52034
1244 358 7705.304 3.1936293
1253 23 492.24323 1.2579714
1254 16 340.38785 15.777521
1267 23 487.3835 4.5207376
1268 23 495.17456 3.3746362
1276 25 535.547 38.230095
1277 25 535.0269 34.880966
1287 23 492.01447 20.209656
1287 302 6504.481 4.7595935
1288 22 485.50458 15.726195
1298 341 7340.4937 2.2861469
1299 285 6131.044 3.0162938
1319 304 6550.1333 3.418887
1327 23 481.83658 0.678433
1330 199 4281.8384 3.6116633
1330 260 5598.207 4.822055
1330 320 6889.8867 4.074413
1330 344 7407.618 3.0807757
1341 300 6460.386 3.215064
1355 23 491.0643 2.9594297
1359 310 6669.7817 5.6411533
1360 312 6713.355 6.0042543
1360 344 7396.1094 3.42677
1361 313 6731.0513 6.6088295
1361 334 7197.9316 3.8373115
