Time1 Bin1 Time2 Bin2 Hash
4 23 5 23 24140801
4 23 6 23 24140802
4 23 7 23 24140803
4 23 8 23 24140804
4 23 9 23 24140805
4 23 12 23 24140808
4 23 13 23 24140809
4 23 28 23 24140824
4 23 29 23 24140825
4 23 30 23 24140826
4 23 31 23 24140827
4 23 48 23 24140844
4 23 60 15 24132664
4 23 62 23 24140858
4 23 69 23 24140865
4 23 70 23 24140866
4 23 120 18 24135796
4 23 263 23 24141059
4 23 264 23 24141060
5 23 6 23 24140801
5 23 7 23 24140802
5 23 8 23 24140803
5 23 9 23 24140804
5 23 12 23 24140807
5 23 13 23 24140808
5 23 28 23 24140823
5 23 29 23 24140824
5 23 30 23 24140825
5 23 31 23 24140826
5 23 48 23 24140843
5 23 60 15 24132663
5 23 62 23 24140857
5 23 69 23 24140864
5 23 70 23 24140865
5 23 120 18 24135795
5 23 263 23 24141058
5 23 264 23 24141059
5 23 265 23 24141060
6 23 7 23 24140801
6 23 8 23 24140802
6 23 9 23 24140803
6 23 12 23 24140806
6 23 13 23 24140807
6 23 28 23 24140822
6 23 29 23 24140823
6 23 30 23 24140824
6 23 31 23 24140825
6 23 48 23 24140842
6 23 60 15 24132662
6 23 62 23 24140856
6 23 69 23 24140863
6 23 70 23 24140864
6 23 120 18 24135794
6 23 263 23 24141057
6 23 264 23 24141058
6 23 265 23 24141059
6 23 266 23 24141060
7 23 8 23 24140801
7 23 9 23 24140802
7 23 12 23 24140805
7 23 13 23 24140806
7 23 28 23 24140821
7 23 29 23 24140822
7 23 30 23 24140823
7 23 31 23 24140824
7 23 48 23 24140841
7 23 60 15 24132661
7 23 62 23 24140855
7 23 69 23 24140862
7 23 70 23 24140863
7 23 120 18 24135793
7 23 263 23 24141056
7 23 264 23 24141057
7 23 265 23 24141058
7 23 266 23 24141059
7 23 267 23 24141060
8 23 9 23 24140801
8 23 12 23 24140804
8 23 13 23 24140805
8 23 28 23 24140820
8 23 29 23 24140821
8 23 30 23 24140822
8 23 31 23 24140823
8 23 48 23 24140840
8 23 60 15 24132660
8 23 62 23 24140854
8 23 69 23 24140861
8 23 70 23 24140862
8 23 120 18 24135792
8 23 263 23 24141055
8 23 264 23 24141056
8 23 265 23 24141057
8 23 266 23 24141058
8 23 267 23 24141059
8 23 277 23 24141069
9 23 12 23 24140803
9 23 13 23 24140804
9 23 28 23 24140819
9 23 29 23 24140820
9 23 30 23 24140821
9 23 31 23 24140822
9 23 48 23 24140839
9 23 60 15 24132659
9 23 62 23 24140853
9 23 69 23 24140860
9 23 70 23 24140861
9 23 120 18 24135791
9 23 263 23 24141054
9 23 264 23 24141055
9 23 265 23 24141056
9 23 266 23 24141057
9 23 267 23 24141058
9 23 277 23 24141068
9 23 278 23 24141069
12 23 13 23 24140801
12 23 28 23 24140816
12 23 29 23 24140817
12 23 30 23 24140818
12 23 31 23 24140819
12 23 48 23 24140836
12 23 60 15 24132656
12 23 62 23 24140850
12 23 69 23 24140857
12 23 70 23 24140858
12 23 120 18 24135788
12 23 263 23 24141051
12 23 264 23 24141052
12 23 265 23 24141053
12 23 266 23 24141054
12 23 267 23 24141055
12 23 277 23 24141065
12 23 278 23 24141066
12 23 287 23 24141075
13 23 28 23 24140815
13 23 29 23 24140816
13 23 30 23 24140817
13 23 31 23 24140818
13 23 48 23 24140835
13 23 60 15 24132655
13 23 62 23 24140849
13 23 69 23 24140856
13 23 70 23 24140857
13 23 120 18 24135787
13 23 263 23 24141050
13 23 264 23 24141051
13 23 265 23 24141052
13 23 266 23 24141053
13 23 267 23 24141054
13 23 277 23 24141064
13 23 278 23 24141065
13 23 287 23 24141074
13 23 320 15 24132915
28 23 29 23 24140801
28 23 30 23 24140802
28 23 31 23 24140803
28 23 48 23 24140820
28 23 60 15 24132640
28 23 62 23 24140834
28 23 69 23 24140841
28 23 70 23 24140842
28 23 120 18 24135772
28 23 263 23 24141035
28 23 264 23 24141036
28 23 265 23 24141037
28 23 266 23 24141038
28 23 267 23 24141039
28 23 277 23 24141049
28 23 278 23 24141050
28 23 287 23 24141059
28 23 320 15 24132900
28 23 328 23 24141100
29 23 30 23 24140801
29 23 31 23 24140802
29 23 48 23 24140819
29 23 60 15 24132639
