Time1 Bin1 Time2 Bin2 Hash
801 27 802 27 28339201
801 27 1036 32 28344555
801 27 1264 31 28343759
801 27 1346 27 28339745
801 27 1518 32 28345037
801 27 1525 33 28346068
801 27 1572 31 28344067
801 27 1574 31 28344069
801 27 1665 27 28340064
801 27 1675 27 28340074
801 27 1676 27 28340075
801 27 1720 36 28349335
801 27 1723 36 28349338
801 27 1741 36 28349356
801 27 1742 36 28349357
801 27 1743 36 28349358
801 27 1751 36 28349366
801 27 1752 36 28349367
801 27 1792 36 28349407
802 27 1036 32 28344554
802 27 1264 31 28343758
802 27 1346 27 28339744
802 27 1518 32 28345036
802 27 1525 33 28346067
802 27 1572 31 28344066
802 27 1574 31 28344068
802 27 1665 27 28340063
802 27 1675 27 28340073
802 27 1676 27 28340074
802 27 1720 36 28349334
802 27 1723 36 28349337
802 27 1741 36 28349355
802 27 1742 36 28349356
802 27 1743 36 28349357
802 27 1751 36 28349365
802 27 1752 36 28349366
802 27 1792 36 28349406
802 27 1828 24 28336130
1036 32 1264 31 33586404
1036 32 1346 27 33582390
1036 32 1518 32 33587682
1036 32 1525 33 33588713
1036 32 1572 31 33586712
1036 32 1574 31 33586714
1036 32 1665 27 33582709
1036 32 1675 27 33582719
1036 32 1676 27 33582720
1036 32 1720 36 33591980
1036 32 1723 36 33591983
1036 32 1741 36 33592001
1036 32 1742 36 33592002
1036 32 1743 36 33592003
1036 32 1751 36 33592011
1036 32 1752 36 33592012
1036 32 1792 36 33592052
1036 32 1828 24 33579800
1036 32 1829 24 33579801
1264 31 1346 27 32533586
1264 31 1518 32 32538878
1264 31 1525 33 32539909
1264 31 1572 31 32537908
1264 31 1574 31 32537910
1264 31 1665 27 32533905
1264 31 1675 27 32533915
1264 31 1676 27 32533916
1264 31 1720 36 32543176
1264 31 1723 36 32543179
1264 31 1741 36 32543197
1264 31 1742 36 32543198
1264 31 1743 36 32543199
1264 31 1751 36 32543207
1264 31 1752 36 32543208
1264 31 1792 36 32543248
1264 31 1828 24 32530996
1264 31 1829 24 32530997
1264 31 1830 24 32530998
1346 27 1518 32 28344492
1346 27 1525 33 28345523
1346 27 1572 31 28343522
1346 27 1574 31 28343524
1346 27 1665 27 28339519
1346 27 1675 27 28339529
1346 27 1676 27 28339530
1346 27 1720 36 28348790
1346 27 1723 36 28348793
1346 27 1741 36 28348811
1346 27 1742 36 28348812
1346 27 1743 36 28348813
1346 27 1751 36 28348821
1346 27 1752 36 28348822
1346 27 1792 36 28348862
1346 27 1828 24 28336610
1346 27 1829 24 28336611
1346 27 1830 24 28336612
1346 27 1831 24 28336613
1518 32 1525 33 33588231
1518 32 1572 31 33586230
1518 32 1574 31 33586232
1518 32 1665 27 33582227
1518 32 1675 27 33582237
