Time1 Bin1 Time2 Bin2 Hash
4 143 5 119 150068225
4 143 5 143 150092801
4 143 5 143 150092801
4 143 5 188 150138881
4 143 6 188 150138882
4 143 6 188 150138882
4 143 9 119 150068229
4 143 9 119 150068229
4 279 4 328 292888576
4 279 5 237 292795393
4 279 13 285 292844553
4 279 25 323 292883477
4 279 26 224 292782102
4 279 26 327 292887574
4 279 89 333 292893781
4 279 140 291 292850824
4 328 12 339 344280072
4 328 13 285 344224777
4 328 25 323 344263701
4 328 26 327 344267798
4 328 75 344 344285255
4 328 89 333 344274005
4 328 140 291 344231048
5 119 5 143 124926976
5 119 5 143 124926976
5 119 9 119 124902404
5 119 9 119 124902404
5 143 5 143 150092800
5 143 5 188 150138880
5 143 6 188 150138881
5 143 6 188 150138881
5 143 9 119 150068228
5 143 9 119 150068228
5 143 5 188 150138880
5 143 6 188 150138881
5 143 6 188 150138881
5 143 9 119 150068228
5 143 9 119 150068228
5 188 5 237 197374976
5 188 6 188 197324801
5 188 6 188 197324801
5 188 26 224 197361685
5 237 6 188 248705025
5 237 6 188 248705025
5 237 13 285 248804360
5 237 26 224 248741909
5 237 140 291 248810631
5 237 203 262 248780998
6 188 6 188 197324800
6 188 26 224 197361684
6 188 204 145 197280966
6 188 205 145 197280967
6 188 26 224 197361684
6 188 204 145 197280966
6 188 205 145 197280967
6 188 205 145 197280967
9 119 9 119 124902400
9 119 204 145 124929219
9 119 205 145 124929220
9 119 205 145 124929220
9 119 204 145 124929219
9 119 205 145 124929220
9 119 205 145 124929220
12 339 13 285 355759105
12 339 25 323 355798029
12 339 26 327 355802126
12 339 75 344 355819583
12 339 89 333 355808333
12 339 140 291 355765376
12 339 190 306 355780786
12 339 190 350 355825842
12 339 219 374 355850447
13 285 25 323 299174924
13 285 26 327 299179021
13 285 89 333 299185228
13 285 140 291 299142271
13 285 190 306 299157681
13 285 203 262 299112638
13 285 233 342 299194588
25 323 26 327 339024897
25 323 75 344 339042354
25 323 89 333 339031104
25 323 140 291 338988147
25 323 190 306 339003557
25 323 190 350 339048613
25 323 219 374 339073218
25 323 233 342 339040464
26 224 203 262 235149489
26 224 334 243 235130164
26 327 75 344 343236657
26 327 89 333 343225407
26 327 140 291 343182450
26 327 190 306 343197860
26 327 190 350 343242916
26 327 219 374 343267521
26 327 233 342 343234767
68 18 177 16 18890861
68 18 198 16 18890882
68 18 209 16 18890893
68 18 265 16 18890949
68 18 385 15 18890045
75 344 89 333 361051150
75 344 140 291 361008193
75 344 190 306 361023603
75 344 190 350 361068659
75 344 219 374 361093264
75 344 233 342 361060510
75 344 434 358 361077095
89 333 140 291 349473843
89 333 190 306 349489253
89 333 190 350 349534309
89 333 219 374 349558914
89 333 233 342 349526160
89 333 434 358 349542745
89 333 436 306 349489499
140 291 190 306 305449010
140 291 203 262 305403967
140 291 233 342 305485917
140 291 334 243 305384642
140 291 436 306 305449256
177 16 198 16 16793621
177 16 209 16 16793632
177 16 265 16 16793688
177 16 385 15 16792784
190 306 190 350 321222656
190 306 203 262 321132557
190 306 233 342 321214507
190 306 434 358 321231092
190 306 436 306 321177846
190 350 219 374 367384605
190 350 233 342 367351851
190 350 434 358 367368436
190 350 436 306 367315190
198 16 209 16 16793611
198 16 265 16 16793667
198 16 385 15 16792763
203 262 334 243 274975875
203 262 436 306 275040489
204 145 205 145 152192001
204 145 205 145 152192001
204 145 225 145 152192021
204 145 435 145 152192231
204 145 444 197 152245488
204 145 450 156 152203510
204 145 455 156 152203515
204 145 455 156 152203515
204 145 458 98 152144126
204 145 459 98 152144127
205 145 205 145 152192000
205 145 225 145 152192020
205 145 435 145 152192230
205 145 444 197 152245487
205 145 450 156 152203509
205 145 455 156 152203514
205 145 455 156 152203514
205 145 458 98 152144125
205 145 459 98 152144126
205 145 459 98 152144126
205 145 225 145 152192020
205 145 435 145 152192230
205 145 444 197 152245487
205 145 450 156 152203509
205 145 455 156 152203514
205 145 455 156 152203514
205 145 458 98 152144125
205 145 459 98 152144126
205 145 459 98 152144126
205 145 472 170 152217867
209 16 265 16 16793656
209 16 385 15 16792752
209 16 459 49 16827642
219 374 233 342 392517646
219 374 434 358 392534231
225 145 435 145 152192210
225 145 444 197 152245467
225 145 450 156 152203489
225 145 455 156 152203494
225 145 455 156 152203494
225 145 458 98 152144105
225 145 459 98 152144106
225 145 459 98 152144106
225 145 472 170 152217847
225 145 473 97 152143096
225 145 482 97 152143105
233 342 434 358 358979785
233 342 436 306 358926539
265 16 385 15 16792696
265 16 459 49 16827586
265 16 479 49 16827606
334 243 444 197 255005806
385 15 459 49 15778890
385 15 479 49 15778910
434 358 436 306 375703554
435 145 444 197 152245257
435 145 450 156 152203279
435 145 455 156 152203284
435 145 455 156 152203284
435 145 458 98 152143895
435 145 459 98 152143896
435 145 459 98 152143896
435 145 472 170 152217637
435 145 473 97 152142886
435 145 482 97 152142895
435 145 485 143 152190002
435 145 486 143 152190003
435 145 486 143 152190003
435 145 487 97 152142900
435 145 487 97 152142900
444 197 450 156 206729222
444 197 455 156 206729227
444 197 455 156 206729227
444 197 472 170 206743580
444 197 485 143 206715945
444 197 486 143 206715946
444 197 486 143 206715946
444 197 493 149 206722097
450 156 455 156 163737605
