Time1 Bin1 Time2 Bin2 Hash
40 25 41 23 26237953
40 25 129 26 26241113
40 25 149 24 26239085
40 25 196 45 26260636
40 25 197 44 26259613
40 25 208 33 26248360
40 25 232 27 26242240
40 25 330 25 26240290
40 25 364 44 26259780
40 25 379 42 26257747
40 25 386 25 26240346
40 25 387 25 26240347
40 25 395 37 26252643
40 25 397 37 26252645
40 25 399 37 26252647
40 25 445 24 26239381
40 25 446 24 26239382
40 25 447 24 26239383
40 25 472 37 26252720
41 23 129 26 24143960
41 23 149 24 24141932
41 23 196 45 24163483
41 23 197 44 24162460
41 23 208 33 24151207
41 23 232 27 24145087
41 23 330 25 24143137
41 23 364 44 24162627
41 23 379 42 24160594
41 23 386 25 24143193
41 23 387 25 24143194
41 23 395 37 24155490
41 23 397 37 24155492
41 23 399 37 24155494
41 23 445 24 24142228
41 23 446 24 24142229
41 23 447 24 24142230
41 23 472 37 24155567
41 23 484 40 24158651
129 26 149 24 27287572
129 26 196 45 27309123
129 26 197 44 27308100
129 26 208 33 27296847
129 26 232 27 27290727
129 26 330 25 27288777
129 26 364 44 27308267
129 26 379 42 27306234
129 26 386 25 27288833
129 26 387 25 27288834
129 26 395 37 27301130
129 26 397 37 27301132
129 26 399 37 27301134
129 26 445 24 27287868
129 26 446 24 27287869
129 26 447 24 27287870
129 26 472 37 27301207
129 26 484 40 27304291
129 26 487 41 27305318
149 24 196 45 25211951
149 24 197 44 25210928
149 24 208 33 25199675
149 24 232 27 25193555
149 24 330 25 25191605
149 24 364 44 25211095
149 24 379 42 25209062
149 24 386 25 25191661
149 24 387 25 25191662
149 24 395 37 25203958
149 24 397 37 25203960
149 24 399 37 25203962
149 24 445 24 25190696
149 24 446 24 25190697
149 24 447 24 25190698
149 24 472 37 25204035
149 24 484 40 25207119
149 24 487 41 25208146
149 24 488 41 25208147
196 45 197 44 47230977
196 45 208 33 47219724
196 45 232 27 47213604
196 45 330 25 47211654
196 45 364 44 47231144
196 45 379 42 47229111
196 45 386 25 47211710
196 45 387 25 47211711
196 45 395 37 47224007
196 45 397 37 47224009
196 45 399 37 47224011
196 45 445 24 47210745
196 45 446 24 47210746
196 45 447 24 47210747
196 45 472 37 47224084
196 45 484 40 47227168
196 45 487 41 47228195
196 45 488 41 47228196
196 45 489 41 47228197
197 44 208 33 46171147
197 44 232 27 46165027
197 44 330 25 46163077
197 44 364 44 46182567
197 44 379 42 46180534
197 44 386 25 46163133
197 44 387 25 46163134
197 44 395 37 46175430
197 44 397 37 46175432
197 44 399 37 46175434
197 44 445 24 46162168
197 44 446 24 46162169
197 44 447 24 46162170
197 44 472 37 46175507
197 44 484 40 46178591
197 44 487 41 46179618
197 44 488 41 46179619
197 44 489 41 46179620
197 44 551 44 46182754
208 33 232 27 34630680
208 33 330 25 34628730
208 33 364 44 34648220
208 33 379 42 34646187
208 33 386 25 34628786
208 33 387 25 34628787
208 33 395 37 34641083
208 33 397 37 34641085
208 33 399 37 34641087
208 33 445 24 34627821
208 33 446 24 34627822
208 33 447 24 34627823
208 33 472 37 34641160
208 33 484 40 34644244
208 33 487 41 34645271
208 33 488 41 34645272
208 33 489 41 34645273
208 33 551 44 34648407
208 33 595 40 34644355
232 27 330 25 28337250
232 27 364 44 28356740
232 27 379 42 28354707
232 27 386 25 28337306
232 27 387 25 28337307
232 27 395 37 28349603
232 27 397 37 28349605
232 27 399 37 28349607
232 27 445 24 28336341
232 27 446 24 28336342
232 27 447 24 28336343
232 27 472 37 28349680
232 27 484 40 28352764
232 27 487 41 28353791
232 27 488 41 28353792
232 27 489 41 28353793
232 27 551 44 28356927
232 27 595 40 28352875
232 27 648 27 28339616
330 25 364 44 26259490
330 25 379 42 26257457
330 25 386 25 26240056
330 25 387 25 26240057
330 25 395 37 26252353
330 25 397 37 26252355
330 25 399 37 26252357
330 25 445 24 26239091
330 25 446 24 26239092
330 25 447 24 26239093
330 25 472 37 26252430
330 25 484 40 26255514
330 25 487 41 26256541
330 25 488 41 26256542
330 25 489 41 26256543
330 25 551 44 26259677
330 25 595 40 26255625
330 25 648 27 26242366
330 25 650 41 26256704
364 44 379 42 46180367
364 44 386 25 46162966
364 44 387 25 46162967
364 44 395 37 46175263
364 44 397 37 46175265
364 44 399 37 46175267
364 44 445 24 46162001
364 44 446 24 46162002
364 44 447 24 46162003
364 44 472 37 46175340
364 44 484 40 46178424
364 44 487 41 46179451
364 44 488 41 46179452
364 44 489 41 46179453
364 44 551 44 46182587
364 44 595 40 46178535
364 44 648 27 46165276
364 44 650 41 46179614
364 44 659 26 46164263
379 42 386 25 44065799
379 42 387 25 44065800
379 42 395 37 44078096
379 42 397 37 44078098
379 42 399 37 44078100
379 42 445 24 44064834
379 42 446 24 44064835
379 42 447 24 44064836
379 42 472 37 44078173
379 42 484 40 44081257
379 42 487 41 44082284
379 42 488 41 44082285
379 42 489 41 44082286
379 42 551 44 44085420
379 42 595 40 44081368
379 42 648 27 44068109
379 42 650 41 44082447
379 42 659 26 44067096
379 42 660 25 44066073
386 25 387 25 26240001
386 25 395 37 26252297
386 25 397 37 26252299
386 25 399 37 26252301
386 25 445 24 26239035
386 25 446 24 26239036
386 25 447 24 26239037
386 25 472 37 26252374
386 25 484 40 26255458
386 25 487 41 26256485
386 25 488 41 26256486
386 25 489 41 26256487
386 25 551 44 26259621
386 25 595 40 26255569
386 25 648 27 26242310
386 25 650 41 26256648
386 25 659 26 26241297
386 25 660 25 26240274
386 25 662 24 26239252
387 25 395 37 26252296
387 25 397 37 26252298
387 25 399 37 26252300
387 25 445 24 26239034
387 25 446 24 26239035
387 25 447 24 26239036
387 25 472 37 26252373
387 25 484 40 26255457
387 25 487 41 26256484
387 25 488 41 26256485
387 25 489 41 26256486
387 25 551 44 26259620
387 25 595 40 26255568
387 25 648 27 26242309
387 25 650 41 26256647
387 25 659 26 26241296
387 25 660 25 26240273
387 25 662 24 26239251
387 25 663 24 26239252
395 37 397 37 38835202
395 37 399 37 38835204
395 37 445 24 38821938
395 37 446 24 38821939
395 37 447 24 38821940
395 37 472 37 38835277
395 37 484 40 38838361
395 37 487 41 38839388
395 37 488 41 38839389
395 37 489 41 38839390
395 37 551 44 38842524
395 37 595 40 38838472
395 37 648 27 38825213
395 37 650 41 38839551
395 37 659 26 38824200
395 37 660 25 38823177
395 37 662 24 38822155
395 37 663 24 38822156
395 37 664 24 38822157
397 37 399 37 38835202
397 37 445 24 38821936
397 37 446 24 38821937
397 37 447 24 38821938
397 37 472 37 38835275
397 37 484 40 38838359
397 37 487 41 38839386
397 37 488 41 38839387
397 37 489 41 38839388
397 37 551 44 38842522
397 37 595 40 38838470
397 37 648 27 38825211
397 37 650 41 38839549
397 37 659 26 38824198
397 37 660 25 38823175
397 37 662 24 38822153
397 37 663 24 38822154
397 37 664 24 38822155
397 37 767 33 38831474
399 37 445 24 38821934
399 37 446 24 38821935
399 37 447 24 38821936
399 37 472 37 38835273
399 37 484 40 38838357
399 37 487 41 38839384
399 37 488 41 38839385
399 37 489 41 38839386
399 37 551 44 38842520
399 37 595 40 38838468
399 37 648 27 38825209
399 37 650 41 38839547
399 37 659 26 38824196
399 37 660 25 38823173
399 37 662 24 38822151
399 37 663 24 38822152
399 37 664 24 38822153
399 37 767 33 38831472
399 37 852 33 38831557
445 24 446 24 25190401
445 24 447 24 25190402
445 24 472 37 25203739
445 24 484 40 25206823
445 24 487 41 25207850
445 24 488 41 25207851
445 24 489 41 25207852
445 24 551 44 25210986
445 24 595 40 25206934
445 24 648 27 25193675
445 24 650 41 25208013
445 24 659 26 25192662
445 24 660 25 25191639
445 24 662 24 25190617
445 24 663 24 25190618
445 24 664 24 25190619
445 24 767 33 25199938
445 24 852 33 25200023
445 24 853 32 25199000
446 24 447 24 25190401
446 24 472 37 25203738
446 24 484 40 25206822
446 24 487 41 25207849
446 24 488 41 25207850
446 24 489 41 25207851
446 24 551 44 25210985
446 24 595 40 25206933
446 24 648 27 25193674
446 24 650 41 25208012
