Time1 Bin1 Time2 Bin2 Hash
1 18 6 18 18892805
2 112 3 148 117592065
2 112 4 109 117552130
2 184 2 215 193158144
2 184 2 236 193179648
2 184 3 148 193089537
2 184 3 195 193137665
2 184 4 236 193179650
2 184 5 196 193138691
2 184 5 238 193181699
2 184 9 236 193179655
2 184 11 236 193179657
2 215 2 236 225685504
2 215 3 195 225643521
2 215 3 253 225702913
2 215 4 236 225685506
2 215 5 196 225644547
2 215 5 238 225687555
2 215 9 236 225685511
2 215 11 236 225685513
2 215 35 266 225716257
2 236 3 195 247663617
2 236 3 253 247723009
2 236 3 286 247756801
2 236 4 236 247705602
2 236 5 196 247664643
2 236 5 238 247707651
2 236 5 292 247762947
2 236 9 236 247705607
2 236 11 236 247705609
2 236 35 266 247736353
3 148 3 195 155388928
3 148 4 109 155300865
3 148 5 196 155389954
3 195 3 253 204731392
3 195 4 236 204713985
3 195 5 196 204673026
3 195 5 238 204716034
3 195 9 236 204713990
3 195 11 236 204713992
3 253 3 286 265582592
3 253 4 236 265531393
3 253 5 196 265490434
3 253 5 238 265533442
3 253 5 292 265588738
3 253 9 236 265531398
3 253 11 236 265531400
3 253 35 266 265562144
3 253 37 246 265541666
3 286 4 236 300134401
3 286 4 311 300211201
3 286 5 238 300136450
3 286 5 292 300191746
3 286 9 236 300134406
3 286 11 236 300134408
3 286 35 266 300165152
3 286 35 323 300223520
3 286 37 246 300144674
3 286 38 246 300144675
3 346 4 311 363125761
3 346 4 347 363162625
3 346 5 292 363106306
3 346 5 348 363163650
3 346 35 323 363138080
3 346 35 356 363171872
3 346 36 358 363173921
4 236 5 196 247664641
4 236 5 238 247707649
4 236 5 292 247762945
4 236 9 236 247705605
4 236 11 236 247705607
4 236 35 266 247736351
4 236 37 246 247715873
4 236 38 246 247715874
4 236 39 249 247718947
4 236 42 279 247749670
4 311 4 347 326462464
4 311 5 292 326406145
4 311 5 348 326463489
4 311 35 266 326379551
4 311 35 323 326437919
4 311 35 356 326471711
4 311 36 358 326473760
4 311 42 279 326392870
4 311 42 331 326446118
4 311 43 305 326419495
4 347 5 292 364154881
4 347 5 348 364212225
4 347 35 323 364186655
4 347 35 356 364220447
4 347 36 358 364222496
4 347 42 331 364194854
4 347 43 305 364168231
5 196 5 238 205764608
5 196 9 236 205762564
5 196 11 236 205762566
5 196 37 246 205772832
5 196 38 246 205772833
5 196 39 249 205775906
5 238 5 292 249860096
5 238 9 236 249802756
5 238 11 236 249802758
5 238 35 266 249833502
5 238 37 246 249813024
5 238 38 246 249813025
5 238 39 249 249816098
5 238 42 279 249846821
5 238 46 292 249860137
5 292 5 348 306540544
5 292 9 236 306425860
5 292 11 236 306425862
5 292 35 266 306456606
5 292 35 323 306514974
5 292 37 246 306436128
5 292 38 246 306436129
5 292 39 249 306439202
5 292 42 279 306469925
5 292 42 331 306523173
5 292 43 305 306496550
5 292 46 292 306483241
5 292 48 244 306434091
5 348 35 323 365235230
5 348 35 356 365269022
5 348 36 358 365271071
5 348 42 331 365243429
5 348 43 305 365216806
5 348 46 292 365203497
6 18 33 15 18889755
6 18 46 23 18897960
6 18 47 23 18897961
6 18 49 23 18897963
9 236 11 236 247705602
9 236 35 266 247736346
9 236 37 246 247715868
9 236 38 246 247715869
9 236 39 249 247718942
9 236 42 279 247749665
9 236 46 292 247762981
9 236 48 244 247713831
9 236 49 244 247713832
11 236 35 266 247736344
11 236 37 246 247715866
11 236 38 246 247715867
11 236 39 249 247718940
11 236 42 279 247749663
11 236 46 292 247762979
11 236 48 244 247713829
11 236 49 244 247713830
33 15 46 23 15752205
33 15 47 23 15752206
33 15 49 23 15752208
33 15 50 23 15752209
35 266 35 323 279251968
35 266 37 246 279173122
35 266 38 246 279173123
35 266 39 249 279176196
35 266 42 279 279206919
35 266 43 305 279233544
35 266 46 292 279220235
35 266 48 244 279171085
35 266 49 244 279171086
35 266 50 248 279175183
35 323 35 356 339054592
35 323 36 358 339056641
35 323 42 279 338975751
35 323 42 331 339028999
35 323 43 305 339002376
35 323 46 292 338989067
35 356 36 358 373659649
35 356 42 331 373632007
35 356 43 305 373605384
36 358 42 331 375729158
36 358 43 305 375702535
37 246 38 246 258201601
37 246 39 249 258204674
37 246 42 279 258235397
37 246 46 292 258248713
37 246 48 244 258199563
37 246 49 244 258199564
37 246 50 193 258147341
37 246 50 248 258203661
37 246 51 291 258247694
38 246 39 249 258204673
38 246 42 279 258235396
38 246 43 305 258262021
38 246 46 292 258248712
38 246 48 244 258199562
38 246 49 244 258199563
38 246 50 193 258147340
38 246 50 248 258203660
38 246 51 291 258247693
38 246 52 256 258211854
39 249 42 279 261381123
39 249 43 305 261407748
39 249 46 292 261394439
39 249 48 244 261345289
39 249 49 244 261345290
39 249 50 193 261293067
39 249 50 248 261349387
39 249 51 291 261393420
39 249 52 256 261357581
39 249 54 305 261407759
42 279 42 331 292891648
42 279 43 305 292865025
42 279 46 292 292851716
42 279 48 244 292802566
42 279 49 244 292802567
42 279 50 248 292806664
42 279 51 291 292850697
42 279 51 325 292885513
42 279 52 256 292814858
42 279 54 305 292865036
42 331 43 305 347390977
42 331 46 292 347377668
42 331 51 291 347376649
42 331 51 325 347411465
42 331 54 305 347390988
43 305 46 292 320114691
43 305 50 248 320069639
43 305 51 291 320113672
43 305 51 325 320148488
43 305 52 256 320077833
43 305 54 305 320128011
43 305 64 271 320093205
46 23 47 23 24140801
46 23 49 23 24140803
46 23 50 23 24140804
46 23 57 23 24140811
46 292 48 244 306434050
46 292 49 244 306434051
46 292 50 248 306438148
46 292 51 291 306482181
46 292 51 325 306516997
46 292 52 256 306446342
46 292 54 305 306496520
46 292 62 246 306436112
46 292 64 271 306461714
46 292 71 256 306446361
47 23 49 23 24140802
47 23 50 23 24140803
47 23 57 23 24140810
47 23 75 23 24140828
48 244 49 244 256102401
48 244 50 193 256050178
48 244 50 248 256106498
48 244 51 291 256150531
48 244 52 256 256114692
48 244 62 246 256104462
48 244 64 271 256130064
48 244 71 256 256114711
48 244 78 217 256074782
49 23 50 23 24140801
49 23 57 23 24140808
49 23 75 23 24140826
49 244 50 193 256050177
49 244 50 248 256106497
49 244 51 291 256150530
49 244 52 256 256114691
49 244 62 246 256104461
49 244 64 271 256130063
49 244 71 256 256114710
49 244 78 217 256074781
49 244 79 220 256077854
50 23 57 23 24140807
50 23 75 23 24140825
50 137 50 193 143852544
50 137 51 101 143758337
50 137 51 144 143802369
50 137 78 124 143781916
50 137 80 123 143780894
50 137 84 150 143808546
50 193 50 248 202629120
50 193 51 144 202522625
50 193 62 246 202627084
50 193 78 217 202597404
50 193 79 220 202600477
50 193 83 220 202600481
50 193 84 150 202528802
50 248 51 291 260344833
50 248 52 256 260308994
50 248 54 305 260359172
50 248 62 246 260298764
50 248 64 271 260324366
50 248 71 256 260309013
50 248 78 217 260269084
50 248 79 220 260272157
50 248 83 220 260272161
50 248 85 298 260352035
51 101 51 144 106053632
51 101 78 124 106033179
51 101 80 123 106032157
51 101 84 150 106059809
51 144 78 124 151121947
51 144 80 123 151120925
51 144 84 150 151148577
51 291 51 325 305468416
51 291 52 256 305397761
51 291 54 305 305447939
51 291 62 246 305387531
51 291 64 271 305413133
51 291 71 256 305397780
51 291 85 298 305440802
51 291 87 245 305386532
51 291 91 297 305439784
51 325 54 305 341099523
51 325 64 271 341064717
51 325 85 298 341092386
51 325 85 361 341156898
51 325 91 297 341091368
51 325 99 343 341138480
52 256 54 305 268747778
52 256 62 246 268687370
52 256 64 271 268712972
52 256 71 256 268697619
52 256 78 217 268657690
52 256 79 220 268660763
52 256 83 220 268660767
52 256 85 298 268740641
52 256 87 245 268686371
52 256 91 297 268739623
54 305 64 271 320093194
54 305 71 256 320077841
54 305 85 298 320120863
54 305 85 361 320185375
54 305 91 297 320119845
54 305 99 343 320166957
54 305 100 259 320080942
57 23 75 23 24140818
57 23 87 23 24140830
57 23 100 23 24140843
62 246 64 271 258227202
62 246 71 256 258211849
62 246 78 217 258171920
62 246 79 220 258174993
62 246 83 220 258174997
62 246 85 298 258254871
62 246 87 245 258200601
62 246 91 297 258253853
62 246 100 259 258214950
64 271 71 256 284426247
64 271 78 217 284386318
64 271 79 220 284389391
64 271 83 220 284389395
64 271 85 298 284469269
64 271 87 245 284414999
64 271 91 297 284468251
64 271 100 259 284429348
64 271 103 306 284477479
71 256 78 217 268657671
71 256 79 220 268660744
71 256 83 220 268660748
71 256 85 298 268740622
71 256 87 245 268686352
71 256 91 297 268739604
71 256 100 259 268700701
71 256 103 306 268748832
75 23 87 23 24140812
75 23 100 23 24140825
75 23 106 23 24140831
78 124 80 123 130149378
78 124 84 150 130177030
78 124 117 102 130127911
78 124 117 143 130169895
78 217 79 220 227766273
78 217 83 220 227766277
78 217 87 245 227791881
78 217 100 259 227806230
78 217 117 205 227750951
79 220 83 220 230912004
79 220 87 245 230937608
79 220 100 259 230951957
79 220 117 205 230896678
80 123 84 150 129128452
80 123 117 102 129079333
80 123 117 143 129121317
80 123 118 152 129130534
83 220 87 245 230937604
83 220 100 259 230951953
83 220 117 205 230896674
83 220 118 203 230894627
83 220 118 235 230927395
84 150 117 102 157390881
84 150 117 143 157432865
84 150 117 205 157496353
84 150 118 152 157442082
84 150 118 203 157494306
85 298 87 245 312726530
85 298 91 297 312779782
85 298 99 343 312826894
85 298 100 259 312740879
85 298 100 330 312813583
85 298 103 306 312789010
85 361 99 343 378887182
85 361 100 330 378873871
85 361 101 357 378901520
85 361 103 306 378849298
85 361 132 335 378879023
87 23 100 23 24140813
87 23 106 23 24140819
87 23 127 23 24140840
87 23 132 73 24192045
87 245 91 297 257205252
87 245 100 259 257166349
87 245 117 205 257111070
87 245 118 203 257109023
87 245 118 235 257141791
87 245 134 292 257200175
91 297 99 343 311778312
91 297 100 259 311692297
91 297 100 330 311765001
91 297 103 306 311740428
91 297 132 335 311770153
91 297 133 337 311772202
91 297 134 292 311726123
99 343 100 330 359999489
99 343 101 357 360027138
99 343 103 306 359974916
99 343 132 335 360004641
99 343 133 337 360006690
99 343 134 292 359960611
100 23 106 23 24140806
100 23 127 23 24140827
100 23 132 73 24192032
100 23 137 23 24140837
100 23 140 55 24173608
100 259 103 306 271894531
100 259 117 205 271791121
100 259 118 203 271789074
100 259 118 235 271821842
100 259 134 292 271880226
100 259 140 228 271814696
100 330 101 357 346395649
100 330 103 306 346343427
100 330 132 335 346373152
100 330 133 337 346375201
100 330 134 292 346329122
100 330 148 340 346378288
101 357 103 306 374654978
101 357 132 335 374684703
101 357 133 337 374686752
101 357 148 340 374689839
103 306 132 335 321207325
103 306 133 337 321209374
103 306 134 292 321163295
103 306 148 340 321212461
103 306 150 267 321137711
106 23 127 23 24140821
106 23 132 73 24192026
106 23 137 23 24140831
106 23 140 55 24173602
106 23 155 23 24140849
106 23 157 55 24173619
117 102 117 143 107101184
117 102 118 152 107110401
117 102 132 73 107029519
117 102 140 55 107011095
117 102 157 55 107011112
117 102 164 54 107010095
117 143 118 152 150102017
117 143 165 192 150143024
117 205 118 152 215113729
117 205 118 203 215165953
117 205 118 235 215198721
117 205 140 228 215191575
117 205 149 234 215197728
117 205 165 192 215154736
117 205 165 243 215206960
118 152 118 203 159591424
118 152 165 192 159580207
118 203 118 235 213101568
118 203 140 228 213094422
118 203 149 234 213100575
118 203 165 192 213057583
118 203 165 243 213109807
118 235 134 292 246714384
118 235 140 228 246648854
118 235 149 234 246655007
118 235 150 267 246688800
118 235 165 192 246612015
118 235 165 243 246664239
127 23 132 73 24192005
127 23 137 23 24140810
127 23 140 55 24173581
127 23 155 23 24140828
127 23 157 55 24173598
127 23 164 54 24172581
127 23 169 46 24164394
127 23 170 49 24167467
127 23 171 24 24141868
132 73 137 23 76569605
132 73 140 55 76602376
132 73 155 23 76569623
132 73 157 55 76602393
132 73 164 54 76601376
132 73 169 46 76593189
132 73 170 49 76596262
132 73 170 98 76646438
132 73 171 24 76570663
132 73 171 82 76630055
132 335 133 337 351618049
132 335 134 292 351571970
132 335 148 340 351621136
132 335 171 283 351562791
133 337 134 292 353669121
133 337 148 340 353718287
133 337 171 283 353659942
133 337 171 360 353738790
134 292 148 340 306532366
134 292 150 267 306457616
134 292 165 243 306433055
134 292 171 283 306474021
137 23 140 55 24173571
137 23 155 23 24140818
137 23 157 55 24173588
137 23 164 54 24172571
137 23 169 46 24164384
137 23 170 49 24167457
137 23 171 24 24141858
137 23 174 41 24159269
137 23 175 37 24155174
140 55 155 23 57695247
140 55 157 55 57728017
140 55 164 54 57727000
140 55 169 46 57718813
140 55 170 49 57721886
140 55 170 98 57772062
140 55 171 24 57696287
140 55 171 82 57755679
140 55 174 41 57713698
140 55 175 37 57709603
140 228 149 234 239314953
140 228 150 267 239348746
140 228 165 192 239271961
140 228 165 243 239324185
140 228 171 283 239365151
140 228 176 195 239275044
148 340 171 360 356884503
148 340 177 289 356811805
148 340 178 290 356812830
149 234 150 267 245640193
149 234 165 192 245563408
149 234 165 243 245615632
149 234 171 283 245656598
149 234 176 195 245566491
149 234 177 289 245662748
149 234 178 290 245663773
150 267 165 243 280218639
150 267 171 283 280259605
150 267 177 289 280265755
150 267 178 290 280266780
150 267 180 287 280263710
155 23 157 55 24173570
155 23 164 54 24172553
155 23 169 46 24164366
155 23 170 49 24167439
155 23 171 24 24141840
155 23 174 41 24159251
155 23 175 37 24155156
155 23 179 68 24186904
157 55 164 54 57726983
157 55 169 46 57718796
157 55 170 49 57721869
157 55 170 98 57772045
157 55 171 24 57696270
157 55 171 82 57755662
157 55 174 41 57713681
157 55 175 37 57709586
157 55 179 68 57741334
157 55 181 97 57771032
164 54 169 46 56670213
164 54 170 49 56673286
164 54 170 98 56723462
164 54 171 24 56647687
164 54 171 82 56707079
164 54 174 41 56665098
164 54 175 37 56661003
164 54 179 68 56692751
164 54 181 97 56722449
165 192 165 243 201575424
165 192 176 195 201526283
165 192 181 148 201478160
165 192 181 194 201525264
165 243 171 283 255093766
165 243 176 195 255003659
165 243 177 289 255099916
165 243 178 290 255100941
165 243 180 287 255097871
165 243 181 194 255002640
165 243 181 250 255059984
169 46 170 49 48284673
169 46 170 98 48334849
169 46 171 24 48259074
169 46 171 82 48318466
169 46 174 41 48276485
169 46 175 37 48272390
169 46 179 68 48304138
169 46 181 97 48333836
170 49 170 98 51480576
170 49 171 24 51404801
170 49 171 82 51464193
170 49 174 41 51422212
170 49 175 37 51418117
170 49 179 68 51449865
170 49 181 97 51479563
170 98 171 82 102844417
170 98 174 41 102802436
170 98 179 68 102830089
170 98 181 97 102859787
170 98 181 148 102912011
171 24 171 82 25249792
171 24 174 41 25207811
171 24 175 37 25203716
171 24 179 68 25235464
171 82 174 41 86025219
171 82 175 37 86021124
171 82 179 68 86052872
171 82 181 97 86082570
171 283 177 289 297042950
171 283 178 290 297043975
171 283 180 287 297040905
171 283 181 250 297003018
171 283 181 308 297062410
171 283 181 332 297086986
171 283 184 279 297032717
171 283 188 262 297015313
171 360 181 308 377802762
171 360 181 332 377827338
171 360 182 355 377850891
174 41 175 37 43029505
174 41 179 68 43061253
174 41 181 97 43090951
174 41 190 41 43033616
174 41 196 16 43008022
174 41 197 16 43008023
175 37 179 68 38866948
175 37 190 41 38839311
175 37 196 16 38813717
175 37 197 16 38813718
176 195 181 148 204623877
176 195 181 194 204670981
176 195 181 250 204728325
176 195 183 204 204681223
176 195 198 246 204724246
177 289 178 290 303335425
177 289 180 287 303332355
177 289 181 250 303294468
177 289 181 308 303353860
177 289 181 332 303378436
177 289 184 279 303324167
177 289 188 262 303306763
177 289 198 246 303290389
177 289 198 306 303351829
177 289 198 329 303375381
178 290 180 287 304380930
178 290 181 250 304343043
178 290 181 308 304402435
178 290 181 332 304427011
178 290 184 279 304372742
178 290 188 262 304355338
178 290 198 246 304338964
178 290 198 306 304400404
178 290 198 329 304423956
178 290 199 307 304401429
179 68 181 97 71402498
179 68 190 41 71345163
179 68 196 16 71319569
179 68 197 16 71319570
180 287 181 250 301197313
180 287 181 308 301256705
180 287 181 332 301281281
180 287 184 279 301227012
180 287 188 262 301209608
180 287 198 246 301193234
180 287 198 306 301254674
180 287 198 329 301278226
180 287 199 307 301255699
180 287 200 326 301275156
181 97 181 148 101863424
181 97 190 41 101753865
181 97 214 141 101856289
181 148 181 194 155387904
181 148 183 204 155398146
181 148 214 141 155333665
181 148 214 192 155385889
181 194 181 250 203679744
181 194 183 204 203632642
181 194 198 246 203675665
181 194 214 141 203568161
181 194 214 192 203620385
181 194 214 235 203664417
181 250 183 204 262352898
181 250 184 279 262429699
181 250 188 262 262412295
181 250 198 246 262395921
181 250 198 306 262457361
181 250 199 307 262458386
181 250 214 192 262340641
181 250 214 235 262384673
181 250 214 304 262455329
181 308 181 332 323301376
181 308 182 355 323324929
181 308 184 279 323247107
181 308 188 262 323229703
181 308 198 306 323274769
181 308 198 329 323298321
181 308 199 307 323275794
181 308 199 364 323334162
181 308 200 326 323295251
181 308 214 304 323272737
181 308 214 340 323309601
181 332 182 355 348490753
181 332 184 279 348412931
181 332 198 306 348440593
181 332 198 329 348464145
181 332 199 307 348441618
181 332 199 364 348499986
181 332 200 326 348461075
181 332 214 304 348438561
181 332 214 340 348475425
182 355 198 306 372557840
182 355 198 329 372581392
182 355 199 307 372558865
182 355 199 364 372617233
182 355 200 326 372578322
182 355 214 304 372555808
182 355 214 340 372592672
183 204 198 246 214161423
183 204 214 192 214106143
183 204 214 235 214150175
183 204 215 147 214060064
183 204 215 255 214170656
184 279 188 262 292820996
184 279 198 246 292804622
184 279 198 306 292866062
184 279 198 329 292889614
184 279 199 307 292867087
184 279 200 326 292886544
184 279 214 235 292793374
184 279 214 304 292864030
184 279 215 255 292813855
188 262 198 246 274978826
188 262 198 306 275040266
188 262 199 307 275041291
188 262 214 235 274967578
188 262 214 304 275038234
188 262 215 255 274988059
188 262 216 237 274969628
190 41 196 16 43008006
190 41 197 16 43008007
196 16 197 16 16793601
198 246 214 192 258146320
198 246 214 235 258190352
198 246 214 304 258261008
198 246 215 255 258210833
198 246 216 237 258192402
