Time1 Bin1 Time2 Bin2 Hash
0 307 3 349 322270211
0 307 6 259 322178054
0 307 12 335 322255884
1 116 1 157 121795584
1 116 2 74 121710593
1 116 2 156 121794561
1 116 2 156 121794561
1 116 5 116 121753604
1 116 5 116 121753604
1 116 11 113 121750538
1 116 11 170 121808906
1 116 12 76 121712651
1 116 12 113 121750539
1 116 12 113 121750539
1 116 12 170 121808907
1 157 2 156 164786177
1 157 2 156 164786177
1 157 5 116 164745220
1 157 5 116 164745220
1 157 5 198 164829188
1 157 6 198 164829189
1 157 6 198 164829189
1 157 11 113 164742154
1 157 11 170 164800522
1 157 11 193 164824074
1 157 12 113 164742155
1 157 12 113 164742155
1 157 12 170 164800523
1 157 12 170 164800523
2 74 5 116 77713411
2 74 5 116 77713411
2 74 11 113 77710345
2 74 12 76 77672458
2 74 12 113 77710346
2 74 12 113 77710346
2 156 2 156 163737600
2 156 5 116 163696643
2 156 5 116 163696643
2 156 5 198 163780611
2 156 6 198 163780612
2 156 6 198 163780612
2 156 11 113 163693577
2 156 11 170 163751945
2 156 11 193 163775497
2 156 12 113 163693578
2 156 12 113 163693578
2 156 12 170 163751946
2 156 12 170 163751946
2 156 12 191 163773450
2 156 12 191 163773450
2 156 5 116 163696643
2 156 5 116 163696643
2 156 5 198 163780611
2 156 6 198 163780612
2 156 6 198 163780612
2 156 11 113 163693577
2 156 11 170 163751945
2 156 11 193 163775497
2 156 12 113 163693578
2 156 12 113 163693578
2 156 12 170 163751946
2 156 12 170 163751946
2 156 12 191 163773450
2 156 12 191 163773450
3 349 12 335 366296073
5 116 5 116 121753600
5 116 11 113 121750534
5 116 11 170 121808902
5 116 12 76 121712647
5 116 12 113 121750535
5 116 12 113 121750535
5 116 12 170 121808903
5 116 12 170 121808903
5 116 11 113 121750534
5 116 11 170 121808902
5 116 12 76 121712647
5 116 12 113 121750535
5 116 12 113 121750535
5 116 12 170 121808903
5 116 12 170 121808903
5 116 28 79 121715735
5 198 6 198 207820801
5 198 6 198 207820801
5 198 11 170 207792134
5 198 11 193 207815686
5 198 12 170 207792135
5 198 12 170 207792135
5 198 12 191 207813639
5 198 12 191 207813639
5 198 12 251 207875079
6 198 6 198 207820800
6 198 11 170 207792133
6 198 11 193 207815685
6 198 12 170 207792134
6 198 12 170 207792134
6 198 12 191 207813638
6 198 12 191 207813638
6 198 12 251 207875078
6 198 28 156 207777814
6 198 11 170 207792133
6 198 11 193 207815685
6 198 12 170 207792134
6 198 12 170 207792134
6 198 12 191 207813638
6 198 12 191 207813638
6 198 12 251 207875078
6 198 28 156 207777814
6 198 28 214 207837206
6 259 12 251 271838214
6 259 12 288 271876102
6 259 28 214 271800342
6 259 28 244 271831062
11 113 11 170 118663168
11 113 12 76 118566913
11 113 12 113 118604801
11 113 12 113 118604801
11 113 12 170 118663169
11 113 12 170 118663169
11 113 28 79 118570001
11 113 28 115 118606865
11 113 28 156 118648849
11 170 11 193 178455552
11 170 12 113 178373633
11 170 12 113 178373633
11 170 12 170 178432001
11 170 12 170 178432001
11 170 12 191 178453505
11 170 12 191 178453505
11 170 28 115 178375697
11 170 28 156 178417681
11 170 28 214 178477073
11 193 12 170 202549249
11 193 12 170 202549249
11 193 12 191 202570753
11 193 12 191 202570753
11 193 28 156 202534929
11 193 28 214 202594321
11 193 28 244 202625041
12 335 12 288 351567872
12 335 28 286 351565840
12 335 28 352 351633424
12 76 12 113 79807488
12 76 12 113 79807488
12 76 28 37 79729680
12 76 28 79 79772688
12 76 28 115 79809552
12 76 29 110 79804433
12 76 29 110 79804433
12 113 12 113 118604800
12 113 12 170 118663168
12 113 12 170 118663168
12 113 28 79 118570000
12 113 28 115 118606864
12 113 28 156 118648848
12 113 29 110 118601745
12 113 29 110 118601745
12 113 29 156 118648849
12 113 29 156 118648849
12 113 12 170 118663168
12 113 12 170 118663168
12 113 28 79 118570000
12 113 28 115 118606864
12 113 28 156 118648848
12 113 29 110 118601745
12 113 29 110 118601745
12 113 29 156 118648849
12 113 29 156 118648849
12 170 12 170 178432000
12 170 12 191 178453504
12 170 12 191 178453504
12 170 28 115 178375696
12 170 28 156 178417680
12 170 28 214 178477072
12 170 29 156 178417681
12 170 29 156 178417681
12 170 29 212 178475025
12 170 29 212 178475025
12 170 12 191 178453504
12 170 12 191 178453504
12 170 28 115 178375696
12 170 28 156 178417680
12 170 28 214 178477072
12 170 29 156 178417681
12 170 29 156 178417681
12 170 29 212 178475025
12 170 29 212 178475025
12 191 12 191 200473600
12 191 28 156 200437776
12 191 28 214 200497168
12 191 28 244 200527888
12 191 29 156 200437777
12 191 29 156 200437777
12 191 29 212 200495121
12 191 29 212 200495121
12 191 30 150 200431634
12 191 28 156 200437776
12 191 28 214 200497168
12 191 28 244 200527888
12 191 29 156 200437777
12 191 29 156 200437777
12 191 29 212 200495121
12 191 29 212 200495121
12 191 30 150 200431634
12 191 30 244 200527890
12 251 12 288 263487488
12 251 28 214 263411728
12 251 28 244 263442448
12 251 28 286 263485456
12 251 29 212 263409681
12 251 29 212 263409681
12 251 30 244 263442450
12 288 28 244 302239760
12 288 28 286 302282768
12 288 30 244 302239762
28 37 28 79 38878208
28 37 31 77 38876163
28 79 28 115 82955264
28 79 29 110 82950145
28 79 29 110 82950145
28 79 30 99 82938882
28 79 31 77 82916355
28 115 28 156 120745984
28 115 29 110 120698881
28 115 29 110 120698881
28 115 29 156 120745985
28 115 29 156 120745985
28 115 30 99 120687618
28 115 30 150 120739842
28 115 31 77 120665091
28 115 31 154 120743939
28 115 31 154 120743939
28 156 29 110 163690497
28 156 29 110 163690497
28 156 29 156 163737601
28 156 29 156 163737601
28 156 29 212 163794945
28 156 29 212 163794945
28 156 30 99 163679234
28 156 30 150 163731458
28 156 31 154 163735555
28 156 31 154 163735555
28 214 28 244 224645120
28 214 29 212 224612353
28 214 29 212 224612353
28 214 30 244 224645122
28 214 31 215 224615427
28 214 33 229 224629765
28 214 33 229 224629765
28 244 28 286 256145408
28 244 29 212 256069633
28 244 29 212 256069633
28 244 30 244 256102402
28 244 31 215 256072707
28 244 33 229 256087045
28 244 33 229 256087045
28 286 30 244 300142594
28 286 33 229 300127237
28 286 33 229 300127237
28 286 33 317 300217349
28 352 32 348 369455108
28 352 33 317 369423365
29 110 29 110 115456000
29 110 29 156 115503104
29 110 29 156 115503104
29 110 30 99 115444737
29 110 30 150 115496961
29 110 31 77 115422210
29 110 31 154 115501058
29 110 31 154 115501058
29 110 39 120 115466250
29 110 39 120 115466250
