Time1 Bin1 Time2 Bin2 Hash
62 23 109 14 24131631
62 23 126 23 24140864
62 23 132 22 24139846
62 23 202 18 24135820
62 23 246 18 24135864
62 23 254 14 24131776
62 23 267 18 24135885
62 23 285 19 24136927
62 23 287 18 24135905
62 23 288 18 24135906
62 23 289 18 24135907
62 23 297 14 24131819
62 23 306 21 24138996
62 23 307 33 24151285
62 23 308 16 24133878
62 23 308 65 24184054
109 14 126 23 14703633
109 14 132 22 14702615
109 14 202 18 14698589
109 14 246 18 14698633
109 14 254 14 14694545
109 14 267 18 14698654
109 14 285 19 14699696
109 14 287 18 14698674
109 14 288 18 14698675
109 14 289 18 14698676
109 14 297 14 14694588
109 14 306 21 14701765
109 14 307 33 14714054
109 14 308 16 14696647
109 14 308 65 14746823
109 14 309 16 14696648
126 23 132 22 24139782
126 23 202 18 24135756
126 23 246 18 24135800
126 23 254 14 24131712
126 23 267 18 24135821
126 23 285 19 24136863
126 23 287 18 24135841
126 23 288 18 24135842
126 23 289 18 24135843
126 23 297 14 24131755
126 23 306 21 24138932
126 23 307 33 24151221
126 23 308 16 24133814
126 23 308 65 24183990
126 23 309 16 24133815
126 23 310 16 24133816
132 22 202 18 23087174
132 22 246 18 23087218
132 22 254 14 23083130
132 22 267 18 23087239
132 22 285 19 23088281
132 22 287 18 23087259
132 22 288 18 23087260
132 22 289 18 23087261
132 22 297 14 23083173
132 22 306 21 23090350
132 22 307 33 23102639
132 22 308 16 23085232
132 22 308 65 23135408
132 22 309 16 23085233
132 22 310 16 23085234
132 22 311 16 23085235
167 344 210 344 361062443
167 344 221 334 361052214
202 18 246 18 18892844
202 18 254 14 18888756
202 18 267 18 18892865
202 18 285 19 18893907
202 18 287 18 18892885
202 18 288 18 18892886
202 18 289 18 18892887
202 18 297 14 18888799
202 18 306 21 18895976
202 18 307 33 18908265
202 18 308 16 18890858
202 18 308 65 18941034
202 18 309 16 18890859
202 18 310 16 18890860
202 18 311 16 18890861
202 18 311 67 18943085
202 18 312 16 18890862
210 344 221 334 361052171
246 18 254 14 18888712
246 18 267 18 18892821
246 18 285 19 18893863
246 18 287 18 18892841
246 18 288 18 18892842
246 18 289 18 18892843
246 18 297 14 18888755
246 18 306 21 18895932
246 18 307 33 18908221
246 18 308 16 18890814
246 18 308 65 18940990
246 18 309 16 18890815
246 18 310 16 18890816
246 18 311 16 18890817
246 18 311 67 18943041
246 18 312 16 18890818
246 18 313 16 18890819
246 18 314 16 18890820
246 18 315 16 18890821
254 14 267 18 14698509
254 14 285 19 14699551
254 14 287 18 14698529
254 14 288 18 14698530
254 14 289 18 14698531
254 14 297 14 14694443
254 14 306 21 14701620
254 14 307 33 14713909
254 14 308 16 14696502
254 14 308 65 14746678
254 14 309 16 14696503
254 14 310 16 14696504
254 14 311 16 14696505
254 14 311 67 14748729
254 14 312 16 14696506
254 14 313 16 14696507
254 14 314 16 14696508
254 14 315 16 14696509
254 14 316 16 14696510
267 18 285 19 18893842
267 18 287 18 18892820
267 18 288 18 18892821
267 18 289 18 18892822
267 18 297 14 18888734
267 18 306 21 18895911
267 18 307 33 18908200
267 18 308 16 18890793
267 18 308 65 18940969
267 18 309 16 18890794
267 18 310 16 18890795
267 18 311 16 18890796
267 18 311 67 18943020
267 18 312 16 18890797
267 18 313 16 18890798
267 18 314 16 18890799
267 18 315 16 18890800
267 18 316 16 18890801
285 19 287 18 19941378
285 19 288 18 19941379
285 19 289 18 19941380
285 19 297 14 19937292
285 19 306 21 19944469
285 19 307 33 19956758
285 19 308 16 19939351
285 19 308 65 19989527
285 19 309 16 19939352
285 19 310 16 19939353
285 19 311 16 19939354
285 19 311 67 19991578
285 19 312 16 19939355
285 19 313 16 19939356
285 19 314 16 19939357
285 19 315 16 19939358
285 19 316 16 19939359
285 19 355 18 19941446
287 18 288 18 18892801
287 18 289 18 18892802
287 18 297 14 18888714
287 18 306 21 18895891
287 18 307 33 18908180
287 18 308 16 18890773
287 18 308 65 18940949
287 18 309 16 18890774
287 18 310 16 18890775
287 18 311 16 18890776
287 18 311 67 18943000
287 18 312 16 18890777
287 18 313 16 18890778
287 18 314 16 18890779
287 18 315 16 18890780
287 18 316 16 18890781
287 18 355 18 18892868
287 18 383 14 18888800
288 18 289 18 18892801
288 18 297 14 18888713
288 18 306 21 18895890
288 18 307 33 18908179
288 18 308 16 18890772
288 18 308 65 18940948
288 18 309 16 18890773
288 18 310 16 18890774
288 18 311 16 18890775
288 18 311 67 18942999
288 18 312 16 18890776
288 18 313 16 18890777
288 18 314 16 18890778
288 18 315 16 18890779
288 18 316 16 18890780
288 18 355 18 18892867
288 18 383 14 18888799
289 18 297 14 18888712
289 18 306 21 18895889
289 18 307 33 18908178
289 18 308 16 18890771
289 18 308 65 18940947
289 18 309 16 18890772
289 18 310 16 18890773
289 18 311 16 18890774
289 18 311 67 18942998
289 18 312 16 18890775
289 18 313 16 18890776
289 18 314 16 18890777
289 18 315 16 18890778
289 18 316 16 18890779
289 18 355 18 18892866
289 18 383 14 18888798
297 14 306 21 14701577
297 14 307 33 14713866
297 14 308 16 14696459
297 14 308 65 14746635
297 14 309 16 14696460
297 14 310 16 14696461
297 14 311 16 14696462
297 14 311 67 14748686
297 14 312 16 14696463
297 14 313 16 14696464
297 14 314 16 14696465
297 14 315 16 14696466
297 14 316 16 14696467
297 14 355 18 14698554
297 14 383 14 14694486
297 14 446 15 14695573
306 21 307 33 22053889
306 21 308 16 22036482
306 21 308 65 22086658
306 21 309 16 22036483
306 21 310 16 22036484
306 21 311 16 22036485
306 21 311 67 22088709
306 21 312 16 22036486
306 21 313 16 22036487
306 21 314 16 22036488
306 21 315 16 22036489
306 21 316 16 22036490
306 21 355 18 22038577
306 21 383 14 22034509
306 21 446 15 22035596
306 21 468 18 22038690
307 33 308 16 34619393
307 33 308 65 34669569
307 33 309 16 34619394
307 33 310 16 34619395
307 33 311 16 34619396
307 33 311 67 34671620
307 33 312 16 34619397
307 33 313 16 34619398
307 33 314 16 34619399
307 33 315 16 34619400
307 33 316 16 34619401
307 33 355 18 34621488
307 33 383 14 34617420
307 33 446 15 34618507
307 33 468 18 34621601
307 33 471 16 34619556
308 16 308 65 16843776
308 16 309 16 16793601
308 16 310 16 16793602
308 16 311 16 16793603
308 16 311 67 16845827
308 16 312 16 16793604
308 16 313 16 16793605
308 16 314 16 16793606
308 16 315 16 16793607
308 16 316 16 16793608
308 16 355 18 16795695
308 16 383 14 16791627
308 16 446 15 16792714
308 16 468 18 16795808
308 16 471 16 16793763
308 16 472 16 16793764
308 65 309 16 68173825
308 65 310 16 68173826
308 65 311 16 68173827
308 65 311 67 68226051
308 65 312 16 68173828
308 65 313 16 68173829
308 65 314 16 68173830
308 65 315 16 68173831
308 65 316 16 68173832
308 65 355 18 68175919
308 65 383 14 68171851
308 65 446 15 68172938
308 65 468 18 68176032
308 65 471 16 68173987
308 65 472 16 68173988
308 65 474 16 68173990
309 16 310 16 16793601
